"SLALOM REGIONAL CIGNE - ""La Valette"" - Cigné - 2006-02-05","Course 1","2006-02-05","Régional","75"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Antoine Bizot","C1H","203.67","247","240",""
"Yoann Bizot","C1H","217.84","253","327",""
"Yoann Rebours","C1H","227.98","363","389",""
"Herve Busson","C1H","228.63","395","393",""
"Richard Romain","C1H","236.41","496","441",""
"Millet Robin","C1H","240.75","613","468",""
"Rocher Joris","C1H","241.45","-","473",""
"Sibioude Damien","C1H","242.35","-","478",""
"Mathieu Eyrolle","C1H","304.73","1050","862",""
"Bourgault Gaetan","C1H","314.94","-","924",""
"Bourgault Valentin","C1H","318.40","-","945",""
"Nicolas Rebours-Baptiste Granger","C2H","245.96","462","431",""
"Rebours Yoann- Bizot Yoann","C2H","249.42","-","452",""
"Herve Busson-Pierrick Meheust","C2H","261.20","468","521",""
"Oriane Rebours","K1D","221.57","208","253",""
"Valerie Sibioude","K1D","221.63","204","253",""
"Josepha Longa","K1D","234.62","300","328",""
"Rocher Laura","K1D","237.10","295","342",""
"Charlotte Hay","K1D","254.80","381","443",""
"Gion Maëliss","K1D","268.85","-","524",""
"Suzanne Karine","K1D","270.44","513","533",""
"Dominique Badie-kallou","K1D","285.53","664","619",""
"Caroline Froissard","K1D","291.44","-","653",""
"Alexandra Menant","K1D","293.20","684","662",""
"Andrea Menant","K1D","302.61","754","717",""
"Charlene Cibois","K1D","307.47","-","745",""
"Lenormand Clemence","K1D","316.44","-","796",""
"Clemence Drugeot","K1D","358.48","-","1036",""
"Theard Emeline","K1D","367.46","-","1087",""
"Blouin Morgane","K1D","384.32","-","1184",""
"Herve Busson","K1H","188.58","138","205",""
"Goulwen Chapelier","K1H","188.67","159","205",""
"Joris Rocher","K1H","195.00","223","246",""
"Florian Ordonneau","K1H","196.74","171","258",""
"Ronan Marie","K1H","198.10","-","266",""
"Kevin Gouabault","K1H","198.75","190","271",""
"Nicolas Rebours","K1H","202.19","221","293",""
"Loic Froissard","K1H","205.06","264","312",""
"Planchais Martial","K1H","205.39","356","314",""
"Romain Richard","K1H","205.50","221","314",""
"Manuel Moquet","K1H","206.72","318","322",""
"Simon Bercon","K1H","206.94","336","323",""
"Philippe Rocher","K1H","208.42","292","333",""
"Vincent Froger","K1H","209.75","-","342",""
"Alexandre Plouzeau","K1H","210.37","334","345",""
"Baptiste Granger","K1H","212.51","364","360",""
"Pierre Emanuel Marchand","K1H","218.69","400","399",""
"Cornu Jeremy","K1H","224.00","414","434",""
"Chemineau Frederic","K1H","226.46","-","450",""
"Clement Ledard","K1H","226.88","563","453",""
"Lebar Johnny","K1H","228.03","410","460",""
"Antoine Godet","K1H","228.62","472","463",""
"Etienne Legeay","K1H","228.92","432","465",""
"Simon Vaillant","K1H","229.59","429","469",""
"Pierrick Meheust","K1H","232.16","430","486",""
"Ludovic Garnier","K1H","232.21","469","487",""
"Dubin Thomas","K1H","235.88","-","510",""
"Vincent Lemonnier","K1H","241.39","542","547",""
"Moriceau Christian","K1H","248.16","803","589",""
"Gaudenzi Maxime","K1H","249.58","531","599",""
"Eric Rivault","K1H","251.01","1068","608",""
"Baudouin Maxime","K1H","252.82","679","620",""
"Thierry Dugue","K1H","255.43","712","636",""
"Cibois Quentin","K1H","259.21","-","661",""
"Valentin Bourgault","K1H","269.71","-","729",""
"Voisin Charly","K1H","274.93","-","763",""
"Voisin Clement","K1H","275.10","-","764",""
"Bourgault Gaetan","K1H","280.45","-","798",""
"Julian Picard","K1H","283.95","1168","821",""
"Gueguen Romain","K1H","285.19","-","829",""
"Mathieu Eyrolle","K1H","294.47","499","889",""
"Derre Thomas","K1H","300.62","-","929",""
"Dulompont Benjamin","K1H","301.28","-","933",""
"Cotinet Angelo","K1H","308.39","-","979",""
"Frioux Kevin","K1H","326.19","-","1095",""
