"Championnats de France N1 - Lannion - 4ème Manche - 2006-04-02","4ème Manche","2006-04-02","Nationale 1","106"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Herve Chevrier","C1H","196.66","18","0",""
"Tony Estanguet","C1H","198.75","4","5",""
"Lalliet Olivier","C1H","200.50","6","9",""
"Nicolas Peschier","C1H","200.60","19","10",""
"Pierre Labarelle","C1H","205.36","7","21",""
"Lepage Clement","C1H","214.00","51","42",""
"Jonathan Marc","C1H","214.64","70","44",""
"Jerome Le Gall","C1H","216.14","30","48",""
"Norbert Neveu","C1H","217.25","38","51",""
"Loic Bourgeois","C1H","219.60","55","56",""
"Charly Chassigneux","C1H","221.18","37","60",""
"Edern Le Ruyet","C1H","221.58","45","61",""
"Jeremie Gouello","C1H","221.62","65","61",""
"Lorrie Delattre","C1H","221.91","59","62",""
"Herve Delamarre","C1H","222.89","53","64",""
"Ronan Betrom","C1H","222.94","60","64",""
"Benjamin Ruman","C1H","223.28","53","65",""
"Alain Schirmann","C1H","225.46","50","70",""
"Guillaume Wattez","C1H","227.28","76","75",""
"Biselx Thomas","C1H","229.12","52","79",""
"Hugo Laberine","C1H","232.59","60","88",""
"Emeric Bertrand","C1H","234.86","67","93",""
"Morgan Vourch","C1H","237.30","72","100",""
"Denis Gargaud","C1H","247.71","36","125",""
"Pascal Buck","C1H","272.71","33","186",""
"Baptiste Delaplace","C1H","275.45","23","193",""
"Eric Labarelle","C1H","291.03","68","231",""
"Pierre Gelle","C1H","323.88","49","311",""
"Lang Paul","C1H","378.84","46","445",""
"Mathieu Voyemant-Damien Troquenet","C2H","221.29","19","36",""
"Cedric Forgit-Martin Braud","C2H","221.40","13","36",""
"Philippe Quemerais-Yann Le Pennec","C2H","222.24","16","38",""
"Remy Alonso-Victor Lamy","C2H","227.71","32","51",""
"Aymeric Maynadier-Sebastien Perilhou","C2H","233.45","73","64",""
"Mathieu Fougere-Thomas Fougere","C2H","234.41","72","66",""
"Gauthier Klauss-Matthieu Peche","C2H","237.75","82","74",""
"Loic Brunel-Medhi Deguil","C2H","246.88","48","95",""
"Yoan Del Rey-Arthur Grandemange","C2H","248.20","145","99",""
"Pierre Luquet-Christophe Luquet","C2H","271.95","16","154",""
"Deguil Eric- Gaspard Remi","C2H","275.84","60","163",""
"Janin Maxime- Janin Yoann","C2H","290.11","103","196",""
"Darcillon Julien- Hemidy Francois","C2H","315.76","172","256",""
"Tillard Pierre Antoine- Jarreton Anthony","C2H","342.83","79","319",""
"Bardet Annelise","K1D","220.05","4","19",""
"Marie Gaspard","K1D","220.45","20","20",""
"Nelly Tornare","K1D","223.26","20","26",""
"Marie-zelia Lafont","K1D","225.91","52","32",""
"Carole Bouzidi","K1D","226.20","27","33",""
"Aline Tornare","K1D","227.74","22","37",""
"Clotilde Miclo","K1D","228.37","41","38",""
"Caroline Bourry","K1D","232.65","63","48",""
"Nagwa Lanchec El Desouki","K1D","235.40","38","54",""
"Ophelie Delaplace","K1D","235.89","64","55",""
"Elisa Venet","K1D","237.26","58","58",""
"Claire Landrin","K1D","238.72","51","62",""
"Julie Labarelle","K1D","244.84","61","76",""
"Claire Jacquet","K1D","251.13","104","90",""
"Carole Pocard","K1D","252.06","66","92",""
"Perrine Beguery","K1D","253.60","116","95",""
"Zoe Anxionnaz","K1D","261.01","112","112",""
"Mathilde Pichery","K1D","262.96","1","116",""
"Bomboy Alice","K1D","279.12","56","153",""
"Emilie Fer","K1D","286.69","33","171",""
"Laura Combot","K1D","334.53","51","279",""
"Boris Neveu","K1H","189.14","7","5",""
"Fabien Lefevre","K1H","189.43","2","5",""
"Benoit Peschier","K1H","192.56","10","13",""
"Pierre Devaux","K1H","193.23","24","15",""
"Pierre Bourliaud","K1H","193.88","9","17",""
"Frederic Walczak","K1H","195.21","21","20",""
"Benjamin Boukpeti","K1H","196.71","17","24",""
"Raphael Reveche","K1H","196.84","24","25",""
"Mathieu Doby","K1H","197.37","11","26",""
"Julien Dekarczyk","K1H","198.21","30","28",""
"Damien Laborde","K1H","198.68","34","29",""
"Renaud Doby","K1H","198.91","22","30",""
"Aurelien Maynadier","K1H","199.12","23","30",""
"Benoit Lepage","K1H","199.64","29","32",""
"Quentin Bove","K1H","202.09","50","38",""
"Sebastien Halilou","K1H","202.74","32","39",""
"Samuel Hernanz","K1H","203.21","37","41",""
"Florian Berail","K1H","204.19","49","43",""
"Nicolas Labat","K1H","204.31","62","44",""
"Julien Arribe","K1H","207.87","45","53",""
"Matthieu Le Gall","K1H","209.03","36","56",""
"Lambert Guillaume","K1H","209.51","44","57",""
"Bazin Patryce","K1H","209.92","58","58",""
"Roger Jeremie","K1H","210.91","65","61",""
"Davy Egraz","K1H","212.25","42","64",""
"Thibaud Delaunay","K1H","214.75","78","71",""
"Alexandre Schall","K1H","216.42","68","75",""
"Benoit Guillaume","K1H","218.24","53","79",""
"Julien Tous","K1H","218.71","39","81",""
"Jean Christophe Boivin","K1H","219.32","46","82",""
"Julien Billaut","K1H","240.70","5","137",""
"Guillaume Picco","K1H","254.08","55","172",""
"Christophe Augu","K1H","256.10","31","177",""
"Damien Boudet","K1H","258.13","44","182",""
"Guillaume Provost","K1H","260.63","64","189",""
"Christophe Marechal","K1H","265.13","32","200",""
"Michael Guyon","K1H","275.68","44","227",""
"Benoit Molinier","K1H","278.64","33","235",""
"Johan De Mareuil","K1H","300.73","49","292",""
"Venceslas Viseur","K1H","314.81","56","328",""
"Baillon Nicolas","K1H","315.55","35","330",""
"Yoan Minvielle","K1H","563.95","32","967",""
