"Championnat régional - Mehun Sur Yèvre - 2006-04-09","Course 1","2006-04-09","Régional","48"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Claire Landrin","C1D","267.00","-","525",""
"Van Delft Tifenn","C1D","313.00","-","803",""
"Emmanuel Bisson","C1H","221.00","297","246",""
"Navarre Emmanuel","C1H","229.00","324","295",""
"Stephane Machet","C1H","243.00","380","379",""
"Benjamin Thouvignon","C1H","244.00","-","386",""
"Le Guen Remi","C1H","254.00","419","445",""
"Fabien Tournadre","C1H","258.00","455","470",""
"Roumet Montaine","C1H","319.00","-","840",""
"Pierre Chassigneux","C1H","322.00","539","858",""
"Yoann Turowsky","C1H","351.00","-","1032",""
"Jerome Talbot-Emmanuel Bisson","C2H","242.00","281","307",""
"Pierre Chassigneux-Brigitte Passet","C2M","307.00","594","682",""
"Claire Landrin","K1D","212.00","51","102",""
"Tifenn Van Delft","K1D","239.00","235","253",""
"Montaine Roumet","K1D","250.00","333","314",""
"Marine Joslin","K1D","259.00","346","365",""
"Duris Marion","K1D","272.00","489","439",""
"Adeline Gerardin","K1D","276.00","494","461",""
"Michelet Virginie","K1D","331.00","-","770",""
"Durand Angelique","K1D","397.00","-","1141",""
"Benjamin Thouvignon","K1H","194.00","101","142",""
"Fabien Tournadre","K1H","202.00","152","192",""
"Xavier Jourdain","K1H","202.00","116","192",""
"Jerome Talbot","K1H","214.00","250","269",""
"Navarre Emmanuel","K1H","215.00","-","275",""
"Jean-noel Avril","K1H","223.00","290","326",""
"Vincent Froger","K1H","225.00","-","339",""
"Bastien Pailler","K1H","225.00","296","339",""
"Gaillot Christophe","K1H","226.00","386","345",""
"Xavier Flatreau","K1H","229.00","430","364",""
"Keuterick Yohan","K1H","231.00","384","377",""
"Vinet Florian","K1H","240.00","462","434",""
"Friquet Arnaud","K1H","240.00","432","434",""
"Yoann Turowsky","K1H","246.00","505","472",""
"Bureau Mathieu","K1H","255.00","-","529",""
"Joffrey Lemeux","K1H","256.00","771","535",""
"Dominique Odile","K1H","256.00","442","535",""
"Alexandre Thomasseau","K1H","258.00","683","549",""
"Emmanuel Despont","K1H","259.00","621","554",""
"Stephane Machet","K1H","264.00","554","587",""
"Sylvain Georges","K1H","267.00","-","606",""
"Ludovic Couture","K1H","270.00","-","625",""
"Nigues Romain","K1H","279.00","-","682",""
"Pierre Bontoux","K1H","279.00","462","682",""
"Simon Deboysson","K1H","287.00","-","732",""
"Guillaume Tagand","K1H","309.00","-","872",""
"Jan Baudet","K1H","552.00","-","2415",""
