"SELECTION NATIONALE 2 - Cesson Sévigné - 2006-04-16","Course 1","2006-04-16","Nationale 2","147"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Paul Gautier","C1H","194.28","125","116",""
"Cyril Duquet","C1H","195.90","94","123",""
"Simon Cayez","C1H","205.00","183","166",""
"Medhi Deguil","C1H","208.26","172","180",""
"Thibaud Vielliard","C1H","208.52","139","181",""
"Martin Thomas","C1H","210.08","197","189",""
"Sebastien Cardiet","C1H","210.25","172","190",""
"Christophe Marechal","C1H","211.06","342","193",""
"Didier Botrel","C1H","213.11","190","202",""
"Potin Francois","C1H","219.49","214","232",""
"Florian Helen","C1H","221.95","183","244",""
"Come Hebert","C1H","222.25","235","245",""
"Ludovic Roye","C1H","224.88","212","257",""
"Maxime Cousin","C1H","225.99","254","263",""
"Jeremie Jousseaume","C1H","226.07","254","263",""
"Saucet Manuel","C1H","226.29","267","263",""
"Antoine Bizot","C1H","227.72","240","270",""
"Loic Brunel","C1H","230.29","172","282",""
"Kevin Marquais","C1H","230.36","255","282",""
"Cedric Collet","C1H","232.31","271","291",""
"Lichou Thibault","C1H","233.90","256","298",""
"Remi Debailleul","C1H","237.25","284","314",""
"Michel Lanchec","C1H","244.27","310","347",""
"Denis Voisin","C1H","247.68","283","363",""
"Yoann Bizot","C1H","274.81","240","488",""
"Benjamin Reig-Cyril Boulet","C2H","229.13","189","229",""
"Pascal Buck-Alain Schirmann","C2H","231.24","190","238",""
"Jerome Talbot-Emmanuel Bisson","C2H","239.09","276","273",""
"Barbier Cyril- Mouroux Jeff","C2H","239.31","231","273",""
"Thibault Bigeon-Antoine Decambon","C2H","243.42","224","291",""
"Debliquy Stephane- Delattre Arnaud","C2H","250.81","279","324",""
"Allemandou Fabien- Darcillon Bastien","C2H","257.34","268","353",""
"Lucas Le Gall-Guillaume Kerambrun","C2H","266.43","306","393",""
"Anne Boixel","K1D","210.20","127","120",""
"Anne Sophie Le Bailly","K1D","214.56","170","139",""
"Anais Bouchet","K1D","215.84","153","145",""
"Laura Lyphout","K1D","221.59","160","170",""
"Laurence Pessoni","K1D","228.71","209","200",""
"Sarah Despres","K1D","229.01","188","202",""
"Erell Chardon Vivier","K1D","229.05","190","202",""
"Elodie Le Nechet","K1D","231.22","174","211",""
