"Championnat régional slalom - Bazancourt - 2006-05-14 Course 1","Bazancourt","Course 1","","2006-05-14","Régional","143"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Louison Tanet","C1H","178.36","189.0","206.0",""
"Frederic Momot","C1H","180.97","208.0","223.0",""
"Kudla Romain","C1H","184.13","308.0","243.0",""
"Geoffroy Schwentzel","C1H","192.96","242.0","300.0",""
"Duchiron Stephane","C1H","197.04","-","326.0",""
"Loic Marechal","C1H","199.45","307.0","342.0",""
"Xavier Tachet","C1H","201.51","278.0","355.0",""
"Mathys Morgan","C1H","204.61","404.0","375.0",""
"Jerome Lacire","C1H","211.49","-","420.0",""
"Thomas Argenson","C1H","211.76","349.0","422.0",""
"Jean Marc Fossier","C1H","214.01","595.0","436.0",""
"Maraquin Guillaume","C1H","215.32","-","444.0",""
"Paul Baldi","C1H","218.07","477.0","462.0",""
"Dany Manteau","C1H","225.51","-","510.0",""
"Antoine Harlaut","C1H","230.27","510.0","540.0",""
"Paoletti Philippe","C1H","230.76","605.0","543.0",""
"Collet Timothe","C1H","241.33","483.0","612.0",""
"Benjamin Fourmet","C1H","241.54","-","613.0",""
"Boudat Gautier","C1H","265.2","882.0","765.0",""
"Simonin Camille","C1H","272.48","-","813.0",""
"Ladouce Sebastien","C1H","282.08","-","875.0",""
"Noiret Aurelien","C1H","291.56","-","936.0",""
"Danilevski Cyril","C1H","296.5","-","968.0",""
"Gautherot Thibault","C1H","297.27","-","973.0",""
"Fossier Remi","C1H","310.39","-","1057.0",""
"Christophe Simonin","C1H","313.0","881.0","1074.0",""
"Juillet Edouard","C1H","344.68","-","1278.0",""
"Dupin Nicolas","C1H","355.2","-","1346.0",""
"Galibert Guillaume","C1H","394.74","-","1601.0",""
"Schmidt Emmanuel","C1H","420.87","-","1770.0",""
"Duchiron Stephane- Argenson Thomas","C2H","212.4","279.0","363.0",""
"Vallee Quentin- Schwentzel Geoffroy","C2H","221.26","-","418.0",""
"Thevenin Sebastien- Thevenin Johann","C2H","227.32","388.0","455.0",""
"Jerome Lacire-Jerome Mailfait","C2H","243.22","-","553.0",""
"Manteau Dany- Manteau Laurent","C2H","247.11","-","576.0",""
