"Sélectif N3 Beaurainville - Bassin De Beaurainville - 2006-05-27 Course 1","Bassin De Beaurainville","Course 1","","2006-05-27","Nationale 3","94"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Kudla Romain","C1H","198.59","281.0","288.0",""
"Quentin Vallee","C1H","202.93","303.0","315.0",""
"Delattre Arnaud","C1H","207.24","351.0","342.0",""
"Jeremy Bretteville","C1H","207.63","309.0","345.0",""
"Guillaume Doutreix","C1H","207.95","317.0","347.0",""
"Loic Bourgeois","C1H","213.72","52.0","383.0",""
"Pierre Maillard","C1H","215.1","494.0","391.0",""
"Sergent Sylvain","C1H","219.1","532.0","416.0",""
"Jean Marc Fossier","C1H","219.54","516.0","419.0",""
"Mathys Morgan","C1H","220.17","393.0","423.0",""
"Thibault Bigeon","C1H","226.86","453.0","465.0",""
"Donatien Lamoureux","C1H","227.27","436.0","467.0",""
"Leyoudec Florent","C1H","238.65","601.0","538.0",""
"Paoletti Philippe","C1H","259.41","577.0","668.0",""
"Houssaye Emilien","C1H","278.18","484.0","785.0",""
"Teddy Poulard-Jeremy Bretteville","C2H","208.89","350.0","294.0",""
"Sarazin Emmanuel- Gosselin Florian","C2H","216.83","460.0","340.0",""
"Harlaut Antoine- Bourgeois Loic","C2H","242.55","413.0","494.0",""
"Vincent Richard-Olivier Cornu","C2H","283.77","417.0","739.0",""
"Julie Paoletti","K1D","216.03","333.0","302.0",""
"Clara Yang-ting","K1D","219.04","317.0","319.0",""
"Fiora Bourges","K1D","222.06","300.0","336.0",""
"Celia Jodar","K1D","236.67","364.0","421.0",""
"Vinzend Ingrid Thuy Vi","K1D","237.59","385.0","427.0",""
"Remy Julie","K1D","237.84","417.0","428.0",""
"Charlotte Hay","K1D","241.68","381.0","450.0",""
"Sophie Busson","K1D","243.39","441.0","460.0",""
"Thibaud Vielliard","K1H","171.62","253.0","174.0",""
"Debruyere Benjamin","K1H","176.72","245.0","207.0",""
"Sergent Sylvain","K1H","177.15","261.0","210.0",""
"Arnaud Delattre","K1H","180.8","258.0","233.0",""
"Didier Niel","K1H","181.02","222.0","235.0",""
"Christophe Gosselin","K1H","181.8","245.0","241.0",""
"Axel Marais","K1H","185.79","331.0","267.0",""
"Anthony Mottais","K1H","186.22","240.0","269.0",""
"Loic Monbel","K1H","186.33","262.0","269.0",""
"Guillaume Doutreix","K1H","188.37","319.0","283.0",""
"Bertrand Avril","K1H","188.53","269.0","284.0",""
"Legrand Adrien","K1H","189.3","316.0","289.0",""
"Jean-luc Mottais","K1H","190.38","269.0","296.0",""
"Paul Poulet","K1H","190.56","314.0","297.0",""
"Eric Lamour","K1H","190.62","318.0","298.0",""
"Terryn Gilles","K1H","190.92","313.0","300.0",""
"Vieillard Alexis","K1H","191.08","503.0","301.0",""
"Stephane Sagnier","K1H","194.28","382.0","321.0",""
"Nicolas Dupres","K1H","195.38","322.0","329.0",""
"Viratelle Vincent","K1H","195.88","344.0","333.0",""
"Gaetan Dheilly","K1H","196.58","308.0","337.0",""
"Philippe Valeri","K1H","196.82","303.0","338.0",""
"Romain Content","K1H","196.9","342.0","339.0",""
"Yves Moreno","K1H","197.5","304.0","343.0",""
"Johann Beldame","K1H","198.73","368.0","351.0",""
"Antoine Deffontaine","K1H","199.78","388.0","358.0",""
"Benjamin Fourmet","K1H","199.88","369.0","359.0",""
"Valentin Casse","K1H","200.07","440.0","360.0",""
"Teddy Poulard","K1H","201.9","309.0","372.0",""
"Valentin Cazin","K1H","202.52","391.0","375.0",""
"Guillaume Sebastien","K1H","204.41","420.0","388.0",""
"Thomas Viratelle","K1H","205.63","416.0","396.0",""
"Parant Fabrice","K1H","206.67","438.0","403.0",""
"Germain Carre","K1H","206.67","350.0","403.0",""
"Thibault Dhennin","K1H","207.5","375.0","408.0",""
"Mannier Quentin","K1H","208.64","350.0","415.0",""
"Thibault Gautherot","K1H","208.66","441.0","416.0",""
"Holleville Guillaume","K1H","208.68","368.0","416.0",""
"Noury Maxime","K1H","209.69","475.0","423.0",""
"Quentin Dheilly","K1H","209.77","477.0","423.0",""
"Thomas Plomion","K1H","211.32","445.0","433.0",""
"Jerome Mailfait","K1H","211.63","375.0","435.0",""
"Martin Sacleux","K1H","211.86","468.0","437.0",""
"Florian Lefebvre","K1H","212.53","506.0","442.0",""
"Averlant Alexis","K1H","212.86","417.0","443.0",""
"Mathieu Faure","K1H","213.15","514.0","445.0",""
"Salinie Sylvain","K1H","213.78","509.0","450.0",""
"Renard Guillaume","K1H","214.69","490.0","455.0",""
"Aurelien Noiret","K1H","223.38","587.0","512.0",""
"Cheron Valentin","K1H","223.53","575.0","513.0",""
"Albertelli Romain","K1H","225.67","482.0","527.0",""
"Monbel Romain","K1H","226.03","514.0","530.0",""
"Poupart Maxime","K1H","226.75","515.0","535.0",""
"Berenger Bonnard","K1H","228.85","654.0","549.0",""
"Dupin Nicolas","K1H","230.52","536.0","559.0",""
"Baudry Pierre Luc","K1H","230.96","637.0","562.0",""
"Sarazin Jean Benoit","K1H","232.28","573.0","571.0",""
"Alexandre Peslin","K1H","234.21","487.0","583.0",""
"Deffebvre Pierre","K1H","234.73","683.0","587.0",""
"Hugo Francois","K1H","237.37","540.0","604.0",""
"Henry Théophile","K1H","243.56","646.0","644.0",""
"Lacaille Morgan","K1H","244.84","623.0","653.0",""
"Bastien Darcillon","K1H","246.69","299.0","665.0",""
"Simon Joudou","K1H","248.24","262.0","675.0",""
"Maxime Raux","K1H","286.84","539.0","928.0",""
"Jeremy Huguenin","K1H","291.23","541.0","957.0",""
"Jeremy Denis","K1H","303.17","612.0","1035.0",""
