"championnat regional - Prades Course 1","Prades","Course 1","","2006-06-11","Régional","31"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Gaugain Antony","C1H","260.0","-","506.0",""
"Vernet Benoit","C1H","290.0","-","678.0",""
"Boutier Nelly","K1D","329.0","-","768.0",""
"Virginie Lepere","K1D","823.0","-","3394.0",""
"Sabatier Laurie Anne","K1D","1119.0","-","4969.0",""
"Anthony Gaugain","K1H","199.0","189.0","214.0",""
"Cedric Mace","K1H","204.0","226.0","244.0",""
"Rodolphe Imbaud","K1H","220.0","326.0","340.0",""
"Valentin Jay","K1H","224.0","454.0","364.0",""
"Guillaume Moreno","K1H","230.0","342.0","400.0",""
"Berthet Matthieu","K1H","235.0","440.0","430.0",""
"Oleon Jeancharles","K1H","235.0","-","430.0",""
"Noble Aurelien","K1H","236.0","-","436.0",""
"Flavien Odile","K1H","236.0","427.0","436.0",""
"Benoit Morand","K1H","240.0","392.0","460.0",""
"Luc Formet","K1H","241.0","-","466.0",""
"Vernet Benoit","K1H","242.0","-","472.0",""
"Allard Thibaud","K1H","247.0","-","503.0",""
"Dominique Odile","K1H","263.0","442.0","599.0",""
"Cedat Bruno","K1H","266.0","-","616.0",""
"Claude Flouret","K1H","269.0","-","634.0",""
"Jordan Tim","K1H","290.0","1092.0","761.0",""
"Gerard Jordan","K1H","300.0","-","821.0",""
"Lejeune Olivier","K1H","316.0","-","917.0",""
"Moncel Thibault","K1H","339.0","-","1055.0",""
"Petit Loic","K1H","345.0","-","1091.0",""
"Bigeard Marc","K1H","346.0","1339.0","1097.0",""
"Theo Viallard","K1H","417.0","-","1524.0",""
"Thomas Pinel","K1H","424.0","-","1565.0",""
"Adrien Margot - Vallee","K1H","466.0","-","1818.0",""
"Chhean Monkol","K1H","851.0","-","4132.0",""
