"Finale N3 Sablé sur Sarthe - Bras De La Marbrerie, Sablé Sur Sarthe Course 1","Bras De La Marbrerie, Sablé Sur Sarthe","Course 1","","2006-06-17","Nationale 3","183"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Elodie Le Nechet","C1D","282.63","670.0","613.0",""
"Laetitia Odermatt","C1D","293.05","729.0","674.0",""
"Mathieu Villeger","C1H","213.25","343.0","214.0",""
"Gaetan Le Henaff","C1H","215.01","228.0","224.0",""
"Navarre Emmanuel","C1H","220.4","301.0","255.0",""
"Romain Caillon","C1H","220.74","291.0","257.0",""
"Gireg Hamoniaux","C1H","222.24","270.0","266.0",""
"Yoann Rebours","C1H","222.39","325.0","267.0",""
"Philippe Niquet","C1H","224.18","327.0","277.0",""
"David Riffaud","C1H","228.13","334.0","300.0",""
"Christian Boob","C1H","228.41","315.0","301.0",""
"Julien Rocaboy","C1H","229.59","346.0","308.0",""
"Jeremy Moreaux","C1H","231.2","333.0","318.0",""
"Thomas Bourhis","C1H","231.99","326.0","322.0",""
"Antoine Simon","C1H","232.44","372.0","325.0",""
"Nicolas Guillemot","C1H","234.37","289.0","335.0",""
"Stephane Machet","C1H","237.3","366.0","353.0",""
"Avril Jose","C1H","238.84","553.0","362.0",""
"Sebastien Fouille","C1H","242.04","363.0","379.0",""
"Herve Busson","C1H","247.14","398.0","409.0",""
"Yvan Raoult","C1H","248.43","470.0","417.0",""
"Brendan Croizer","C1H","252.75","348.0","441.0",""
"Maxime Herve","C1H","253.23","471.0","444.0",""
"Brize Guillaume","C1H","253.46","535.0","446.0",""
"Kevin Cardon","C1H","263.05","653.0","501.0",""
"Chibois Colin","C1H","267.56","546.0","527.0",""
"Nauraye Flavien","C1H","274.85","484.0","569.0",""
"Jeanfrancois Dugast","C1H","277.42","591.0","584.0",""
"Jean Francois Villeger","C1H","281.62","641.0","607.0",""
"Pierre Chassigneux","C1H","282.71","539.0","614.0",""
"Jeanfrancis Battesti","C1H","297.87","672.0","701.0",""
"Pierre Herault-Abdelkrim Ali Zazou","C2H","236.25","299.0","285.0",""
"Thomas Rolando-Adrien Caillaud","C2H","241.59","344.0","314.0",""
"Collet Cedric- Simon Joseph","C2H","250.03","440.0","361.0",""
"Nicolas Rebours-Baptiste Granger","C2H","258.21","404.0","406.0",""
"Herve Busson-Pierrick Meheust","C2H","281.91","468.0","536.0",""
"Rebours Yoann- Bizot Yoann","C2H","293.87","365.0","601.0",""
"Merrien Mikael- Hamoniaux Gireg","C2H","297.47","489.0","621.0",""
"Pierre Chassigneux-Brigitte Passet","C2M","312.86","594.0","706.0",""
"Laetitia Odermatt","K1D","236.43","322.0","251.0",""
"Marine Joslin","K1D","239.68","346.0","269.0",""
"Collet Aurore","K1D","243.8","367.0","290.0",""
"Marion Villeger","K1D","245.77","383.0","301.0",""
"Lucie Saucet","K1D","246.01","346.0","302.0",""
"Nathalie Gil","K1D","246.42","299.0","305.0",""
"Deborah Larsonneur","K1D","253.02","416.0","340.0",""
"Camille Gil","K1D","253.53","339.0","342.0",""
"Claire Pichon","K1D","254.34","404.0","347.0",""
"Chloe Le Clezio","K1D","255.94","416.0","356.0",""
"Nolwen Jouan","K1D","257.42","461.0","364.0",""
"Aziliz Le Paih","K1D","262.14","398.0","389.0",""
"Aurelie Le Fee","K1D","265.18","453.0","405.0",""
"Cyrielle Pichard","K1D","269.3","438.0","427.0",""
"Delhia Petiot","K1D","270.07","360.0","431.0",""
"Camille Le Coq","K1D","270.18","516.0","432.0",""
"Bertho Laura","K1D","271.09","466.0","436.0",""
"Blanloeuil Sandra","K1D","271.59","450.0","439.0",""
"Adeline Gerardin","K1D","271.88","476.0","441.0",""
"Baradel Anne","K1D","277.62","466.0","471.0",""
"Barbara Cavyn","K1D","279.98","592.0","484.0",""
"Lusven Anna","K1D","285.96","519.0","516.0",""
"Ferec Caroline","K1D","286.28","406.0","518.0",""
"Herlido Camille","K1D","287.72","486.0","525.0",""
"Charlene Le Corvaisier","K1D","290.46","319.0","540.0",""
"Andrea Menant","K1D","304.36","691.0","614.0",""
"Alexandra Menant","K1D","311.28","654.0","651.0",""
"Gion Maëliss","K1D","312.38","565.0","657.0",""
"Le Paih Erell","K1D","317.27","684.0","683.0",""
"Camus Helene","K1D","322.68","739.0","713.0",""
"Breton Enora","K1D","349.55","543.0","856.0",""
"Melaine Pichard","K1H","195.14","188.0","166.0",""
"Valentin Brindeau","K1H","196.4","183.0","174.0",""
"Reuche Benjamin","K1H","197.58","224.0","181.0",""
"Romain Fraisse","K1H","197.82","239.0","182.0",""
"Solen Le Bourles","K1H","198.64","261.0","188.0",""
"Boris Pernelle","K1H","199.65","228.0","194.0",""
"Patrick Jegou","K1H","200.96","249.0","202.0",""
"Julien Riffaud","K1H","202.29","241.0","209.0",""
"Laurent Van Poucke","K1H","204.5","262.0","223.0",""
"Paul Storez","K1H","204.89","263.0","225.0",""
"Philippe Niquet","K1H","205.3","230.0","228.0",""
"Simon Philibert","K1H","206.1","318.0","233.0",""
"Loic Froissard","K1H","207.11","296.0","239.0",""
"Boris Sacre","K1H","207.54","266.0","242.0",""
"Vincent Froger","K1H","208.59","319.0","247.0",""
"Francois Adam","K1H","208.6","227.0","247.0",""
"Pierre Yves Tanguy","K1H","208.77","302.0","248.0",""
"Simon Bercon","K1H","209.59","331.0","253.0",""
"Thomas Le Lons","K1H","210.56","335.0","259.0",""
"Alexandre Di Nisi","K1H","210.6","366.0","259.0",""
"Clement Praille","K1H","210.79","328.0","261.0",""
"Jeremy Froger","K1H","211.59","297.0","266.0",""
"Pierre-yves Lebreton","K1H","211.75","273.0","267.0",""
"Bastien Pailler","K1H","212.28","301.0","270.0",""
"Quentin Lyphout","K1H","212.67","374.0","272.0",""
"Melaine Caurant","K1H","213.28","343.0","276.0",""
"David Despierres","K1H","213.31","326.0","276.0",""
"Jacques Despierres","K1H","213.36","275.0","276.0",""
"William Desnos","K1H","213.55","300.0","278.0",""
"Erwan Beyou","K1H","213.63","346.0","278.0",""
"Jerome Talbot","K1H","213.72","226.0","279.0",""
"Yann Le Govic","K1H","213.87","340.0","280.0",""
"Nicolas Cerisier","K1H","213.97","336.0","280.0",""
"Planchais Martial","K1H","214.31","311.0","282.0",""
"Jean-noel Avril","K1H","214.32","288.0","282.0",""
"Alexandre Plouzeau","K1H","214.55","331.0","284.0",""
"Etienne Legeay","K1H","214.88","372.0","286.0",""
"Erwan Desbordes","K1H","215.25","290.0","288.0",""
"Gardan Benjamin","K1H","215.87","261.0","291.0",""
"Simon Vaillant","K1H","217.22","429.0","299.0",""
"Marc Robert","K1H","217.39","338.0","300.0",""
"Mahe Alan","K1H","217.43","367.0","301.0",""
"Philippe Rocher","K1H","217.57","288.0","301.0",""
"Remy Linard","K1H","217.59","318.0","302.0",""
"Lac Germain","K1H","217.97","326.0","304.0",""
"Masseran Pierre","K1H","218.68","400.0","308.0",""
"Fabien Le Bourser","K1H","218.71","310.0","309.0",""
"Corbeau Benjamin","K1H","218.74","325.0","309.0",""
"Maxime Perrin","K1H","220.52","365.0","320.0",""
"Charles Kerbellec","K1H","220.65","308.0","321.0",""
"Paul Fievet","K1H","221.08","350.0","323.0",""
"Nicolas Pinot","K1H","221.11","274.0","323.0",""
"Ludovic Garnier","K1H","221.38","460.0","325.0",""
"Mathieu Eyrolle","K1H","222.5","455.0","332.0",""
"Descheres Erwan","K1H","222.84","386.0","333.0",""
"Pierre Bontoux","K1H","223.2","442.0","335.0",""
"Baptiste Granger","K1H","223.87","351.0","339.0",""
"Cornu Jeremy","K1H","224.05","414.0","341.0",""
"Louis-maxime Main","K1H","224.77","416.0","345.0",""
"Denis Voisin","K1H","225.03","327.0","347.0",""
"Tristan Bronsard","K1H","225.43","521.0","349.0",""
"Hoel Carnot","K1H","225.67","376.0","351.0",""
"Sebastien Kerneis","K1H","226.17","408.0","354.0",""
"Arnaud Le Calvez","K1H","227.16","339.0","360.0",""
"Manuel Moquet","K1H","227.33","311.0","361.0",""
"Clement Ledard","K1H","228.04","385.0","365.0",""
"Merrien Mikael","K1H","228.12","426.0","366.0",""
"Rouet Jeremy","K1H","228.49","447.0","368.0",""
"Damien Gaillard","K1H","230.0","420.0","376.0",""
"Sebastien Gautier","K1H","231.3","355.0","384.0",""
"Jean Messialle","K1H","231.35","402.0","385.0",""
"Pierrick Meheust","K1H","231.4","430.0","385.0",""
"Flavien Odile","K1H","232.96","426.0","395.0",""
"Hugo Le Guennic","K1H","233.78","414.0","400.0",""
"Jerome Trousson","K1H","234.45","396.0","404.0",""
"Adrien Alusse","K1H","235.6","525.0","411.0",""
