"Slalom régional d'Annemasse - Annemasse - 2006-09-24","Course 1","2006-09-24","Régional","143"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lalliet Olivier","C1H","201.94","9","58",""
"Olivier Barriere","C1H","236.82","220","240",""
"Etienne Daille","C1H","237.53","224","243",""
"Thomas Rosset","C1H","238.68","-","250",""
"Gauthier Gonseth","C1H","240.23","-","258",""
"Papoz Bastien","C1H","242.79","274","271",""
"Nicolas Detheve","C1H","251.63","-","317",""
"Alonso Remy","C1H","253.92","-","330",""
"Jerome Daille","C1H","256.12","209","341",""
"Cunsolo Enrick","C1H","256.55","-","343",""
"Sebastien De Kerleau","C1H","261.51","276","369",""
"Bouvard Sebastien","C1H","264.00","-","382",""
"Guillaume Gonseth","C1H","270.40","-","415",""
"Baudot Rémi","C1H","270.52","442","416",""
"Nil Georgel","C1H","272.94","-","428",""
"Benjamin Travostino","C1H","288.23","-","508",""
"Alexandre Dimitriou","C1H","301.06","-","575",""
"Guilhem Courduries","C1H","302.27","-","581",""
"Piot Jean Yves","C1H","318.86","-","668",""
"Laurent Coudurier","C1H","324.30","-","696",""
"Thomas Koechlin","C1H","327.59","598","714",""
"Maxime Vallin","C1H","367.15","403","920",""
"Domine Jules","C1H","382.45","-","1000",""
"Bahlat Youcef","C1H","472.42","-","1470",""
"Girardet Julien","C1H","492.58","-","1575",""
"Parisato Benoit","C1H","544.10","-","1844",""
"Corentin Metral","C1H","556.73","-","1910",""
"Donzel Leo","C1H","598.95","-","2130",""
"Mangeot Mathieu","C1H","788.07","-","3117",""
"David Robin","C1H","790.00","-","3127",""
"Remy Alonso-Victor Lamy","C2H","221.94","43","110",""
"Bouvard Laurent- Bouvard Sebastien","C2H","265.67","264","328",""
"Enrick Cunsolo-Thomas Koechlin","C2H","287.84","1011","437",""
"Georgel Nil- Mangeot Mathieu","C2H","337.29","-","685",""
"Guillaume Gonseth-Nicolas Detheve","C2H","377.76","-","886",""
"Provost Guillaume- Metereau Renaud","C2H","436.30","-","1177",""
"Dalex Karl- Pradeau Xavier","C2H","646.93","-","2227",""
