"Sélectif régional de slalom de Corbeil - Corbeil-Essonnes - 2006-11-12 Course 1","Corbeil-Essonnes","Course 1","","2006-11-12","Régional","191"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Alize Bachelot","C1D","311.17","-","1057.0",""
"Pierre Berthelot Kleck","C1H","184.44","90.0","184.0",""
"Kudla Romain","C1H","195.64","227.0","261.0",""
"Xavier Jourdain","C1H","196.46","281.0","267.0",""
"Jemaa Souleyk","C1H","196.68","410.0","269.0",""
"Geoffroy Schwentzel","C1H","198.98","242.0","285.0",""
"Thibault Bigeon","C1H","200.12","289.0","292.0",""
"Maxime Cousin","C1H","200.35","249.0","294.0",""
"Martin Darees","C1H","200.6","270.0","296.0",""
"Philippe Senechal","C1H","202.57","315.0","309.0",""
"Teddy Poulard","C1H","203.16","285.0","314.0",""
"Antoine Decambon","C1H","205.35","-","328.0",""
"Evence Granger","C1H","205.68","249.0","330.0",""
"Thibaud Kudla","C1H","206.1","328.0","334.0",""
"Jean-guillaume Desmoulin","C1H","206.3","245.0","335.0",""
"Olivier Gesbert","C1H","206.39","283.0","336.0",""
"Jerome Lacire","C1H","210.44","380.0","364.0",""
"Quentin Vallee","C1H","210.44","297.0","364.0",""
"Guillonet Jerome","C1H","210.57","-","364.0",""
"Alexandre Lismonde","C1H","210.91","453.0","366.0",""
"Jean Baptiste Lismonde","C1H","212.49","360.0","377.0",""
"William Ozanne","C1H","214.8","-","393.0",""
"Gilles Gaud","C1H","220.9","534.0","435.0",""
"Pierre Maillard","C1H","221.85","405.0","442.0",""
"Alexandre Diemert","C1H","224.82","460.0","462.0",""
"Paul Baldi","C1H","225.72","467.0","469.0",""
"Jacques Nardeau","C1H","229.6","563.0","496.0",""
"Collet Timothe","C1H","232.64","461.0","517.0",""
"Danilevski Cyril","C1H","237.25","647.0","548.0",""
"Deffebvre Pierre","C1H","241.22","-","575.0",""
"Paoletti Philippe","C1H","241.84","516.0","579.0",""
"Boudat Gautier","C1H","242.98","939.0","587.0",""
"Sertier Remi","C1H","251.44","-","646.0",""
"Domenger Paul","C1H","252.24","-","651.0",""
"Jonathan Matern","C1H","255.97","-","677.0",""
"Silvere Desongins","C1H","256.67","-","682.0",""
"Renoux Franck","C1H","280.01","-","843.0",""
"Odile Flavien","C1H","287.55","-","894.0",""
"Henry Théophile","C1H","298.71","1106.0","971.0",""
"Lino Ludovic","C1H","301.55","-","992.0",""
"Thibault Bigeon-Antoine Decambon","C2H","215.08","247.0","328.0",""
"Teddy Poulard-Jeremy Bretteville","C2H","222.46","292.0","376.0",""
"Jerome Lacire-Jerome Mailfait","C2H","228.13","552.0","414.0",""
"Guillaume Maraquin-Thibaud Kudla","C2H","232.48","-","442.0",""
"Boudat Gautier- Matern Jonathan","C2H","272.69","-","707.0",""
"Rigal Louis Philippe- Lesigne Agathe","C2M","231.38","-","435.0",""
"Lesigne Agathe","K1D","199.83","199.0","193.0",""
"Julie Paoletti","K1D","212.6","281.0","275.0",""
"Fiora Bourges","K1D","213.24","292.0","279.0",""
"Hubert Sandrine","K1D","214.85","236.0","289.0",""
"Vinzend Ingrid Thuy Vi","K1D","214.98","349.0","290.0",""
"Lea Feuillard","K1D","216.14","278.0","297.0",""
"Celia Jodar","K1D","221.36","361.0","330.0",""
"Rosalie Kempf","K1D","223.06","328.0","342.0",""
"Marion Gallois","K1D","223.8","494.0","346.0",""
"Cloe Hun","K1D","224.24","373.0","349.0",""
"Maud Thisse","K1D","225.03","403.0","354.0",""
"Marine Joslin","K1D","225.57","319.0","357.0",""
"Clara Dos Santos","K1D","227.68","561.0","371.0",""
"Clara Yang-ting","K1D","228.9","263.0","378.0",""
"Sophie Busson","K1D","230.62","414.0","390.0",""
"Alize Bachelot","K1D","233.64","434.0","410.0",""
"Charlotte Hay","K1D","234.82","387.0","416.0",""
"Adeline Gerardin","K1D","235.14","439.0","419.0",""
"Claire Chantry","K1D","250.68","798.0","518.0",""
"Marie-helene Bruyen","K1D","274.49","-","671.0",""
"Delecolle Audrey","K1D","278.86","835.0","699.0",""
"Kronousek Justine","K1D","281.29","-","715.0",""
"Amalia Mazzilli","K1D","282.59","885.0","722.0",""
"Dugast Marie-Alix","K1D","283.49","-","728.0",""
"Lucas Melanie","K1D","302.14","-","847.0",""
"Maitrot Mathilde","K1D","310.63","-","902.0",""
"Balmossiere Pauline","K1D","312.26","-","912.0",""
"Clementine Vuillermot-panthou","K1D","312.98","870.0","918.0",""
"Ottemer Abigail","K1D","342.66","-","1108.0",""
"Dorey Magalie","K1D","352.99","-","1174.0",""
"Sylvie Bourdon","K1D","395.88","-","1448.0",""
"Ronan Lucas","K1H","169.33","100.0","138.0",""
"Louis Philippe Rigal","K1H","170.72","80.0","148.0",""
"Gregory Busson","K1H","172.23","108.0","160.0",""
"Benoit Chantry","K1H","173.79","-","171.0",""
"Vincent Reiter","K1H","174.84","141.0","179.0",""
"De Berchen Sebastien","K1H","174.84","91.0","179.0",""
"Xavier Jourdain","K1H","175.24","102.0","181.0",""
"Jeremy Cremonesi","K1H","175.34","136.0","182.0",""
"Ciaran Heurteau","K1H","175.73","51.0","185.0",""
"Michel Gombert","K1H","176.64","127.0","191.0",""
"Brogniart Arnaud","K1H","178.08","127.0","202.0",""
"Philippe Daumont","K1H","178.7","158.0","206.0",""
"Loic Monbel","K1H","179.54","181.0","212.0",""
"Kudla Romain","K1H","179.76","147.0","214.0",""
"Coiffe Florion","K1H","179.76","165.0","214.0",""
"Le Berte Maxime","K1H","180.55","183.0","220.0",""
"Julien Daumont","K1H","180.85","139.0","222.0",""
"Florian Perenchio","K1H","180.85","192.0","222.0",""
"Yves Debailleul","K1H","183.66","286.0","242.0",""
"Samuel Lhegu","K1H","183.97","206.0","244.0",""
"Guillaume Maraquin","K1H","184.34","267.0","247.0",""
"Gilles Flores","K1H","184.64","217.0","249.0",""
"Bastien Darcillon","K1H","188.32","271.0","276.0",""
"Guillaume Arnaud","K1H","188.9","-","280.0",""
"Adel Faycal","K1H","188.95","304.0","280.0",""
"Geoffroy Schwentzel","K1H","190.42","304.0","291.0",""
"Julien Signarbieux","K1H","191.39","352.0","298.0",""
"Romain Content","K1H","192.18","287.0","304.0",""
"Bonnin Sylvain","K1H","192.35","283.0","305.0",""
"Jodar Sebastien","K1H","192.96","252.0","309.0",""
"Alban Planchais","K1H","193.16","-","310.0",""
"Paul Poulet","K1H","193.94","257.0","317.0",""
"Renard Guillaume","K1H","194.43","420.0","320.0",""
"Flavien Odile","K1H","195.92","410.0","330.0",""
"Thomas Monvoisin","K1H","196.35","286.0","334.0",""
"Leclerc Jerome","K1H","196.88","336.0","338.0",""
"Julien Darees","K1H","197.17","-","339.0",""
"Philippe Valeri","K1H","197.38","331.0","342.0",""
"Maxime Cousin","K1H","197.75","-","344.0",""
"Roberge Sebastien","K1H","198.36","408.0","348.0",""
"Jerome Trousson","K1H","198.85","333.0","352.0",""
"Valentin Casse","K1H","198.93","333.0","353.0",""
"Viratelle Vincent","K1H","199.01","333.0","353.0",""
"Nicolas Feuillard","K1H","199.47","399.0","356.0",""
"Jemaa Souleyk","K1H","199.6","-","357.0",""
"Lismonde Jean Batiste","K1H","200.37","334.0","363.0",""
"Maignan Adrien","K1H","202.5","-","378.0",""
"Dutois Pierre","K1H","203.52","426.0","386.0",""
"Backscheider Adrien","K1H","204.57","-","393.0",""
"Alexandre Peslin","K1H","204.81","404.0","395.0",""
"Jerome Mailfait","K1H","204.81","388.0","395.0",""
"Gerard Lafargue","K1H","205.87","415.0","403.0",""
"Salinie Sylvain","K1H","206.34","433.0","406.0",""
"Thomas Viratelle","K1H","206.93","401.0","411.0",""
"Kraemer Nicolas","K1H","207.3","486.0","413.0",""
"Imbert Louis","K1H","207.43","-","414.0",""
"Remy Daumont","K1H","207.99","393.0","419.0",""
"Domenger Paul","K1H","210.51","502.0","437.0",""
"Briois Vianney","K1H","211.24","-","442.0",""
"Stephane Helle","K1H","212.14","-","448.0",""
"Zawadzki Wilfried","K1H","212.72","507.0","452.0",""
"Gaspard Vivien","K1H","212.83","584.0","453.0",""
"Lebar Johnny","K1H","213.83","423.0","460.0",""
"Ludovic Lino","K1H","213.96","478.0","461.0",""
"Silvere Desongins","K1H","214.56","706.0","466.0",""
"Jeremy Huguenin","K1H","215.1","490.0","470.0",""
"Coudiere Sebastien","K1H","215.46","-","472.0",""
"Beranger Doulle","K1H","215.72","-","474.0",""
"Etienne Carpentier","K1H","216.13","647.0","477.0",""
"Sebastien Dupont","K1H","216.66","-","481.0",""
"Romain Lemaire","K1H","217.0","490.0","483.0",""
"Jean-loup Bachmann","K1H","217.26","-","486.0",""
"Romain Faurie","K1H","217.66","781.0","488.0",""
"Nicolas Girault","K1H","220.57","-","509.0",""
"Denis Parizia","K1H","221.87","514.0","519.0",""
"Deffebvre Pierre","K1H","222.26","556.0","521.0",""
"Romaric Baron","K1H","222.89","625.0","526.0",""
"Louchez Benoit","K1H","223.84","-","533.0",""
"Bellacicco Denis","K1H","223.95","498.0","534.0",""
"Monbel Romain","K1H","225.04","481.0","541.0",""
"Coudiere Julien","K1H","227.82","470.0","562.0",""
"Paul Bornier","K1H","229.42","1263.0","573.0",""
"Dalle Alexandre","K1H","229.56","-","574.0",""
"Louis Piot","K1H","229.7","867.0","575.0",""
"Alexandre Julien","K1H","230.81","-","583.0",""
"Henriot Thomas","K1H","232.03","510.0","592.0",""
"Marcille Antoine","K1H","232.07","-","593.0",""
"Logan Nannette","K1H","233.4","591.0","602.0",""
"Masson Cedric","K1H","234.1","-","607.0",""
"Sergepatrick Viseur","K1H","234.87","553.0","613.0",""
"Jean Bernard Lacave","K1H","235.88","-","620.0",""
"Ernou Gregoire","K1H","236.0","628.0","621.0",""
"Benko Morgan","K1H","236.99","636.0","627.0",""
"Patrick Hun","K1H","238.71","-","641.0",""
"Henry Théophile","K1H","239.92","576.0","649.0",""
"Kevin Pantofel","K1H","240.12","836.0","651.0",""
"Dabo Regis","K1H","243.09","853.0","672.0",""
"Gerard Cartier","K1H","243.83","832.0","678.0",""
"Kronovsek Patrick","K1H","245.34","1032.0","689.0",""
"Guillaume Doutreix","K1H","248.29","276.0","710.0",""
"Laurent Ernou","K1H","248.74","750.0","713.0",""
"De Wever Lucas","K1H","249.95","-","721.0",""
"Claude Breuzard","K1H","253.92","820.0","750.0",""
"Thomas Van Craenenbroeck","K1H","259.11","-","788.0",""
"Rome Yvan","K1H","263.48","1401.0","820.0",""
"Sylvain Pionnier","K1H","263.62","-","821.0",""
"Maxime Boisgontier","K1H","270.82","-","873.0",""
"Tristan Lejot","K1H","275.17","-","904.0",""
"Cotinet Angelo","K1H","298.7","1086.0","1074.0",""
"Romain Bertrand","K1H","348.58","-","1435.0",""
"Boudin Herve","K1H","349.98","-","1446.0",""
"Petit Jean Baptiste","K1H","399.6","-","1805.0",""
"Adrien Barlier","K1H","535.34","-","2787.0",""
"Louka Bachmann","K1H","603.84","-","3282.0",""
