"slalom Régional - Picquigny Course 1","Picquigny","Course 1","","2006-12-03","Régional","88"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Thibaud Vielliard","C1H","199.39","86.0","110.0",""
"Pierre Berthelot Kleck","C1H","205.98","90.0","148.0",""
"Quentin Bove","C1H","215.67","118.0","204.0",""
"Vincent Hannedouche","C1H","220.29","-","231.0",""
"Yoann Hautecloche","C1H","225.26","-","260.0",""
"Martin Darees","C1H","227.94","270.0","275.0",""
"Granger Terence","C1H","236.15","-","324.0",""
"Mathieu Dutendas","C1H","243.35","345.0","365.0",""
"Evence Granger","C1H","245.37","249.0","376.0",""
"Boulard Leo","C1H","260.24","509.0","463.0",""
"Vignaux Raphael","C1H","264.56","447.0","489.0",""
"Pierre Maillard","C1H","265.99","405.0","496.0",""
"Bellembois Thibault","C1H","281.92","-","589.0",""
"Florian Lefebvre","C1H","319.48","721.0","807.0",""
"Hugo Chauvary","C1H","344.5","674.0","953.0",""
"Bastien Belembert","C1H","348.23","564.0","974.0",""
"Bernard Cerney","C1H","365.38","1622.0","1075.0",""
"Gwizdziel Guillaume","C1H","490.1","-","1799.0",""
"Sergent Sylvain- Maupin Mikael","C2H","244.68","331.0","308.0",""
"Vieillard Thibaud- Lamour Eric","C2H","303.56","396.0","634.0",""
"Burgard Jean Roch- Chauvary Hugo","C2H","315.56","669.0","701.0",""
"Quentin Sirven-Pierre Defebvre","C2H","336.63","-","818.0",""
"Quentin Dheilly-Louis Firmin","C2H","420.46","-","1283.0",""
"Deblangy Remi- Hemon Anthony","C2H","684.85","-","2749.0",""
"Beuvin Camille","K1D","236.53","200.0","229.0",""
"Flora Bove","K1D","243.53","219.0","266.0",""
"Constance Martin","K1D","300.62","-","574.0",""
"Astride Tobo","K1D","325.42","536.0","708.0",""
"Marie Vermersch","K1D","525.44","-","1788.0",""
"Quentin Bove","K1H","188.09","42.0","98.0",""
"Yoann Hautecloche","K1H","191.74","93.0","121.0",""
"Vincent Reiter","K1H","194.34","141.0","137.0",""
"Pierre Baux","K1H","196.19","185.0","148.0",""
"Jeremy Cremonesi","K1H","197.33","136.0","155.0",""
"Dupont Eric","K1H","197.78","182.0","157.0",""
"Julien Antide","K1H","200.29","171.0","172.0",""
"Ciaran Heurteau","K1H","200.59","51.0","175.0",""
"Thibaud Vielliard","K1H","201.13","172.0","178.0",""
"Julien Daumont","K1H","201.38","139.0","180.0",""
"Romain Bove","K1H","201.64","134.0","181.0",""
"Paul Poulet","K1H","204.5","257.0","198.0",""
"Franck Dessaint","K1H","205.42","205.0","204.0",""
"Samuel Lhegu","K1H","208.42","206.0","222.0",""
"Sergent Sylvain","K1H","208.47","217.0","223.0",""
"Gaetan Dheilly","K1H","209.24","277.0","227.0",""
"Guillaume Doutreix","K1H","213.46","276.0","253.0",""
"Sebastien Racault","K1H","213.53","234.0","253.0",""
"Soete Arnaud","K1H","220.46","-","295.0",""
"Thomas Monvoisin","K1H","222.65","286.0","309.0",""
"Thibault Bellembois","K1H","222.75","284.0","309.0",""
"Eric Lamour","K1H","224.29","263.0","319.0",""
"Terryn Gilles","K1H","227.89","309.0","342.0",""
"Quentin Dheilly","K1H","233.64","399.0","376.0",""
"Martin Sacleux","K1H","233.87","388.0","377.0",""
"Antoine Deffontaine","K1H","234.5","351.0","382.0",""
"Bastien Belembert","K1H","236.4","364.0","394.0",""
"Thomas Plomion","K1H","237.0","386.0","397.0",""
"Fatras Guillaume","K1H","240.6","-","418.0",""
"Johann Beldame","K1H","243.63","342.0","438.0",""
"Burgard Jean Roch","K1H","243.98","500.0","439.0",""
"Remy Daumont","K1H","245.5","393.0","449.0",""
"Vincent Hannedouche","K1H","247.65","161.0","462.0",""
"Mathieu Dutendas","K1H","248.45","-","467.0",""
"Luc Wojtasiak","K1H","250.29","-","478.0",""
"Remi Deblangy","K1H","251.79","510.0","488.0",""
"Pierre Maillard","K1H","252.96","-","494.0",""
"Hugo Chauvary","K1H","255.46","550.0","509.0",""
"Florian Lefebvre","K1H","256.96","375.0","519.0",""
"Barre Sebastien","K1H","266.39","-","576.0",""
"Berenger Bonnard","K1H","276.51","541.0","638.0",""
"Pascal Sannier","K1H","280.04","-","659.0",""
"Boulard Leo","K1H","298.48","-","772.0",""
"Gwizdziel Guillaume","K1H","299.17","825.0","777.0",""
"Quentin Sirven","K1H","303.78","-","805.0",""
"Vermersch Philippe","K1H","311.65","951.0","852.0",""
"Logan Nannette","K1H","311.84","558.0","853.0",""
"Guillaume Hermant","K1H","325.68","459.0","938.0",""
"Louis Firmin","K1H","345.54","-","1059.0",""
"Morgan Candas","K1H","394.74","-","1359.0",""
"Lenez Thibault","K1H","395.75","713.0","1366.0",""
"Nicholl Sylvain","K1H","421.08","725.0","1520.0",""
"Vignaux Raphael","K1H","462.75","-","1774.0",""
"Thomas Lesage","K1H","474.23","-","1844.0",""
"Japert Valentin","K1H","533.7","-","2208.0",""
"Adrien Helbert","K1H","562.25","-","2381.0",""
"Balboni Charles","K1H","627.15","1305.0","2777.0",""
"Michiels Stephane","K1H","793.42","-","3792.0",""
"Simon Bernard","K1H","849.49","-","4134.0",""
