"Slalom régional - La Minoterie Uzerche - 2006-12-10","Course 1","2006-12-10","Régional","80"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Come Hebert","C1H","215.50","229","273",""
"Nicolas Scianimanico","C1H","216.74","325","280",""
"Marc Brossard","C1H","220.47","427","303",""
"Dherment Etienne","C1H","235.86","-","394",""
"Sylvain Maurie","C1H","237.62","846","404",""
"Gouard Herve","C1H","267.07","-","579",""
"Paauw Thijs","C1H","269.79","-","595",""
"Thevenet Abel","C1H","309.68","-","832",""
"Chagnat Hugo","C1H","315.37","534","866",""
"Jean-philippe Rome","C1H","337.50","1045","997",""
"Kevin Giry","C1H","468.00","-","1773",""
"Chirez Pierre- Chirez Frederic","C2H","247.54","-","396",""
"Felix Dupin-Emile Dupin","C2H","251.22","391","418",""
"Antoine Giudicelli-Francois Giudicelli","C2H","301.39","-","702",""
"Jade Vassallo","K1D","214.36","170","176",""
"Pauline Guiet","K1D","222.63","231","222",""
"Clemence Debien","K1D","252.08","-","385",""
"Justine Baudu","K1D","261.40","-","435",""
"Mathilde Pelletan","K1D","307.26","-","688",""
"Delanette Ophélie","K1D","328.36","-","805",""
"Sabatier Laurie Anne","K1D","345.39","612","899",""
"Virginie Lepere","K1D","405.25","1851","1229",""
"Fevrier Melody","K1D","409.03","-","1250",""
"Thomas Chloe","K1D","426.26","1081","1345",""
"Beige Cecile","K1D","463.69","-","1552",""
"Caresmel Gwendoline","K1D","1057.08","-","4825",""
"Lucien Delfour","K1H","183.52","67","138",""
"Lucas Kelifaoui","K1H","184.29","165","142",""
"Chirez Frederic","K1H","194.35","183","205",""
"Benjamin Renia","K1H","194.37","132","205",""
"Sylvain Mendez","K1H","194.47","165","206",""
"Franck Peyrical","K1H","194.48","183","206",""
"Etienne Baudu","K1H","196.67","-","220",""
"Chirez Pierre","K1H","199.69","152","238",""
"Axel Mulle","K1H","199.77","177","238",""
"Julien Signarbieux","K1H","203.49","321","262",""
"Boris Doye","K1H","203.70","193","263",""
"Thomas Dauvet","K1H","208.23","206","291",""
"Tristan Gaboriau","K1H","208.59","239","294",""
"Manuel Legros","K1H","209.36","288","298",""
"Gouard Herve","K1H","209.42","365","298",""
"Matthias Besse","K1H","210.92","-","309",""
"Damien Caillon","K1H","213.79","-","326",""
"Pierre Portais","K1H","219.58","419","363",""
"Clement Ledard","K1H","221.86","355","376",""
"Guillaume Moreno","K1H","222.96","310","383",""
"Mathieu Charliac","K1H","224.37","-","392",""
"Sylvain Gaude","K1H","227.04","-","408",""
"Malnou Noe","K1H","227.84","-","414",""
"Come Hebert","K1H","228.35","-","417",""
"Pierre Dehaudt","K1H","228.69","372","419",""
"Christophe Einsargueix","K1H","229.02","-","421",""
"Mathieu Cheze","K1H","230.59","435","431",""
"Sylvain Colonnier","K1H","233.48","365","449",""
"Nicolas Caussanel","K1H","239.21","731","485",""
"Benoit Graffeuil","K1H","240.31","-","491",""
"Yann Drouet","K1H","248.99","530","545",""
"David Isere","K1H","253.94","-","576",""
"Bouscat Jeremie","K1H","255.44","-","586",""
"Mathieu Ollier","K1H","259.04","-","608",""
"Bastian Emilien","K1H","265.03","-","646",""
"Balland Mathieu","K1H","275.74","-","712",""
"Boisseuil Erwan","K1H","283.34","-","760",""
"Quentin Hostens","K1H","288.85","-","794",""
"Gaillard Thomas","K1H","290.56","446","804",""
"Stipon Vincent","K1H","300.45","-","867",""
"Signarbieux Pascal","K1H","302.21","-","878",""
"Sylvain Saigne","K1H","308.35","552","915",""
"Emilien Senneret","K1H","310.81","911","931",""
"Massonie Hugo","K1H","316.25","-","965",""
"Aurelien Mikulec","K1H","317.11","697","970",""
"Max Trouve","K1H","321.28","-","996",""
"Paauw Kees","K1H","332.79","-","1068",""
"Fabien Coridon","K1H","384.33","-","1389",""
"Hugo Dagois","K1H","398.51","-","1478",""
"Durand Bastien","K1H","449.83","-","1797",""
"Lachaud Bandres Nicolas","K1H","574.42","-","2575",""
"Durand Thibault","K1H","667.01","-","3152",""
"Guillaume Boullault","K1H","719.14","-","3477",""
"Saule Quentin","K1H","827.67","-","4154",""
