"N3 sud - Brioude - 2007-03-24 Course 1","Brioude","Course 1","","2007-03-24","Nationale 3","71"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Jonathan Figarol","C1H","226.82","262.0","319.0",""
"Nadjib Mazar","C1H","228.55","509.0","329.0",""
"Marc Brossard","C1H","237.67","380.0","383.0",""
"Gaugain Antony","C1H","248.44","426.0","446.0",""
"Gouard Herve","C1H","253.88","540.0","478.0",""
"Chagnat Hugo","C1H","278.69","527.0","625.0",""
"Francois Mouttou","C1H","301.32","2352.0","758.0",""
"Sylvain Maurie","C1H","306.95","590.0","792.0",""
"Mickael Cordier-Tom Bar","C2H","274.91","342.0","529.0",""
"Marion Delorme","K1D","240.24","308.0","297.0",""
"Delorme Fanny","K1D","252.53","477.0","365.0",""
"Jessica Joyau","K1D","254.82","347.0","377.0",""
"Aurelie Divoux","K1D","265.01","763.0","433.0",""
"Guizard Melanie","K1D","279.48","689.0","513.0",""
"Sarah Dupire","K1D","280.98","535.0","521.0",""
"Camille Makowski","K1D","303.56","554.0","645.0",""
"Camille Giraud","K1D","354.6","608.0","925.0",""
"Lois Desroches","K1H","199.54","264.0","217.0",""
"Virgile Pigache-donnet","K1H","200.77","210.0","224.0",""
"Marc Darribere","K1H","202.26","236.0","233.0",""
"Bryan Seiler","K1H","202.52","297.0","235.0",""
"Garros Samuel","K1H","203.1","251.0","239.0",""
"Jean Baptiste Morera","K1H","205.17","294.0","251.0",""
"Francois Cauchi","K1H","206.43","270.0","259.0",""
"Sylvain Colonnier","K1H","208.58","304.0","273.0",""
"Bastien Dantin","K1H","209.26","240.0","277.0",""
"Nicolas Le Provost","K1H","212.81","260.0","299.0",""
"Oleon Jeancharles","K1H","214.1","367.0","307.0",""
"Thibault Gache","K1H","219.0","311.0","337.0",""
"Jean-daniel Bost","K1H","219.89","338.0","343.0",""
"Matthias Besse","K1H","220.12","406.0","344.0",""
"Pierrick Gaudin","K1H","220.84","369.0","349.0",""
"Rodolphe Imbaud","K1H","221.54","306.0","353.0",""
"Valentin Jay","K1H","222.57","388.0","359.0",""
"Brice Dantin","K1H","224.16","485.0","369.0",""
"Colin Beziade","K1H","224.38","412.0","370.0",""
"Gouard Herve","K1H","225.24","323.0","376.0",""
"Theo Levy-lozata","K1H","226.96","462.0","386.0",""
"Remi Dramard","K1H","227.48","276.0","390.0",""
"Mathieu Charliac","K1H","227.51","422.0","390.0",""
"Adrien Tappero","K1H","227.55","618.0","390.0",""
"Benoit Morand","K1H","229.34","394.0","401.0",""
"Herve Mars","K1H","229.64","415.0","403.0",""
"Felix Bouvet","K1H","230.25","445.0","407.0",""
"Pierre Portais","K1H","230.86","397.0","411.0",""
"Stanislas Pradeleix","K1H","231.01","406.0","412.0",""
"Pierre Moreau","K1H","232.32","298.0","420.0",""
"Adrien Quillet","K1H","234.44","496.0","433.0",""
"Thomas Ducoms","K1H","234.72","474.0","435.0",""
"Runel-Paulhan Sylvain","K1H","235.56","501.0","440.0",""
"Damien Chammings","K1H","235.96","722.0","442.0",""
"Etienne Sahuguet","K1H","237.94","497.0","454.0",""
"Igor Verdy","K1H","238.46","550.0","458.0",""
"Ludovic Smal","K1H","240.07","503.0","468.0",""
"Bastien Seger","K1H","240.78","429.0","472.0",""
"Nicolas Caussanel","K1H","242.33","469.0","482.0",""
"Guillaume Marmer","K1H","242.86","522.0","485.0",""
"Claparede Jonas","K1H","242.9","664.0","485.0",""
"Camille Balsac","K1H","247.18","705.0","512.0",""
"Olivier Bret","K1H","247.5","532.0","514.0",""
"Marc Cailhol","K1H","247.71","419.0","515.0",""
"Nathanael Renia","K1H","248.72","245.0","521.0",""
"Sylvain Saigne","K1H","250.13","552.0","530.0",""
"Jean Bernard Lacave","K1H","252.14","573.0","542.0",""
"Gabriel Bouriez","K1H","256.45","681.0","569.0",""
"Adrien Margot - Vallee","K1H","257.28","658.0","574.0",""
"Patrick Parage","K1H","258.74","555.0","583.0",""
"Jeremy Tindiliere","K1H","259.65","628.0","589.0",""
"Aurelien Mikulec","K1H","287.45","697.0","761.0",""
"Thomas Pinel","K1H","318.23","793.0","952.0",""
"Pailhassar Pierre","K1H","353.6","585.0","1171.0",""
