"SELECTIF N2 - Epinal Course 1","Epinal","Course 1","","2007-04-08","Nationale 2","129"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Anthony Colin","C1H","211.73","140.0","133.0",""
"Parmentelat Edouard","C1H","212.22","126.0","136.0",""
"Parmentelat Cyril","C1H","212.94","143.0","139.0",""
"Benjamin Maubert","C1H","213.26","143.0","140.0",""
"Nils Mosch","C1H","213.56","182.0","142.0",""
"Marc Biazizzo","C1H","214.28","132.0","146.0",""
"Mathieu Doby","C1H","215.28","198.0","151.0",""
"Louison Tanet","C1H","216.0","143.0","155.0",""
"Jan Pischek","C1H","217.8","204.0","165.0",""
"Christophe Despres","C1H","218.08","136.0","166.0",""
"Cordeil Tristan","C1H","220.34","171.0","177.0",""
"Antoine Bizot","C1H","222.68","251.0","190.0",""
"Leo Thomas","C1H","224.38","241.0","199.0",""
"Jeancharles Reby","C1H","225.43","198.0","204.0",""
"Papoz Bastien","C1H","225.81","269.0","206.0",""
"Marcantoine Hacquart","C1H","228.06","239.0","218.0",""
"Yoann Rebours","C1H","228.55","256.0","220.0",""
"Kudla Romain","C1H","229.98","227.0","228.0",""
"Yoann Bizot","C1H","231.77","239.0","237.0",""
"Sebastien De Kerleau","C1H","233.44","251.0","246.0",""
"Geoffroy Schwentzel","C1H","234.71","246.0","253.0",""
"Pierrick Maujean","C1H","237.55","205.0","267.0",""
"Maxime Cousin","C1H","243.09","249.0","296.0",""
"Alexandre Pocard","C1H","268.97","201.0","431.0",""
"Gilles Schweitzer-Loic Sieber","C2H","234.31","296.0","195.0",""
"Lambert Kevin- Lacour Gregory","C2H","241.9","265.0","232.0",""
"Philippe Thevenin-Patrick Thevenin","C2H","250.2","330.0","274.0",""
"Teddy Poulard-Jeremy Bretteville","C2H","264.34","292.0","344.0",""
"Lea Martin","K1D","214.47","146.0","68.0",""
"Oriane Rebours","K1D","225.49","157.0","121.0",""
"Marlene Devillez","K1D","225.68","139.0","122.0",""
"Andrea De Azevedo","K1D","228.62","162.0","137.0",""
"Laura Fauste","K1D","229.71","189.0","141.0",""
"Gaelle Tosser-roussey","K1D","233.54","235.0","160.0",""
"Flora Bove","K1D","238.39","218.0","184.0",""
"Anne Sophie Le Bailly","K1D","238.46","124.0","184.0",""
"Sarah Michel","K1D","239.21","206.0","188.0",""
"Mylene Renaud","K1D","239.53","319.0","189.0",""
"Anne Fischer","K1D","240.6","169.0","195.0",""
"Virginie Aubert","K1D","241.12","230.0","197.0",""
"Fiora Bourges","K1D","247.32","289.0","227.0",""
"Anne Traband","K1D","248.02","280.0","231.0",""
"Audrey Astier Perret","K1D","249.32","253.0","236.0",""
"Emilie Saguet","K1D","251.35","272.0","246.0",""
