"Sélection N3 Zone sud Najac - Najac Course 1","Najac","Course 1","","2007-04-22","Nationale 3","47"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Jonathan Figarol","C1H","204.69","239.0","190.0",""
"Rouffet Benoit","C1H","212.2","281.0","232.0",""
"Hugo Cailhol","C1H","215.83","355.0","253.0",""
"Nicolas Scianimanico","C1H","217.35","259.0","262.0",""
"Boris Lesimple","C1H","235.11","712.0","363.0",""
"Sylvain Maurie","C1H","238.68","479.0","384.0",""
"Jean-philippe Rome","C1H","242.13","735.0","404.0",""
"Srajek Tristan","C1H","245.22","422.0","421.0",""
"Simon Cayez-Guillaume Picco","C2H","242.19","287.0","340.0",""
"Felix Dupin-Emile Dupin","C2H","258.92","326.0","432.0",""
"Jessica Joyau","K1D","241.23","347.0","301.0",""
"Berenice Kolenc","K1D","251.1","492.0","353.0",""
"Diane Rouffet","K1D","269.23","419.0","449.0",""
"Zoe Guillerm","K1D","271.24","376.0","460.0",""
"Garros Samuel","K1H","198.75","244.0","212.0",""
"Bastien Salame","K1H","199.21","219.0","215.0",""
"Thomas Dauvet","K1H","199.36","183.0","216.0",""
"Benjamin Reig","K1H","200.37","267.0","223.0",""
"Valerian Boulet","K1H","202.63","226.0","236.0",""
"Charles Edouard Dherment","K1H","205.09","208.0","251.0",""
"Clerc Pierrealain","K1H","205.59","247.0","253.0",""
"Mathieu Cheze","K1H","207.92","349.0","268.0",""
"Valentin Grollemund","K1H","208.83","345.0","273.0",""
"Pierrick Gaudin","K1H","208.91","325.0","274.0",""
"Sylvain Colonnier","K1H","213.98","285.0","304.0",""
"Hugues Lesimple","K1H","214.41","262.0","306.0",""
"Remi Dramard","K1H","217.2","257.0","323.0",""
"Peyre Maxime","K1H","217.93","333.0","327.0",""
"Stanislas Pradeleix","K1H","221.07","375.0","346.0",""
"Colin Beziade","K1H","222.61","390.0","356.0",""
"Bastien Seger","K1H","224.78","375.0","368.0",""
"Brice Dantin","K1H","225.05","430.0","370.0",""
"Thomas Ducoms","K1H","226.01","443.0","376.0",""
"Herve Mars","K1H","226.58","403.0","380.0",""
"Nicolas Caussanel","K1H","226.73","467.0","380.0",""
"Mathieu Pouchet","K1H","229.4","346.0","396.0",""
"Manuel Dolie","K1H","229.54","409.0","397.0",""
"Etienne Sahuguet","K1H","229.54","437.0","397.0",""
"Guilhem Becvort","K1H","234.7","410.0","427.0",""
"Igor Verdy","K1H","239.82","498.0","458.0",""
"Signarbieux Pascal","K1H","240.76","706.0","464.0",""
"Marc Cailhol","K1H","241.04","419.0","466.0",""
"Morgan Forget","K1H","245.3","653.0","492.0",""
"Guillaume Marmer","K1H","248.81","490.0","513.0",""
"Manuel Legros","K1H","251.17","235.0","526.0",""
"Gregoire Olivier","K1H","252.44","705.0","534.0",""
"Pailhassar Pierre","K1H","297.63","585.0","804.0",""
