"R2 + ACTION CANOE FEMININ - Servon Sur Vilaine - 2007-05-13","Course 1","2007-05-13","Régional","56"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Caroline Loir","C1D","258.28","-","323",""
"Anne Boixel","C1D","259.48","471","328",""
"Elodie Le Nechet","C1D","276.38","545","423",""
"Le Fee Aurelie","C1D","338.15","-","764",""
"Cavyn Barbara","C1D","340.04","-","774",""
"Paul Gautier","C1H","225.36","166","200",""
"Julien Coudert","C1H","230.35","251","228",""
"Boris Nedelec","C1H","253.27","447","361",""
"Le Nechet Fabien","C1H","257.68","-","386",""
"Tristan Bronsard","C1H","278.71","-","509",""
"Titouan Brouder","C1H","280.04","-","516",""
"Romain Lecrenais-perrel","C1H","289.70","-","573",""
"Duchene Benjamin","C1H","324.99","-","777",""
"Le Paih Aziliz- Le Nechet Elodie","C2D","302.76","-","568",""
"Pichon Claire- Merand Betty","C2D","360.23","-","887",""
"Tristan Bronsard-Quentin Gillot","C2H","280.14","-","443",""
"Le Nechet Fabien- Guillot Louis","C2H","299.94","-","552",""
"Brouder Titouan- Cavyn Barbara","C2M","336.16","-","753",""
"Gonthier Lucas- Pladys Morgane","C2M","399.88","-","1106",""
"Caroline Loir","K1D","224.97","58","104",""
"Anne Boixel","K1D","238.98","124","180",""
"Charlene Le Corvaisier","K1D","246.44","306","220",""
"Chloe Le Clezio","K1D","256.38","340","274",""
"Aziliz Le Paih","K1D","257.60","381","280",""
"Aurelie Le Fee","K1D","258.71","324","286",""
"Claire Pichon","K1D","259.76","352","292",""
"Barbara Cavyn","K1D","272.00","431","358",""
"Marie Landais","K1D","276.11","459","381",""
"Betty Merand","K1D","282.81","-","416",""
"Pladys Morgane","K1D","296.49","598","490",""
"Baxter Lucy","K1D","312.38","-","575",""
"Le Paih Erell","K1D","315.96","602","595",""
"Le Furaut Nathalie","K1D","326.30","-","650",""
"Clouet Genevieve","K1D","345.03","-","752",""
"Berhault Alexandra","K1D","349.26","1244","774",""
"Julien Coudert","K1H","208.31","103","161",""
"Manuel Coquelin","K1H","214.94","217","201",""
"Simon Despres","K1H","218.18","129","221",""
"Pierre Yves Tanguy","K1H","222.05","282","244",""
"Clement Burel","K1H","223.83","-","255",""
"Vincent Lemonnier","K1H","229.37","325","288",""
"Jean Yves Prigent","K1H","229.77","274","292",""
"Antoine Hirbec","K1H","231.27","-","301",""
"Retailleau Gael","K1H","231.70","-","303",""
"Hugo Le Guennic","K1H","236.91","370","335",""
"Romain Lecrenais-perrel","K1H","242.02","412","366",""
"Victor Azam","K1H","244.95","464","384",""
"Nedelec Boris","K1H","251.82","513","426",""
"Louis Guillot","K1H","252.98","561","433",""
"Gerard Lemonnier","K1H","258.29","-","465",""
"Richard Fradin","K1H","259.53","514","473",""
"Brouder Titouan","K1H","260.13","-","476",""
"Benjamin Duchene","K1H","261.46","450","484",""
"Quentin Gillot","K1H","262.21","-","489",""
"Wilfried Harduin","K1H","280.04","671","598",""
"Gonthier Lucas","K1H","290.90","463","664",""
