"SLALOM REGIONAL DU VENEON - Vénéon - 2007-07-01","Course 1","2007-07-01","Régional","77"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Eloi Seemann","C1H","175.90","176","164",""
"Lorrie Delattre","C1H","179.84","104","192",""
"Anthony Colin","C1H","182.19","147","209",""
"Olivier Barriere","C1H","185.14","228","229",""
"Renaud Doby","C1H","185.39","178","231",""
"Thomas Koechlin","C1H","190.63","291","267",""
"Sebastien De Kerleau","C1H","193.28","258","286",""
"Yoann Bizot","C1H","194.20","220","293",""
"Quentin Mannier","C1H","202.61","281","353",""
"Molines Philippe","C1H","205.79","295","375",""
"Antoine Lebellec","C1H","245.09","196","652",""
"Guilhem Courduries","C1H","249.59","453","684",""
"Papoz Bastien","C1H","251.78","247","700",""
"Laurent Coudurier","C1H","331.58","536","1263",""
"Marie Borlet","K1D","176.32","84","79",""
"Barbara Gibert","K1D","199.47","310","231",""
"Tiphanie Borlet","K1D","203.17","257","255",""
"Anais Couturier","K1D","207.54","295","284",""
"Ninon Couturier","K1D","210.09","303","301",""
"Raphaelle Hovine","K1D","215.20","340","334",""
"Nouria Newman","K1D","230.46","100","434",""
"Marie Bourgey","K1D","296.46","457","867",""
"Chloe Gatuingt","K1D","323.70","353","1046",""
"Piot L'emeillet Juliette","K1D","400.03","648","1547",""
"Renaud Doby","K1H","162.42","12","125",""
"Benjamin Renia","K1H","163.55","97","134",""
"Alexis Caspar","K1H","164.09","120","139",""
"Benoit Fer","K1H","165.26","82","146",""
"Andy Pajani","K1H","166.56","87","156",""
"Axel Mulle","K1H","168.30","154","170",""
"Jeremy Vibert","K1H","168.52","161","171",""
"Nicolas Abbal","K1H","169.83","160","181",""
"Julien Tous","K1H","171.50","60","193",""
"Kevin Burgi","K1H","172.58","145","201",""
"Jules Domine","K1H","173.64","219","210",""
"Enrick Cunsolo","K1H","173.71","197","210",""
"Olivier Bourgey","K1H","174.47","197","215",""
"Romain Hager","K1H","174.49","263","215",""
"Quentin Burgi","K1H","174.64","194","216",""
"Martin Moreau","K1H","178.19","209","243",""
"Nicolas Burgi","K1H","179.41","209","252",""
"Sylvain Colonnier","K1H","180.31","254","258",""
"Sylvain Gaude","K1H","180.50","254","260",""
"Nathanael Renia","K1H","181.46","210","267",""
"Antoine Vinay","K1H","182.31","256","274",""
"Eloi Seemann","K1H","184.41","-","290",""
"Nicolas Dupres","K1H","184.88","275","293",""
"Dekerleau Sebastien","K1H","185.32","304","296",""
"Baptiste Provost","K1H","189.54","256","327",""
"Guilhem Courduries","K1H","190.36","262","333",""
"Bessiere Florian","K1H","197.75","330","388",""
"Mannier Quentin","K1H","199.34","274","399",""
"Cyril Gisbert","K1H","199.35","446","400",""
"Baudry Pierre Luc","K1H","199.81","373","404",""
"Letavernier Jeanvincent","K1H","206.63","-","454",""
"Koechlin Thomas","K1H","209.58","491","476",""
"Yann Gudefin","K1H","211.63","83","491",""
"Dupuis Antoine","K1H","212.09","-","495",""
"Alexandre Bordas","K1H","213.67","529","506",""
"Jimy Bercon","K1H","217.37","148","534",""
"Bertrand Avril","K1H","224.24","208","585",""
"Hugo Hager","K1H","230.04","38","628",""
"Cedric Mace","K1H","230.99","212","634",""
"Dalex Karl","K1H","232.00","217","642",""
"Remi Baudot","K1H","232.11","201","643",""
"Anthony Colin","K1H","235.27","-","667",""
"Ferraud Damien","K1H","235.38","1167","668",""
"Youcef Bahlat","K1H","236.68","318","677",""
"Romain Musy","K1H","241.62","323","713",""
"David Berthillier","K1H","244.26","-","733",""
"Bayle Damien","K1H","266.33","490","897",""
"Pierre Alexandre Facon","K1H","282.42","-","1016",""
"Remi Vallin","K1H","301.21","556","1156",""
"Thomas Genet","K1H","321.57","865","1307",""
"Yanis Burdet","K1H","432.89","360","2133",""
"Just Benjamin","K1H","708.08","-","4175",""
"Mansion Yannick","K1H","900.29","-","5600",""
