"Slalom régional de Vichy - Vichy Course 1","Vichy","Course 1","","2007-09-16","Régional","52"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Charles Edouard Dherment","C1H","268.68","415.0","345.0",""
"David Bernardeau","C1H","270.23","-","353.0",""
"Gouard Herve","C1H","276.8","506.0","385.0",""
"Marc Brossard","C1H","283.54","331.0","419.0",""
"Chagnat Hugo","C1H","287.56","527.0","439.0",""
"Sylvain Maurie","C1H","296.29","415.0","483.0",""
"Frederic Blanrue","C1H","414.79","-","1077.0",""
"Brossard Marc- Maurie Sylvain","C2H","306.96","-","427.0",""
"Alice Cailhol","K1D","302.59","-","420.0",""
"Djamila Mihoubi","K1D","313.02","419.0","468.0",""
"Camille Makowski","K1D","335.82","553.0","576.0",""
"Sabatier Laurie Anne","K1D","343.93","612.0","614.0",""
"Muriel Flandin Saurat","K1D","376.53","-","767.0",""
"Sandra Bigner","K1D","452.43","-","1123.0",""
"Metje Aude","K1D","525.02","-","1465.0",""
"Virginie Lepere","K1D","559.03","1214.0","1623.0",""
"Coutal Caroline","K1D","674.52","-","2166.0",""
"Bastien Salame","K1H","225.7","154.0","186.0",""
"Hugo Cailhol","K1H","229.01","111.0","203.0",""
"Charles Edouard Dherment","K1H","231.33","198.0","216.0",""
"Nicolas Abbal","K1H","231.96","148.0","219.0",""
"Anthony Gaugain","K1H","242.4","273.0","273.0",""
"Sylvain Dandel","K1H","245.67","370.0","291.0",""
"Gouard Herve","K1H","246.54","323.0","295.0",""
"Pierre Portais","K1H","247.96","351.0","303.0",""
"Felix Bouvet","K1H","250.41","391.0","316.0",""
"Thomas Dandel","K1H","250.69","328.0","317.0",""
"Rodolphe Imbaud","K1H","252.29","317.0","326.0",""
"Victor Doux","K1H","253.65","335.0","333.0",""
"Oleon Jeancharles","K1H","254.63","311.0","338.0",""
"Pierrick Gaudin","K1H","265.04","308.0","393.0",""
"Thomas Lacroix","K1H","266.22","-","399.0",""
"Benoit Morand","K1H","269.76","361.0","418.0",""
"Luc Formet","K1H","270.01","-","419.0",""
"Mathieu Charliac","K1H","271.42","404.0","426.0",""
"Frederic Blanrue","K1H","271.98","361.0","429.0",""
"Dejoux Maxime","K1H","273.76","-","438.0",""
"Marc Cailhol","K1H","280.39","419.0","473.0",""
"Etienne Sahuguet","K1H","281.87","418.0","482.0",""
"Gurgen Brun","K1H","285.1","-","498.0",""
"Jeremy Tindiliere","K1H","289.91","586.0","524.0",""
"Severin Bardet","K1H","294.88","-","550.0",""
"Romaric Baron","K1H","295.68","437.0","554.0",""
"Gauthard Baptiste","K1H","297.15","-","561.0",""
"Guillaume Moreno","K1H","307.68","373.0","617.0",""
"Gabriel Bouriez","K1H","332.33","622.0","747.0",""
"Migliaccio Alexis","K1H","332.5","-","748.0",""
"Claude Breuzard","K1H","332.67","745.0","749.0",""
"Gaetan Viallard","K1H","369.53","-","943.0",""
"Jordan Agullo","K1H","382.39","-","1010.0",""
"Francois Meunier","K1H","390.41","-","1052.0",""
"Desegher Emilien","K1H","466.49","-","1452.0",""
