"SLALOM REGIONAL DES ECRINS - L'argentière La Bessée - 2007-09-23 Course 1","L'argentière La Bessée","Course 1","","2007-09-23","Régional","123"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Yebenes Coralie","C1D","323.69","-","727.0",""
"Baptiste Tappero","C1H","205.42","190.0","172.0",""
"Eloi Seemann","C1H","209.17","167.0","198.0",""
"Thomas Levert","C1H","209.3","195.0","198.0",""
"Lorrie Delattre","C1H","211.47","95.0","213.0",""
"Antoine Lebellec","C1H","211.75","183.0","215.0",""
"Sebastien De Kerleau","C1H","212.61","224.0","220.0",""
"Florent Cossou","C1H","219.35","367.0","266.0",""
"Ugo Borgia","C1H","225.96","401.0","310.0",""
"Francois Hemidy","C1H","227.89","-","323.0",""
"Chirez Frederic","C1H","234.92","-","370.0",""
"Camille Sahuc","C1H","239.4","-","401.0",""
"Laurent Coudurier","C1H","245.84","536.0","444.0",""
"Maxime Biaggi","C1H","267.64","-","590.0",""
"Charlie Lambert","C1H","270.79","-","611.0",""
"Damien Oudjedi","C1H","273.27","-","628.0",""
"Fressynet Simon","C1H","317.97","-","927.0",""
"Heitzler Olivier","C1H","326.03","-","981.0",""
"Benoit Gillie","C1H","327.72","-","992.0",""
"Bos Thierry","C1H","335.82","-","1047.0",""
"Andre Florent","C1H","471.79","-","1959.0",""
"Long Yannick","C1H","684.13","-","3383.0",""
"Lena Baux-Candice Lauretta","C2D","462.77","-","1401.0",""
"Mickael Cordier-Tom Bar","C2H","225.59","224.0","201.0",""
"Sebastien De Kerleau-Eloi Seemann","C2H","228.64","-","219.0",""
"Luc Doye-Francois Hemidy","C2H","241.02","-","297.0",""
"Benjamin Lebouc-Hugo Lambert","C2H","244.9","337.0","320.0",""
"Dimitri Durannot-Adrien Tappero","C2H","277.09","-","522.0",""
"Caroline Bourry","K1D","210.56","76.0","119.0",""
"Julie Labarelle","K1D","216.29","81.0","155.0",""
"Samuelle Arnaud","K1D","221.55","-","188.0",""
"Elise Escourrou","K1D","222.27","141.0","192.0",""
"Coralie Yebenes","K1D","224.66","224.0","207.0",""
"Lucile Delorme","K1D","235.35","275.0","275.0",""
"Marion Delorme","K1D","237.59","267.0","288.0",""
"Amelie Lagorio","K1D","244.14","-","330.0",""
"Morere Julia","K1D","252.66","426.0","383.0",""
"Agnes Daille","K1D","252.67","373.0","383.0",""
"Soriana Dupire","K1D","257.03","454.0","411.0",""
"Aurelie Divoux","K1D","258.72","426.0","422.0",""
"Muriel Flandin Saurat","K1D","265.08","1269.0","461.0",""
"Elodie Cordier","K1D","276.62","1101.0","534.0",""
"Olivia Bertolotti","K1D","285.58","-","590.0",""
"Noel Elsa","K1D","291.99","-","630.0",""
"Dora Le Borgne","K1D","313.56","1180.0","766.0",""
"Candice Lauretta","K1D","319.78","-","806.0",""
"Maeva Salvador","K1D","470.95","-","1756.0",""
"Andy Pajani","K1H","189.64","86.0","130.0",""
"Yann Gudefin","K1H","189.77","62.0","131.0",""
"Benoit Fer","K1H","191.11","74.0","140.0",""
"Bertrand Bercon","K1H","192.77","134.0","152.0",""
"Chirez Frederic","K1H","195.26","178.0","170.0",""
"Sebastien Lepaulard","K1H","197.19","195.0","183.0",""
"Guillaume Jacobe","K1H","198.29","218.0","191.0",""
"Nicolas Abbal","K1H","199.57","148.0","201.0",""
"Mathieu Cataldo","K1H","203.4","198.0","226.0",""
"Lois Desroches","K1H","204.88","210.0","238.0",""
"Ludovic Pinchon","K1H","205.31","284.0","240.0",""
"Olivier Bourgey","K1H","206.21","197.0","246.0",""
"Paul Graton","K1H","207.34","220.0","255.0",""
"Emmanuel Moreau","K1H","208.42","233.0","262.0",""
"Boris Doye","K1H","208.6","175.0","264.0",""
"Theo Hascoet","K1H","208.85","279.0","266.0",""
