"Challenge Begard - Montreuil Sur Mer - 2007-09-30","Course 1","2007-09-30","Régional","80"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Baptiste Delaplace","C1H","170.09","25","125",""
"Boulard Leo","C1H","199.55","271","309",""
"Teddy Poulard","C1H","201.74","259","322",""
"Guillaume Doutreix","C1H","203.07","338","330",""
"Hugo Chauvary","C1H","203.20","304","331",""
"Mathieu Dutendas","C1H","204.04","290","336",""
"Vignaux Raphael","C1H","205.51","336","345",""
"Pierre Maillard","C1H","223.55","375","457",""
"Mickael Louchard","C1H","250.52","-","625",""
"Lecomte Hugo","C1H","267.47","-","730",""
"Deffebvre Pierre","C1H","292.27","720","884",""
"Frederic Blanrue","C1H","318.45","-","1046",""
"Charles Pain","C1H","326.13","-","1094",""
"Cotinet Angelo","C1H","385.96","-","1465",""
"Mikael Maupin-Vincent Hannedouche","C2H","230.21","-","398",""
"Quentin Sirven-Pierre Defebvre","C2H","267.60","723","613",""
"Mathieu Dutendas-Martin Sacleux","C2H","289.04","-","737",""
"Vignaux Raphael- Tillier Vianney","C2H","343.31","-","1050",""
"Dachicourt Perrine","K1D","249.99","401","525",""
"Alize Bachelot","K1D","253.22","383","543",""
"Sophie Busson","K1D","254.40","412","550",""
"Astride Tobo","K1D","261.89","495","594",""
"Charlotte Hay","K1D","269.78","424","640",""
"Marine Vegnaduzzo","K1D","298.40","1786","806",""
"Genereux Corinne","K1D","307.84","-","861",""
"Thierry Anne","K1D","350.16","-","1108",""
"Manon Liard","K1D","435.64","-","1605",""
"Dutheil Anais","K1D","619.68","-","2676",""
"Platteel Elodie","K1D","1416.45","-","7312",""
"Julien Antide","K1H","176.98","171","223",""
"Vincent Hannedouche","K1H","177.32","133","225",""
"Gosselin Pierrick","K1H","178.41","-","233",""
"Delaplace Baptiste","K1H","179.71","-","241",""
"Valadon Louis","K1H","181.14","239","250",""
"Paul Poulet","K1H","184.12","215","269",""
"Debliquy Stephane","K1H","185.86","285","281",""
"Burgard Jean Roch","K1H","189.65","257","306",""
"Arnaud Delattre","K1H","190.34","-","310",""
"Eric Lamour","K1H","191.07","248","315",""
"Mickael Louchard","K1H","191.44","207","317",""
"Bastien Belembert","K1H","191.82","325","320",""
"Franck Dessaint","K1H","191.90","206","320",""
"Sergent Sylvain","K1H","193.58","222","332",""
"Christophe Gosselin","K1H","197.17","233","355",""
"Martin Sacleux","K1H","198.23","311","361",""
"Castryck Nicolas","K1H","199.25","-","368",""
"Jeansebastien Simonklein","K1H","200.60","372","377",""
"Jess Masson","K1H","201.45","309","382",""
"Renard Guillaume","K1H","205.73","344","410",""
"Viellard Amaury","K1H","205.92","287","411",""
"Tillier Vianney","K1H","209.63","-","436",""
"Gest Elliot","K1H","209.98","423","438",""
"Guillaume Doutreix","K1H","210.83","266","444",""
"Frederic Blanrue","K1H","212.01","385","452",""
"Gaspard Vivien","K1H","216.28","415","479",""
"Hugo Chauvary","K1H","222.59","453","521",""
"Dupont Eric","K1H","235.63","168","605",""
"Kevin Pantofel","K1H","235.66","655","605",""
"Lecomte Hugo","K1H","235.75","-","606",""
"Lebar Johnny","K1H","242.34","522","649",""
"Adrien Helbert","K1H","243.23","-","655",""
"De Wever Lucas","K1H","256.52","677","742",""
"Cotinet Angelo","K1H","257.89","676","750",""
"Mikael Maupin","K1H","258.75","-","756",""
"Marvin Jeremy","K1H","265.70","-","801",""
"Nicolas Morel","K1H","266.45","-","806",""
"Damien Jacques","K1H","269.84","-","828",""
"Rome Yvan","K1H","270.21","781","831",""
"Eric Bernard","K1H","286.86","-","940",""
"Fabrice Amar","K1H","287.65","-","944",""
"Andrieux Pascal","K1H","312.54","923","1107",""
"Matthieu Rousseau","K1H","312.80","454","1109",""
"Johann Sacleux","K1H","328.74","922","1212",""
"Jeremy Amar","K1H","335.52","-","1256",""
"Sylvain Barrois","K1H","337.04","-","1266",""
"Thierry Codemo","K1H","344.14","-","1312",""
"Alexandre Queval","K1H","380.04","-","1547",""
"Deroubaix Freddy","K1H","387.46","2901","1595",""
"Caillot Thierry","K1H","507.90","-","2380",""
"Bruno Dumouilla","K1H","705.33","-","3666",""
