"SLALOM REGIONAL ISLE DE LA SERRE - Isle De La Serre - 2007-10-14","Course 1","2007-10-14","Régional","205"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Nouria Newman","C1D","359.44","496","324",""
"Borlet Marie","C1D","513.30","-","869",""
"Nicolas Peschier","C1H","246.59","9","33",""
"Anthony Colin","C1H","273.91","116","142",""
"Antoine Lebellec","C1H","282.46","183","175",""
"Stephane Abadie","C1H","283.47","-","179",""
"Lorrie Delattre","C1H","295.64","95","228",""
"Baptiste Tappero","C1H","295.85","177","229",""
"Etienne Daille","C1H","301.29","236","251",""
"Yann Marquer","C1H","301.77","209","253",""
"Thomas Koechlin","C1H","302.68","224","257",""
"Olivier Barriere","C1H","303.93","222","261",""
"Jerome Daille","C1H","306.74","241","272",""
"Benjamin Maubert","C1H","307.53","123","275",""
"Alonso Remy","C1H","321.89","-","333",""
"Eloi Seemann","C1H","324.48","167","342",""
"Hager Romain","C1H","336.34","-","390",""
"Ugo Borgia","C1H","342.00","347","413",""
"Guillaume Gery","C1H","345.10","-","424",""
"Armand Rakowski","C1H","348.00","455","436",""
"Jimy Bercon","C1H","350.22","-","445",""
"Maxime Vallin","C1H","353.42","-","458",""
"Laurent Coudurier","C1H","356.85","447","471",""
"Roman Duprey","C1H","387.42","344","592",""
"Heitzler Olivier","C1H","406.88","-","671",""
"Frederic Blanrue","C1H","407.10","923","671",""
"Corentin Metral","C1H","458.33","-","875",""
"Sebastien De Kerleau","C1H","458.59","161","876",""
"Nil Georgel","C1H","460.77","-","884",""
"Bouvard Sebastien","C1H","470.44","-","922",""
"Remy Alonso-Victor Lamy","C2H","276.93","25","76",""
"Bouvard Laurent- Bouvard Sebastien","C2H","335.42","-","292",""
"Romain Hager-Karl Dalex","C2H","346.90","-","335",""
"Thomas Monier-Jerome Daille","C2H","349.82","-","345",""
"Bourgey Olivier- Pajani Andy","C2H","358.22","-","376",""
"Guillaume Gonseth-Nicolas Detheve","C2H","363.98","345","397",""
"Courduries Guilhem- Coudurier Laurent","C2H","491.62","-","869",""
"Genet Thomas- Ferro Florent","C2H","530.51","-","1012",""
"Salvador Maeva- Neime Yann","C2M","650.91","-","1415",""
"Anneline Triomphe","K1D","265.43","29","43",""
"Marie Borlet","K1D","290.08","81","134",""
"Nouria Newman","K1D","292.23","76","142",""
"Marlene Devillez","K1D","293.78","129","148",""
"Nelly Tornare","K1D","295.30","-","153",""
"Coralie Yebenes","K1D","321.85","208","253",""
"Anais Couturier","K1D","327.66","280","274",""
"Audrey Astier Perret","K1D","337.90","275","312",""
"Raphaelle Hovine","K1D","339.30","282","317",""
"Carine Chapuis","K1D","343.02","331","332",""
"Tiphanie Borlet","K1D","348.00","230","350",""
"Fanny Mino-vercellio","K1D","352.17","272","365",""
"Aline Grosperrin","K1D","360.30","387","395",""
"Lucie Beaudet","K1D","366.05","417","417",""
"Barbara Gibert","K1D","368.58","258","426",""
"Jihane Samlal","K1D","378.46","-","464",""
"Marie Bourgey","K1D","379.09","388","465",""
"Ninon Couturier","K1D","418.22","290","611",""
"Michaela Daille","K1D","418.27","-","612",""
"Helye Marie","K1D","446.42","576","716",""
"Lucie Bichet","K1D","472.31","517","813",""
"Marlene Rio","K1D","478.46","-","836",""
"Dora Le Borgne","K1D","550.91","763","1106",""
"Amelie Michaudet","K1D","554.98","-","1121",""
"Alice Janecek","K1D","561.43","-","1145",""
"Jeantet Anne","K1D","568.85","-","1172",""
"Girardet Flavie","K1D","584.12","-","1229",""
"Maeva Salvador","K1D","717.48","1420","1726",""
"Freire Julia","K1D","723.42","-","1748",""
"Lea Veyrune","K1D","786.59","-","1984",""
"Jane Avinens","K1D","1072.18","-","3047",""
"Hugo Hager","K1H","249.32","38","93",""
"Jules Bevalot","K1H","249.41","89","94",""
"Yann Gudefin","K1H","250.29","62","97",""
"Etienne Daille","K1H","250.53","30","98",""
"Benoit Fer","K1H","250.98","80","100",""
"Thomas Monier","K1H","253.14","136","110",""
"Andy Pajani","K1H","254.62","86","116",""
"Damien Boudet","K1H","255.15","105","118",""
"Bertrand Bercon","K1H","257.45","134","128",""
"Benjamin Travostino","K1H","258.16","100","131",""
"Jeremy Vibert","K1H","267.31","137","169",""
"Nicolas Abbal","K1H","268.52","138","174",""
"Maxime Faivre","K1H","269.15","178","176",""
"Martin Dougoud","K1H","271.16","187","185",""
"Jeremiah Mosch","K1H","271.59","227","186",""
"Bertrand Lamy","K1H","272.79","-","192",""
"Jimy Bercon","K1H","273.19","114","193",""
"Antoine Devillez","K1H","273.54","217","195",""
"Yann Neime","K1H","278.43","-","216",""
"Xavier Marie","K1H","278.52","-","216",""
"Sebastien Lepaulard","K1H","279.60","174","220",""
"Olivier Bourgey","K1H","281.67","197","228",""
"Jules Domine","K1H","282.38","205","231",""
"Charles Edouard Dherment","K1H","283.43","206","236",""
"Anthony Colin","K1H","285.43","258","245",""
"Baptiste Tappero","K1H","286.89","-","251",""
"Yannick Besse","K1H","287.49","198","253",""
"Romain Chabrol","K1H","287.80","207","255",""
"Dalex Karl","K1H","289.88","217","263",""
