"SELECTIF REGIONAL SLALOM PLEMET - Plemet - 2007-10-21","Course 1","2007-10-21","Régional","133"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Laetitia Odermatt","C1D","305.93","536","416",""
"Emeric Bertrand","C1H","227.33","91","165",""
"Didier Botrel","C1H","230.06","180","180",""
"Philippe Quemerais","C1H","239.34","-","232",""
"Simon Le Friec","C1H","246.66","260","273",""
"Le Gall Lucas","C1H","253.84","330","313",""
"Cedric Collet","C1H","256.33","213","327",""
"Olivier Gerbeaux","C1H","258.56","-","339",""
"Michel Lanchec","C1H","258.78","306","340",""
"Guyomard Romain","C1H","260.31","-","350",""
"William Desnos","C1H","261.74","-","358",""
"Regis Cabel","C1H","262.86","325","363",""
"Pernelle Boris","C1H","263.13","-","366",""
"Antoine Simon","C1H","263.82","266","369",""
"Le Mercier Christophe","C1H","270.72","-","408",""
"Franck Delachair","C1H","276.41","-","439",""
"Yvan Raoult","C1H","277.34","-","445",""
"Le Gallou Mathias","C1H","279.25","-","455",""
"Garzuel Erwan","C1H","280.21","-","461",""
"Pierre Mikolajczak","C1H","280.21","-","461",""
"Riwal Le Berre","C1H","280.85","-","464",""
"Solen Le Bourles","C1H","294.95","-","543",""
"Le Guen Guirec","C1H","310.77","-","632",""
"David Julou","C1H","327.85","644","727",""
"Estelle Hellard-Anais Coudrin","C2D","328.30","-","436",""
"Collet Aurore- Pichard Cyrielle","C2D","355.09","-","562",""
"Emeric Bertrand-Jeanmarie Le Guyader","C2H","252.99","-","209",""
"Michel Lanchec-Francois Potin","C2H","258.35","-","236",""
"Riwal Ollivier-Olivier Gerbeaux","C2H","289.94","445","401",""
"Jouan Benoit- Le Friec Simon","C2H","295.23","-","428",""
"Pernelle Boris- Le Bescaut Jean","C2H","339.16","-","657",""
"Quemeneur Tangui- Le Bigot Goulven","C2H","340.87","-","665",""
"Quentin Chapin-Charles Potier","C2H","349.55","-","710",""
"Le Roux Benjamin- De La Buharaye Thibault","C2H","352.96","-","728",""
"Nagwa Lanchec El Desouki","K1D","232.37","38","112",""
"Stephanie Le Mercier","K1D","250.27","275","205",""
"Estelle Hellard","K1D","253.56","-","223",""
"Cyrielle Pichard","K1D","256.23","312","237",""
"Laetitia Odermatt","K1D","262.82","293","271",""
"Anais Coudrin","K1D","263.83","293","277",""
"Annabelle Garnier","K1D","264.93","218","282",""
"Chloe Le Clezio","K1D","268.25","303","300",""
"Charlene Le Corvaisier","K1D","269.08","228","304",""
"Marie Duval","K1D","271.08","-","314",""
"Baradel Anne","K1D","273.80","447","329",""
"Sylviane Quemerais","K1D","274.34","587","333",""
"Bertho Laura","K1D","275.54","-","338",""
"Marie Laure Graille","K1D","275.58","-","338",""
"Collet Aurore","K1D","280.19","329","362",""
"Guelou Typhaine","K1D","285.04","329","388",""
"Le Bihan Marion","K1D","288.29","430","405",""
"Bencivengo Chloe","K1D","300.31","-","468",""
"Jouan Gaelle","K1D","306.56","505","501",""
"Josephine Le Morvan","K1D","306.68","-","502",""
"Boschat Morgane","K1D","335.28","-","652",""
"Lotton Amandine","K1D","358.70","-","775",""
"Herve Jeanne","K1D","371.26","-","841",""
"Geffroy Justine","K1D","393.04","-","955",""
"Dujardin Maddy-Laurie","K1D","439.87","-","1200",""
"Pierre Marie Roussel","K1H","207.95","94","114",""
"Boris Pernelle","K1H","208.31","148","116",""
"Lionel Tinevez","K1H","216.16","126","163",""
"Romain Guyomard","K1H","217.96","113","173",""
