"sélectif régional slalom - Vinon Sur Verdon - 2007-10-21 Course 1","Vinon Sur Verdon","Course 1","","2007-10-21","Régional","150"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Yebenes Coralie","C1D","365.1","-","672.0",""
"Alizon Konig","C1D","497.94","-","1279.0",""
"Yann Marquer","C1H","237.79","209.0","224.0",""
"Francois Hemidy","C1H","239.25","371.0","232.0",""
"Lacroix Xavier","C1H","239.88","-","235.0",""
"Sebastien De Kerleau","C1H","243.24","161.0","252.0",""
"Baptiste Tappero","C1H","246.46","177.0","269.0",""
"Provost Guillaume","C1H","247.64","460.0","275.0",""
"Nadjib Mazar","C1H","248.87","291.0","281.0",""
"Nil Georgel","C1H","252.26","556.0","298.0",""
"Guillaume Gonseth","C1H","252.44","395.0","299.0",""
"Jonathan Durand","C1H","254.71","-","311.0",""
"Florent Cossou","C1H","258.01","272.0","328.0",""
"David Besancon","C1H","262.98","398.0","353.0",""
"Antoine Demateis","C1H","282.18","-","452.0",""
"Laurent Coudurier","C1H","282.79","446.0","455.0",""
"Eloi Seemann","C1H","289.6","167.0","491.0",""
"Daif Gehrke","C1H","290.27","-","494.0",""
"Camille Sahuc","C1H","291.14","507.0","498.0",""
"Heitzler Olivier","C1H","297.99","979.0","533.0",""
"Charlie Lambert","C1H","300.09","-","544.0",""
"Norbert Neveu","C1H","303.24","30.0","561.0",""
"Damien Oudjedi","C1H","308.31","-","586.0",""
"Ugo Borgia","C1H","311.76","347.0","604.0",""
"Jimy Bercon","C1H","324.79","-","671.0",""
"Benoit Hostein","C1H","370.71","-","907.0",""
"Olivier Bret","C1H","374.53","649.0","927.0",""
"Mickael Cordier-Tom Bar","C2H","254.3","199.0","216.0",""
"Guillaume Gonseth-Nicolas Detheve","C2H","262.03","339.0","253.0",""
"Luc Doye-Francois Hemidy","C2H","279.93","-","338.0",""
"Sebastien De Kerleau-Eloi Seemann","C2H","281.73","231.0","348.0",""
"Benjamin Lebouc-Hugo Lambert","C2H","289.17","312.0","383.0",""
"Courduries Guilhem- Coudurier Laurent","C2H","308.13","-","473.0",""
