"SELECTIF REGIONAL SLALOM - Lochrist Course 1","Lochrist","Course 1","","2007-11-11","Régional","254"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Laetitia Odermatt","C1D","292.07","488.0","402.0",""
"Jeremy Moreaux","C1H","210.57","146.0","133.0",""
"Medhi Deguil","C1H","213.2","115.0","146.0",""
"Philippe Quemerais","C1H","217.15","225.0","168.0",""
"Julien Darcillon","C1H","217.25","207.0","168.0",""
"Ronan Betrom","C1H","218.76","55.0","177.0",""
"Paul Gautier","C1H","219.19","146.0","180.0",""
"Yann Le Pennec","C1H","220.06","148.0","184.0",""
"Paskal Cloarec","C1H","220.73","206.0","188.0",""
"Gaetan Le Henaff","C1H","221.85","180.0","193.0",""
"Emeric Bertrand","C1H","221.93","91.0","195.0",""
"Didier Botrel","C1H","223.45","177.0","203.0",""
"Simon Le Friec","C1H","226.98","259.0","222.0",""
"Cedric Collet","C1H","232.14","213.0","250.0",""
"Sebastien Fouille","C1H","238.05","393.0","283.0",""
"Ludovic Roye","C1H","238.15","233.0","283.0",""
"Solen Le Bourles","C1H","241.45","-","301.0",""
"Florian Helen","C1H","241.95","248.0","304.0",""
"Denis Voisin","C1H","247.22","444.0","333.0",""
"Le Gall Lucas","C1H","248.96","318.0","342.0",""
"Julien Rocaboy","C1H","249.23","326.0","343.0",""
"Brendan Croizer","C1H","249.66","328.0","345.0",""
"Regis Cabel","C1H","252.6","325.0","362.0",""
"Yvan Raoult","C1H","255.97","-","380.0",""
"Antoine Simon","C1H","256.11","266.0","381.0",""
"Boris Nedelec","C1H","256.77","355.0","384.0",""
"Quentin Gillot","C1H","260.36","470.0","404.0",""
"Yvan Nicolas","C1H","274.52","547.0","482.0",""
"Maxime Perron","C1H","279.77","-","510.0",""
"Lucas Hives - Sorin","C1H","279.98","-","511.0",""
"Guillaouet Yoann","C1H","282.0","456.0","523.0",""
"Pierre Mikolajczak","C1H","284.65","-","537.0",""
"Tristan Bronsard","C1H","304.12","-","643.0",""
"Serge Betton","C1H","317.71","539.0","718.0",""
"Donias Lionel","C1H","326.5","-","766.0",""
"Vincent Lemonnier","C1H","342.22","-","852.0",""
"Titouan Brouder","C1H","344.97","-","866.0",""
"David Julou","C1H","349.13","660.0","889.0",""
"Le Gallou Mathias","C1H","357.54","-","936.0",""
"Le Guillouzic Clément","C1H","393.88","-","1134.0",""
"Herbaut Nicolas","C1H","393.99","-","1135.0",""
"Miossec Laurent","C1H","467.23","-","1535.0",""
"Estelle Hellard-Anais Coudrin","C2D","326.44","-","480.0",""
"Le Corvaisier Charlene- Le Clezio Chloe","C2D","539.4","-","1457.0",""
"Cognac Mawenn- Le Morvan Joséphine","C2D","665.66","-","2037.0",""
"Loic Brunel-Medhi Deguil","C2H","237.8","83.0","189.0",""
"Michel Lanchec-Francois Potin","C2H","244.58","-","224.0",""
"Emeric Bertrand-Jeanmarie Le Guyader","C2H","247.71","-","240.0",""
"Yann Le Govic-Fabien Le Nechet","C2H","258.4","-","294.0",""
"Coudert Nicolas- Coudert Julien","C2H","258.93","-","296.0",""
"Marrec Pascal- Fouille Jerome","C2H","270.55","252.0","355.0",""
"Boris Nedelec-Thibaud Couetil","C2H","287.31","498.0","441.0",""
"Pierre Yves Tanguy-Titouan Brouder","C2H","292.51","-","467.0",""
"Maxime Perron-Yvan Nicolas","C2H","320.56","-","610.0",""
"Emmanuel L'anton-Guirec Le Guen","C2H","350.04","-","758.0",""
"Nowan Bertin-Tanguy Le Marec","C2H","355.71","-","788.0",""
"Quemeneur Tangui- Le Bigot Goulven","C2H","371.05","-","865.0",""
"Hardy Thomas- Peuron Kevin","C2H","504.01","-","1540.0",""
"Sarah Despres","K1D","223.51","149.0","126.0",""
"Nagwa Lanchec El Desouki","K1D","226.89","38.0","144.0",""
"Elodie Le Nechet","K1D","227.71","108.0","148.0",""
"Estelle Hellard","K1D","246.72","-","246.0",""
"Stephanie Le Mercier","K1D","246.95","249.0","247.0",""
"Sylviane Quemerais","K1D","260.86","353.0","318.0",""
"Julie Quesne","K1D","262.36","331.0","326.0",""
"Julie Arsento - Lefrancois","K1D","262.8","-","328.0",""
"Anais Coudrin","K1D","263.56","286.0","332.0",""
"Lucie Saucet","K1D","269.6","236.0","362.0",""
"Claire Moal","K1D","270.69","317.0","369.0",""
"Laetitia Odermatt","K1D","272.39","284.0","377.0",""
"Claire Pichon","K1D","273.71","318.0","384.0",""
"Chloe Le Clezio","K1D","273.91","296.0","385.0",""
"Helene Thuret","K1D","274.25","315.0","386.0",""
"Baradel Anne","K1D","277.98","427.0","405.0",""
"Betty Merand","K1D","280.64","522.0","419.0",""
"Aurelie Le Fee","K1D","282.01","315.0","426.0",""
"Charlene Le Corvaisier","K1D","283.57","228.0","435.0",""
"Claire Saucet","K1D","289.61","-","465.0",""
"Marie-francoise Prigent","K1D","295.26","237.0","494.0",""
"Barbara Cavyn","K1D","295.83","388.0","497.0",""
"Jamelot Lea","K1D","298.03","-","508.0",""
"Kristell Bervet","K1D","298.16","339.0","509.0",""
"Pauline Bercon","K1D","301.95","365.0","529.0",""
"Marie Landais","K1D","310.38","394.0","572.0",""
"Marie Duval","K1D","315.73","-","599.0",""
"Isabelle Odot","K1D","317.93","-","611.0",""
"Deborah Larsonneur","K1D","321.13","297.0","626.0",""
"Josephine Le Morvan","K1D","322.48","-","634.0",""
"Cyrielle Pichard","K1D","322.72","280.0","635.0",""
"Le Rouzic Charlotte","K1D","328.34","-","664.0",""
"Aline Roulland","K1D","331.22","1813.0","679.0",""
"Nolwen Jouan","K1D","336.47","289.0","705.0",""
"Guillaouet Typhaine","K1D","345.49","696.0","751.0",""
"Jouan Gaelle","K1D","369.5","495.0","875.0",""
"Collet Aurore","K1D","371.08","353.0","882.0",""
"Pladys Morgane","K1D","382.71","504.0","942.0",""
"Manon Briand","K1D","392.95","833.0","994.0",""
"Hoellard Sabrina","K1D","397.62","-","1018.0",""
"Gardan Pauline","K1D","419.7","-","1132.0",""
"Boschat Morgane","K1D","427.15","-","1169.0",""
"Baxter Lucy","K1D","437.86","-","1225.0",""
"Chaillou Annacecile","K1D","482.28","-","1452.0",""
"Cognac Mawenn","K1D","491.1","-","1497.0",""
"Le Magadou Maelys","K1D","550.13","-","1799.0",""
"Morgane Choulet","K1D","574.74","-","1926.0",""
"Adrien Ferec","K1H","195.22","72.0","102.0",""
"Erwan Cadio","K1H","195.66","101.0","104.0",""
"Pierre Marie Roussel","K1H","197.04","94.0","112.0",""
"Mathieu Le Gal","K1H","198.17","67.0","119.0",""
"Vivien Colober","K1H","198.66","28.0","121.0",""
"Nicolas Veillard","K1H","199.22","112.0","124.0",""
"Fontaine Damien","K1H","199.47","120.0","126.0",""
"Julien Coudert","K1H","201.38","117.0","137.0",""
"Kendaor Le Huitou","K1H","202.27","179.0","142.0",""
"Anthony Cadoret","K1H","202.57","196.0","144.0",""
"Lionel Tinevez","K1H","203.37","126.0","148.0",""
"Stephane Odot","K1H","203.4","364.0","148.0",""
"Melaine Pichard","K1H","204.12","139.0","153.0",""
"Boris Pernelle","K1H","204.17","130.0","153.0",""
"Fabien Le Nechet","K1H","204.26","137.0","154.0",""
"Laurent Rigaud","K1H","205.21","146.0","159.0",""
"Nicolas Coudert","K1H","205.49","-","161.0",""
"Romain Guyomard","K1H","206.05","113.0","164.0",""
"Franck Delachair","K1H","207.92","135.0","175.0",""
"Christophe Le Mercier","K1H","208.65","257.0","179.0",""
"Guillaume Huppert","K1H","208.76","150.0","180.0",""
"Simon Despres","K1H","209.11","147.0","182.0",""
"Valentin Brindeau","K1H","209.58","163.0","184.0",""
"Vincent Gourmel","K1H","209.68","95.0","185.0",""
"Erwan Beyou","K1H","210.12","219.0","187.0",""
"Frederic Castryck","K1H","210.63","178.0","190.0",""
"Jerome Le Hegarat","K1H","210.77","-","191.0",""
"Yann Le Govic","K1H","211.17","183.0","193.0",""
"Olivier Clement","K1H","211.67","178.0","197.0",""
"Jean Yves Prigent","K1H","211.91","263.0","198.0",""
"Manuel Coquelin","K1H","212.11","212.0","199.0",""
"William Desnos","K1H","212.74","183.0","202.0",""
"Sebastien Kerneis","K1H","212.99","256.0","204.0",""
"Le Beller Stevan","K1H","213.71","-","208.0",""
