"CHAMPIONNAT DE BRETAGNE DE SLALOM - Lannion - 2007-12-09 Course 1","Lannion","Course 1","","2007-12-09","Régional","235"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Laetitia Odermatt","C1D","292.17","439.0","407.0",""
"Caroline Loir","C1D","308.38","294.0","485.0",""
"Edern Le Ruyet","C1H","196.85","37.0","70.0",""
"Jeremie Gouello","C1H","197.64","35.0","74.0",""
"Emeric Bertrand","C1H","200.38","114.0","89.0",""
"Thibaud Vielliard","C1H","200.52","55.0","89.0",""
"Jeremy Moreaux","C1H","203.72","127.0","106.0",""
"Ronan Betrom","C1H","204.0","55.0","108.0",""
"Jerome Le Gall","C1H","204.94","54.0","113.0",""
"Martin Braud","C1H","206.17","-","119.0",""
"Yann Le Pennec","C1H","206.7","148.0","122.0",""
"Gaetan Le Henaff","C1H","207.36","180.0","125.0",""
"Medhi Deguil","C1H","208.61","115.0","132.0",""
"Morgan Vourch","C1H","210.2","105.0","141.0",""
"Lepage Clement","C1H","213.82","57.0","160.0",""
"Narduzzi Yves","C1H","213.99","120.0","161.0",""
"Loic Brunel","C1H","215.3","-","168.0",""
"Gireg Hamoniaux","C1H","217.38","187.0","179.0",""
"Simon Le Friec","C1H","218.67","242.0","186.0",""
"Julien Coudert","C1H","220.76","254.0","197.0",""
"Didier Botrel","C1H","221.31","179.0","200.0",""
"Paskal Cloarec","C1H","225.75","196.0","224.0",""
"Nicolas Coudert","C1H","227.49","-","234.0",""
"Julien Darcillon","C1H","227.64","188.0","234.0",""
"Philippe Quemerais","C1H","228.04","217.0","236.0",""
"Cedric Collet","C1H","232.62","213.0","261.0",""
"Marc Anthoine Marchand","C1H","232.72","-","261.0",""
"Regis Cabel","C1H","232.9","325.0","262.0",""
"Florian Helen","C1H","234.37","268.0","270.0",""
"Brendan Croizer","C1H","236.8","339.0","284.0",""
"Solen Le Bourles","C1H","245.23","-","328.0",""
"Antoine Simon","C1H","247.48","266.0","340.0",""
"Riwal Le Berre","C1H","250.27","-","356.0",""
"Boris Nedelec","C1H","251.09","353.0","360.0",""
"Franck Delachair","C1H","251.87","-","364.0",""
"Guillaouet Yoann","C1H","254.24","456.0","377.0",""
"Le Gall Lucas","C1H","256.89","317.0","391.0",""
"Kerambrun Guillaume","C1H","262.09","-","419.0",""
"Quentin De Fierville","C1H","265.22","-","436.0",""
"Yvan Raoult","C1H","269.94","-","461.0",""
"Yves Prigent","C1H","275.87","-","493.0",""
"Martineau Sylvain","C1H","278.29","-","506.0",""
"Olivier Gerbeaux","C1H","279.42","-","512.0",""
"Maxime Perron","C1H","291.5","-","576.0",""
"William Desnos","C1H","296.81","-","604.0",""
"Pierre Mikolajczak","C1H","311.68","-","684.0",""
"Quentin Gillot","C1H","318.75","430.0","722.0",""
