"Championnats de France N1 - Roches Du Diable - 2ème Manche","Roches Du Diable","2ème Manche","","2008-02-24","Nationale 1","111"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Tony Estanguet","C1H","190.53","1.0","9.0",""
"Pierre Labarelle","C1H","193.45","2.0","19.0",""
"Baptiste Delaplace","C1H","194.76","25.0","23.0",""
"Jonathan Marc","C1H","196.42","29.0","29.0",""
"Nicolas Peschier","C1H","198.04","9.0","34.0",""
"Alain Schirmann","C1H","199.09","35.0","38.0",""
"Charly Chassigneux","C1H","200.33","40.0","42.0",""
"Edern Le Ruyet","C1H","200.64","36.0","42.0",""
"Eric Deguil","C1H","200.67","47.0","42.0",""
"Jeremie Gouello","C1H","203.1","33.0","50.0",""
"Pierre Gelle","C1H","203.94","64.0","53.0",""
"Louison Tanet","C1H","205.12","73.0","57.0",""
"Pierre Berthelot Kleck","C1H","205.91","46.0","60.0",""
"Jeremy Moreaux","C1H","206.85","105.0","63.0",""
"Norbert Neveu","C1H","208.19","30.0","67.0",""
"Sebastien Cardiet","C1H","208.47","87.0","68.0",""
"Marc Biazizzo","C1H","208.93","77.0","69.0",""
"Ronan Betrom","C1H","210.76","55.0","76.0",""
"Thibaud Vielliard","C1H","211.07","47.0","77.0",""
"Jeremy Heugas","C1H","211.72","89.0","79.0",""
"Pascal Buck","C1H","211.94","54.0","79.0",""
"Guillaume Wattez","C1H","212.64","65.0","82.0",""
"Julien Gaspard","C1H","213.96","66.0","86.0",""
"Benjamin Ruman","C1H","214.08","63.0","87.0",""
"Hugo Laberine","C1H","219.96","57.0","106.0",""
"Denis Gargaud","C1H","250.29","5.0","205.0",""
"Mathieu Voyemant-Damien Troquenet","C2H","203.56","10.0","5.0",""
"Hugo Biso-Pierre Picco","C2H","206.27","47.0","13.0",""
"Remy Alonso-Victor Lamy","C2H","206.36","22.0","14.0",""
"Cedric Forgit-Martin Braud","C2H","207.28","11.0","16.0",""
"Gauthier Klauss-Matthieu Peche","C2H","207.9","26.0","18.0",""
"Pierre Luquet-Christophe Luquet","C2H","208.21","13.0","19.0",""
"Mathieu Fougere-Thomas Fougere","C2H","210.92","34.0","27.0",""
"Aymeric Maynadier-Sebastien Perilhou","C2H","213.19","26.0","34.0",""
"Loic Brunel-Medhi Deguil","C2H","213.86","68.0","36.0",""
"Yoan Del Rey-Arthur Grandemange","C2H","218.63","67.0","51.0",""
"Philippe Quemerais-Yann Le Pennec","C2H","218.94","39.0","52.0",""
"Janin Maxime- Janin Yoann","C2H","219.56","58.0","53.0",""
"Thierry Saidi-Emmanuel Del Rey","C2H","237.05","82.0","107.0",""
"Thomas Rolando-Adrien Caillaud","C2H","244.15","169.0","129.0",""
"Emilie Fer","K1D","204.55","9.0","14.0",""
"Clotilde Miclo","K1D","205.45","24.0","16.0",""
"Aline Tornare","K1D","205.86","20.0","17.0",""
"Mathilde Pichery","K1D","207.03","11.0","21.0",""
"Marie-zelia Lafont","K1D","207.19","26.0","22.0",""
"Anneline Triomphe","K1D","208.59","29.0","26.0",""
"Carole Bouzidi","K1D","208.9","28.0","27.0",""
"Bardet Annelise","K1D","209.52","38.0","29.0",""
"Nagwa Lanchec El Desouki","K1D","211.86","38.0","36.0",""
"Estelle Mangin","K1D","215.26","95.0","46.0",""
"Caroline Loir","K1D","216.87","53.0","51.0",""
"Elisa Venet","K1D","216.98","28.0","52.0",""
"Caroline Bourry","K1D","217.86","68.0","54.0",""
"Marie Borlet","K1D","218.88","79.0","57.0",""
"Claire Jacquet","K1D","220.49","54.0","63.0",""
"Claire Landrin","K1D","222.35","52.0","68.0",""
"Nouria Newman","K1D","224.77","61.0","76.0",""
"Ophelie Delaplace","K1D","226.38","63.0","81.0",""
"Perrine Beguery","K1D","227.09","95.0","83.0",""
"Lea Martin","K1D","227.32","80.0","84.0",""
"Anais Bouchet","K1D","227.79","85.0","85.0",""
"Elodie Le Nechet","K1D","228.71","108.0","88.0",""
"Julie Labarelle","K1D","230.63","75.0","93.0",""
"Andrea De Azevedo","K1D","241.41","109.0","127.0",""
"Fabien Lefevre","K1H","178.72","0.0","0.0",""
"Julien Billaut","K1H","180.29","6.0","6.0",""
"Sebastien Combot","K1H","181.56","5.0","10.0",""
"Boris Neveu","K1H","183.11","3.0","15.0",""
"Frederic Walczak","K1H","183.65","10.0","17.0",""
"Benoit Peschier","K1H","184.63","18.0","20.0",""
"Raphael Reveche","K1H","186.24","13.0","26.0",""
"Pierre Bourliaud","K1H","186.61","2.0","27.0",""
"Lucien Delfour","K1H","187.66","26.0","31.0",""
"Florian Berail","K1H","188.33","31.0","33.0",""
"Etienne Daille","K1H","189.91","29.0","39.0",""
"Hugo Hager","K1H","189.91","32.0","39.0",""
"Renaud Doby","K1H","189.95","10.0","39.0",""
"Arnaud Lapeze","K1H","190.18","34.0","39.0",""
"Thomas Bersinger","K1H","190.18","34.0","39.0",""
"Loris Minvielle","K1H","190.37","36.0","40.0",""
"Samuel Hernanz","K1H","190.66","10.0","41.0",""
