"Championnats de France N1 - Roches Du Diable - 2ème Manche - 2008-02-24","2ème Manche","2008-02-24","Nationale 1","111"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Tony Estanguet","C1H","190.53","1","9",""
"Pierre Labarelle","C1H","193.45","2","19",""
"Baptiste Delaplace","C1H","194.76","25","23",""
"Jonathan Marc","C1H","196.42","29","29",""
"Nicolas Peschier","C1H","198.04","9","34",""
"Alain Schirmann","C1H","199.09","35","38",""
"Charly Chassigneux","C1H","200.33","40","42",""
"Edern Le Ruyet","C1H","200.64","36","42",""
"Eric Deguil","C1H","200.67","47","42",""
"Jeremie Gouello","C1H","203.10","33","50",""
"Pierre Gelle","C1H","203.94","64","53",""
"Louison Tanet","C1H","205.12","73","57",""
"Pierre Berthelot Kleck","C1H","205.91","46","60",""
"Jeremy Moreaux","C1H","206.85","105","63",""
"Norbert Neveu","C1H","208.19","30","67",""
"Sebastien Cardiet","C1H","208.47","87","68",""
"Marc Biazizzo","C1H","208.93","77","69",""
"Ronan Betrom","C1H","210.76","55","76",""
"Thibaud Vielliard","C1H","211.07","47","77",""
"Jeremy Heugas","C1H","211.72","89","79",""
"Pascal Buck","C1H","211.94","54","79",""
"Guillaume Wattez","C1H","212.64","65","82",""
"Julien Gaspard","C1H","213.96","66","86",""
"Benjamin Ruman","C1H","214.08","63","87",""
"Hugo Laberine","C1H","219.96","57","106",""
"Denis Gargaud","C1H","250.29","5","205",""
"Mathieu Voyemant-Damien Troquenet","C2H","203.56","10","5",""
"Hugo Biso-Pierre Picco","C2H","206.27","47","13",""
"Remy Alonso-Victor Lamy","C2H","206.36","22","14",""
"Cedric Forgit-Martin Braud","C2H","207.28","11","16",""
"Gauthier Klauss-Matthieu Peche","C2H","207.90","26","18",""
"Pierre Luquet-Christophe Luquet","C2H","208.21","13","19",""
"Mathieu Fougere-Thomas Fougere","C2H","210.92","34","27",""
"Aymeric Maynadier-Sebastien Perilhou","C2H","213.19","26","34",""
"Loic Brunel-Medhi Deguil","C2H","213.86","68","36",""
"Yoan Del Rey-Arthur Grandemange","C2H","218.63","67","51",""
"Philippe Quemerais-Yann Le Pennec","C2H","218.94","39","52",""
"Janin Maxime- Janin Yoann","C2H","219.56","58","53",""
"Thierry Saidi-Emmanuel Del Rey","C2H","237.05","82","107",""
"Thomas Rolando-Adrien Caillaud","C2H","244.15","169","129",""
"Emilie Fer","K1D","204.55","9","14",""
"Clotilde Miclo","K1D","205.45","24","16",""
"Aline Tornare","K1D","205.86","20","17",""
"Mathilde Pichery","K1D","207.03","11","21",""
"Marie-zelia Lafont","K1D","207.19","26","22",""
"Anneline Triomphe","K1D","208.59","29","26",""
"Carole Bouzidi","K1D","208.90","28","27",""
"Bardet Annelise","K1D","209.52","38","29",""
"Nagwa Lanchec El Desouki","K1D","211.86","38","36",""
"Estelle Mangin","K1D","215.26","95","46",""
"Caroline Loir","K1D","216.87","53","51",""
"Elisa Venet","K1D","216.98","28","52",""
"Caroline Bourry","K1D","217.86","68","54",""
"Marie Borlet","K1D","218.88","79","57",""
"Claire Jacquet","K1D","220.49","54","63",""
"Claire Landrin","K1D","222.35","52","68",""
"Nouria Newman","K1D","224.77","61","76",""
"Ophelie Delaplace","K1D","226.38","63","81",""
"Perrine Beguery","K1D","227.09","95","83",""
"Lea Martin","K1D","227.32","80","84",""
"Anais Bouchet","K1D","227.79","85","85",""
"Elodie Le Nechet","K1D","228.71","108","88",""
"Julie Labarelle","K1D","230.63","75","93",""
"Andrea De Azevedo","K1D","241.41","109","127",""
"Fabien Lefevre","K1H","178.72","0","0",""
"Julien Billaut","K1H","180.29","6","6",""
"Sebastien Combot","K1H","181.56","5","10",""
"Boris Neveu","K1H","183.11","3","15",""
"Frederic Walczak","K1H","183.65","10","17",""
"Benoit Peschier","K1H","184.63","18","20",""
"Raphael Reveche","K1H","186.24","13","26",""
"Pierre Bourliaud","K1H","186.61","2","27",""
"Lucien Delfour","K1H","187.66","26","31",""
"Florian Berail","K1H","188.33","31","33",""
"Etienne Daille","K1H","189.91","29","39",""
"Hugo Hager","K1H","189.91","32","39",""
"Renaud Doby","K1H","189.95","10","39",""
"Arnaud Lapeze","K1H","190.18","34","39",""
"Thomas Bersinger","K1H","190.18","34","39",""
"Loris Minvielle","K1H","190.37","36","40",""
"Samuel Hernanz","K1H","190.66","10","41",""
"Aurelien Maynadier","K1H","190.67","22","41",""
"Benjamin Buys","K1H","191.21","29","43",""
"Benoit Guillaume","K1H","191.36","30","44",""
"Damien Laborde","K1H","191.80","33","45",""
"Vivien Colober","K1H","192.38","28","47",""
"Julien Dekarczyk","K1H","192.61","13","48",""
"Matthieu Le Gall","K1H","192.75","39","49",""
"Davy Egraz","K1H","193.00","50","49",""
"Benoit Molinier","K1H","193.03","34","49",""
"Yann Gudefin","K1H","193.35","47","50",""
"Cedric Bron","K1H","193.40","42","50",""
"Louis Georges Lafont","K1H","193.76","47","52",""
"Benjamin Renia","K1H","193.88","60","52",""
"Benoit Letellier","K1H","194.16","69","53",""
"Quentin Bove","K1H","194.87","25","55",""
"Adrien Ferec","K1H","194.95","81","56",""
"Christophe Marechal","K1H","195.10","30","57",""
"Nicolas Labat","K1H","195.61","45","58",""
"Ronan Lucas","K1H","196.17","60","60",""
"Pierre Devaux","K1H","196.94","37","63",""
"Benoit Fer","K1H","197.72","67","65",""
"Louis Philippe Rigal","K1H","198.48","110","68",""
"Julien Arribe","K1H","199.41","57","71",""
"Sebastien Halilou","K1H","199.73","49","73",""
"Michael Guyon","K1H","201.59","57","79",""
"Benjamin Boukpeti","K1H","232.80","22","186",""
"Mathieu Doby","K1H","239.83","17","210",""
"Paul Brier","K1H","241.15","40","215",""
"Yoan Minvielle","K1H","244.63","37","227",""
"Benoit Rouffet","K1H","274.21","50","328",""
