"SELECTION CHAMPIONNAT DE FRANCE NATIONALE 2 - Cesson Sévigné - 2008-03-02","Course 1","2008-03-02","Nationale 2","149"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Medhi Deguil","C1H","194.69","115","111",""
"Alexandre Pocard","C1H","199.31","123","134",""
"Gaetan Le Henaff","C1H","200.56","155","140",""
"Morgan Vourch","C1H","200.68","114","140",""
"Kilian Foulon","C1H","200.82","196","141",""
"Yann Le Pennec","C1H","201.88","143","146",""
"Gireg Hamoniaux","C1H","205.82","172","166",""
"Come Hebert","C1H","205.84","199","166",""
"Parmentelat Edouard","C1H","206.65","126","170",""
"Jerome Fouille","C1H","209.32","204","182",""
"Paskal Cloarec","C1H","215.67","198","214",""
"Christophe Augu","C1H","215.88","197","214",""
"Antoine Simon","C1H","216.92","275","219",""
"Julien Darcillon","C1H","217.31","188","222",""
"Paul Gautier","C1H","218.89","143","229",""
"Geoffroy Schwentzel","C1H","220.36","222","236",""
"Maxime Cousin","C1H","221.91","236","244",""
"Xavier Jourdain","C1H","222.27","236","245",""
"Yoann Bizot","C1H","223.27","230","251",""
"Ludovic Roye","C1H","223.51","231","252",""
"Quentin Mannier","C1H","223.82","281","253",""
"Cedric Collet","C1H","226.26","244","266",""
"Jemaa Souleyk","C1H","226.47","221","266",""
"Teddy Poulard","C1H","230.20","254","285",""
"David Riffaud","C1H","238.20","288","324",""
"Kevin Marquais","C1H","249.71","148","380",""
"Romain Caillon","C1H","250.77","233","385",""
"Simon Le Friec","C1H","254.51","184","403",""
"Antoine Bizot","C1H","266.89","240","464",""
"Didier Botrel","C1H","272.29","190","490",""
"Mathys Morgan","C1H","273.24","247","495",""
"Pierre Herault-Abdelkrim Ali Zazou","C2H","228.59","192","198",""
"Christian Boob-Frederic Boob","C2H","237.45","188","238",""
"Lambert Kevin- Lacour Gregory","C2H","240.29","227","251",""
"Marcantoine Hacquart-Valentin Lang","C2H","290.33","231","478",""
"Clement Berger-Mathieu Villeger","C2H","309.92","201","567",""
"Sarah Despres","K1D","209.40","123","119",""
"Anne Boixel","K1D","214.33","112","141",""
"Josepha Longa","K1D","219.36","147","165",""
"Oriane Rebours","K1D","223.62","131","184",""
"Anne Traband","K1D","227.07","212","200",""
"Anne Sophie Le Bailly","K1D","228.20","130","205",""
"Gaelle Tosser-roussey","K1D","229.31","185","210",""
"Estelle Hellard","K1D","232.22","203","224",""
"Laura Lyphout","K1D","235.45","231","238",""
"Marie-francoise Prigent","K1D","238.59","245","253",""
"Harmony Thery","K1D","239.36","216","256",""
"Laura Fauste","K1D","240.99","163","264",""
"Anais Coudrin","K1D","242.39","256","270",""
"Marion Villeger","K1D","247.22","243","293",""
"Lucie Saucet","K1D","247.83","271","295",""
"Sophie Machiels","K1D","247.94","274","296",""
"Stephanie Le Mercier","K1D","249.78","236","304",""
"Calypso Freichel","K1D","251.35","285","311",""
"Laurence Pessoni","K1D","254.60","207","326",""
"Chloe Le Clezio","K1D","255.57","291","330",""
"Laetitia Odermatt","K1D","256.67","278","335",""
"Kristell Bervet","K1D","261.29","378","356",""
"Lisa Elasri","K1D","263.70","326","367",""
"Charlene Le Corvaisier","K1D","265.06","228","374",""
"Montaine Roumet","K1D","267.94","262","388",""
"Emilie Saguet","K1D","274.07","284","415",""
"Deborah Larsonneur","K1D","285.79","317","469",""
"Annabelle Garnier","K1D","287.94","545","479",""
"Melina Letellier","K1D","296.16","224","516",""
"Camille Gil","K1D","299.83","268","533",""
"Mathieu Le Gal","K1H","178.24","67","74",""
"Yoann Hautecloche","K1H","178.26","121","74",""
"Pierre Marie Roussel","K1H","179.37","84","80",""
"Lucas Kelifaoui","K1H","180.27","107","85",""
"Nicolas Veillard","K1H","180.67","110","87",""
"Erwan Cadio","K1H","181.36","105","90",""
"Kendaor Le Huitou","K1H","182.10","129","94",""
"Julien Dosse","K1H","182.60","168","97",""
"Edern Le Ruyet","K1H","183.12","154","99",""
"Boris Pernelle","K1H","183.97","116","103",""
"Florian Ordonneau","K1H","184.05","123","104",""
"Aurelien Leroy","K1H","184.20","88","105",""
"Herve Busson","K1H","185.36","118","111",""
"Oswald Besch","K1H","185.78","77","113",""
"Anthony Mottais","K1H","185.84","171","113",""
"Joris Rocher","K1H","186.16","164","115",""
"Gregory Busson","K1H","186.19","89","115",""
"Quentin De Fierville","K1H","186.60","178","117",""
"Benjamin Thiboust","K1H","186.75","124","118",""
"Simon Despres","K1H","186.98","137","119",""
"Benoit Lepage","K1H","187.18","-","120",""
"Yoann Rebours","K1H","187.23","179","120",""
"Jean Christophe Boivin","K1H","187.39","71","121",""
"Melaine Pichard","K1H","187.53","145","122",""
"Fabien Tournadre","K1H","187.69","120","123",""
"Julien Riffaud","K1H","187.76","155","123",""
"Riwal Le Berre","K1H","187.84","163","124",""
"Loic Monbel","K1H","187.91","161","124",""
"Franck Delachair","K1H","188.37","142","126",""
"Enrick Cunsolo","K1H","189.35","194","131",""
"Bertrand Gutierrez","K1H","189.39","160","131",""
"William Desnos","K1H","189.67","162","133",""
"Fabien Le Nechet","K1H","190.72","138","138",""
"Yves Lecointe","K1H","191.86","183","144",""
"Mathieu Biazizzo","K1H","192.00","133","145",""
"Vincent Gourmel","K1H","192.35","100","146",""
"Laurent Rigaud","K1H","192.54","105","148",""
