"Championnats de France N1 - Epinal - 3ème Manche","Epinal","3ème Manche","","2008-03-15","Nationale 1","103"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Pierre Labarelle","C1H","187.64","2.0","5.0",""
"Baptiste Delaplace","C1H","193.88","25.0","23.0",""
"Edern Le Ruyet","C1H","194.53","42.0","25.0",""
"Jeremie Gouello","C1H","195.24","37.0","27.0",""
"Denis Gargaud","C1H","196.18","8.0","29.0",""
"Charly Chassigneux","C1H","198.06","40.0","35.0",""
"Eric Deguil","C1H","200.01","34.0","40.0",""
"Jonathan Marc","C1H","202.31","30.0","46.0",""
"Louison Tanet","C1H","202.32","59.0","47.0",""
"Herve Delamarre","C1H","202.38","72.0","47.0",""
"Thibaud Vielliard","C1H","203.07","48.0","49.0",""
"Pierre Berthelot Kleck","C1H","205.49","50.0","56.0",""
"Guillaume Wattez","C1H","205.56","65.0","56.0",""
"Pierre Gelle","C1H","206.7","58.0","59.0",""
"Julien Gaspard","C1H","207.69","69.0","62.0",""
"Marc Biazizzo","C1H","208.22","65.0","63.0",""
"Pascal Buck","C1H","209.58","54.0","67.0",""
"Benjamin Ruman","C1H","210.71","71.0","70.0",""
"Sebastien Cardiet","C1H","211.51","75.0","73.0",""
"Loic Bourgeois","C1H","214.0","53.0","79.0",""
"Jeremy Moreaux","C1H","218.64","82.0","92.0",""
"Nicolas Peschier","C1H","250.95","13.0","183.0",""
"Norbert Neveu","C1H","272.65","30.0","244.0",""
"Hugo Laberine","C1H","321.99","60.0","383.0",""
"Gauthier Klauss-Matthieu Peche","C2H","199.85","22.0","0.0",""
"Mathieu Fougere-Thomas Fougere","C2H","203.55","30.0","9.0",""
"Aymeric Maynadier-Sebastien Perilhou","C2H","207.13","24.0","19.0",""
"Yoan Del Rey-Arthur Grandemange","C2H","209.18","62.0","25.0",""
"Hugo Biso-Pierre Picco","C2H","210.62","34.0","28.0",""
"Pierre Luquet-Christophe Luquet","C2H","210.98","13.0","29.0",""
"Remy Alonso-Victor Lamy","C2H","211.21","18.0","30.0",""
"Cedric Forgit-Martin Braud","C2H","212.37","10.0","33.0",""
"Loic Brunel-Medhi Deguil","C2H","214.22","52.0","38.0",""
"Janin Maxime- Janin Yoann","C2H","218.94","55.0","50.0",""
"Sebastien Andrieu-Pierre Pans","C2H","224.48","147.0","64.0",""
"Thomas Rolando-Adrien Caillaud","C2H","232.94","148.0","87.0",""
"Aline Tornare","K1D","200.85","18.0","7.0",""
