"Nationale 2 huningue - Huningue - 2008-03-22 Course 1","Huningue","Course 1","","2008-03-22","Nationale 2","108"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Alexandre Pocard","C1H","223.61","119.0","133.0",""
"Parmentelat Edouard","C1H","225.75","126.0","143.0",""
"Leo Thomas","C1H","228.95","189.0","157.0",""
"Quentin Bove","C1H","229.1","177.0","158.0",""
"Eloi Seemann","C1H","230.23","167.0","163.0",""
"Matthieu Peche","C1H","230.38","209.0","163.0",""
"Nils Mosch","C1H","235.13","164.0","184.0",""
"Jeancharles Reby","C1H","235.22","198.0","184.0",""
"Lorrie Delattre","C1H","236.58","95.0","190.0",""
"Anthony Colin","C1H","237.29","116.0","194.0",""
"Christophe Despres","C1H","238.69","168.0","199.0",""
"Sebastien De Kerleau","C1H","241.61","161.0","212.0",""
"Benjamin Maubert","C1H","242.41","123.0","216.0",""
"Jan Pischek","C1H","247.04","193.0","237.0",""
"Thomas Koechlin","C1H","247.65","220.0","239.0",""
"Thibault Bigeon","C1H","252.6","203.0","261.0",""
"Olivier Arette Hourquet","C1H","252.62","199.0","261.0",""
"Pierrick Maujean","C1H","253.45","224.0","265.0",""
"Geoffroy Schwentzel","C1H","253.89","215.0","267.0",""
"Teddy Poulard","C1H","254.34","254.0","268.0",""
"Mathys Morgan","C1H","261.45","247.0","300.0",""
"Jemaa Souleyk","C1H","261.97","221.0","302.0",""
"Maxime Cousin","C1H","264.27","235.0","312.0",""
"Parmentelat Cyril","C1H","270.86","153.0","341.0",""
"Oswald Besch","C1H","305.82","234.0","495.0",""
"Marcantoine Hacquart-Valentin Lang","C2H","256.3","231.0","198.0",""
"Claude Menissier-Gerard Menissier","C2H","271.63","249.0","260.0",""
"Lambert Kevin- Lacour Gregory","C2H","276.44","227.0","279.0",""
"Anne Sophie Le Bailly","K1D","242.8","152.0","151.0",""
"Anne Traband","K1D","247.92","201.0","172.0",""
"Gaelle Tosser-roussey","K1D","249.48","185.0","178.0",""
"Elise Pierron","K1D","255.08","209.0","202.0",""
"Sarah Michel","K1D","256.46","181.0","207.0",""
"Harmony Thery","K1D","257.08","215.0","210.0",""
"Flora Bove","K1D","257.2","180.0","211.0",""
"Mylene Renaud","K1D","259.43","210.0","220.0",""
"Fiora Bourges","K1D","260.1","211.0","222.0",""
"Tiphanie Le Gall","K1D","264.97","230.0","243.0",""
"Barbara Gibert","K1D","266.43","258.0","249.0",""
"Sophie Machiels","K1D","267.16","252.0","251.0",""
"Laura Fauste","K1D","267.99","175.0","255.0",""
"Sandra Nicolas","K1D","270.91","280.0","267.0",""
"Calypso Freichel","K1D","273.87","285.0","279.0",""
"Anais Dieterling","K1D","275.64","296.0","286.0",""
"Anais Couturier","K1D","275.8","274.0","287.0",""
"Stephanie Ansot","K1D","280.3","258.0","306.0",""
"Lisa Elasri","K1D","286.06","326.0","329.0",""
"Sylvaine Louis","K1D","287.4","288.0","334.0",""
"Sophie Balmossiere","K1D","291.77","298.0","353.0",""
"Florianne Gautier","K1D","303.6","263.0","402.0",""
"Emmanuel Walczak","K1H","198.33","76.0","66.0",""
"Emile Devaux","K1H","200.06","109.0","74.0",""
"Andy Pajani","K1H","202.24","96.0","84.0",""
"Alexis Caspar","K1H","202.81","109.0","87.0",""
"Jules Bevalot","K1H","205.1","81.0","98.0",""
"Jimy Bercon","K1H","205.58","116.0","99.0",""
"Hafiz Ali Hassan","K1H","206.29","112.0","103.0",""
"Mathieu Bandelier","K1H","206.57","119.0","104.0",""
"Jerome Olhagaray","K1H","208.11","111.0","111.0",""
"Benjamin Travostino","K1H","208.47","94.0","113.0",""
"Nicolas Abbal","K1H","208.89","125.0","115.0",""
"Enrick Cunsolo","K1H","210.11","168.0","121.0",""
"Kevin Schultz","K1H","211.17","151.0","126.0",""
"Pierre Baux","K1H","211.73","151.0","128.0",""
"Julien Haberland","K1H","211.77","126.0","128.0",""
"Quentin Burgi","K1H","213.07","125.0","134.0",""
"Martin Dougoud","K1H","214.14","163.0","139.0",""
"Bertrand Bercon","K1H","214.51","133.0","141.0",""
"Gregory Busson","K1H","214.57","87.0","141.0",""
"Bertrand Gutierrez","K1H","214.63","146.0","141.0",""
"Kevin Burgi","K1H","216.57","147.0","150.0",""
"Romain Bove","K1H","216.73","159.0","151.0",""
"Christophe Siffert","K1H","217.67","190.0","155.0",""
"Olivier Machiels","K1H","218.52","314.0","159.0",""
"Remi Thomas","K1H","218.72","189.0","160.0",""
"Nathan Barbier","K1H","219.28","178.0","163.0",""
"Louison Tanet","K1H","219.35","198.0","163.0",""
"Romain Viry","K1H","220.29","177.0","167.0",""
"Julien Bley","K1H","220.72","183.0","169.0",""
"Pascal Ferry","K1H","220.73","165.0","169.0",""
"Julien Beltrami","K1H","220.74","178.0","170.0",""
"Jules Domine","K1H","221.36","199.0","172.0",""
"Jeremy Vibert","K1H","221.45","137.0","172.0",""
"Frederic Tinchant","K1H","221.82","184.0","174.0",""
"Didier Niel","K1H","222.98","223.0","180.0",""
"Maxime Faivre","K1H","223.24","173.0","181.0",""
"Jean Charles Creusot Walter","K1H","223.99","138.0","184.0",""
"Nicolas Burgi","K1H","224.77","170.0","188.0",""
"Childeric Thoreau","K1H","225.51","148.0","191.0",""
"Remi Baudot","K1H","225.57","166.0","192.0",""
"Sylvain Herrbach","K1H","225.65","190.0","192.0",""
"Michel Gombert","K1H","226.28","161.0","195.0",""
"Mickael Louchard","K1H","226.29","205.0","195.0",""
"Bertrand Avril","K1H","227.19","211.0","199.0",""
"Paul Poulet","K1H","228.46","223.0","205.0",""
"Fabien Hantz","K1H","230.36","198.0","214.0",""
"Jeremy Poux","K1H","230.94","230.0","216.0",""
"Beghoura Yoni","K1H","231.47","194.0","219.0",""
"Stefan Stanik","K1H","231.74","196.0","220.0",""
"Nicolas Ciemniewski","K1H","234.65","342.0","233.0",""
"Venceslas Viseur","K1H","235.11","151.0","236.0",""
"Olivier Bourgey","K1H","236.96","200.0","244.0",""
