"Sélection régionale de Clisson - Clisson - 2008-04-13","Course 1","2008-04-13","Régional","69"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Leo Thomas","C1H","216.31","151","195",""
"Paul Gautier","C1H","220.01","152","215",""
"Jeremie Jousseaume","C1H","221.96","211","225",""
"Evence Granger","C1H","222.17","159","225",""
"Marc Anthoine Marchand","C1H","231.57","324","273",""
"Florian Ordonneau","C1H","241.69","277","326",""
"Titouan Brouder","C1H","287.23","457","558",""
"Antoine Giudicelli-Francois Giudicelli","C2H","264.07","303","345",""
"Anne Traband","K1D","228.38","178","184",""
"Sarah Despres","K1D","232.33","120","204",""
"Valerie Sibioude","K1D","235.29","198","218",""
"Gaelle Tosser-roussey","K1D","250.71","188","291",""
"Helene Thuret","K1D","297.07","271","514",""
"Camille Le Coq","K1D","302.87","-","541",""
"Barbara Cavyn","K1D","325.19","388","648",""
"Camille Jounot","K1D","347.89","602","757",""
"Andrea Menant","K1D","353.85","443","785",""
"Clarisse Robin","K1D","379.15","-","907",""
"Alexandra Menant","K1D","380.06","459","911",""
"Johane Guinberteau","K1D","390.02","962","959",""
"Clemence Drugeot","K1D","411.57","-","1063",""
"Alison Drouet","K1D","437.74","834","1188",""
"Natacha Richer","K1D","532.06","996","1640",""
"Charlene Cibois","K1D","550.05","-","1726",""
"Marielle Bellec","K1D","677.15","-","2335",""
"Alexis Caspar","K1H","189.06","94","105",""
"Joris Rocher","K1H","195.75","143","141",""
"Jeremy Cremonesi","K1H","196.10","95","143",""
"Yoann Hautecloche","K1H","198.98","84","158",""
"Sarazin Emmanuel","K1H","202.07","160","175",""
"Kevin Gouabault","K1H","204.52","136","188",""
"Vincent Froger","K1H","212.17","217","229",""
"Alain Droniou","K1H","217.14","212","256",""
"Yves Prigent","K1H","220.44","264","273",""
"Manuel Coquelin","K1H","221.25","195","278",""
"Kevin Lemenaheze","K1H","221.27","-","278",""
"Etienne Legeay","K1H","221.34","222","278",""
"Simon Vaillant","K1H","222.51","262","285",""
"Pierre Emanuel Marchand","K1H","223.42","-","289",""
"Erwan Desbordes","K1H","226.43","297","305",""
"Debliquy Stephane","K1H","227.78","270","313",""
"Jacques Despierres","K1H","230.78","231","329",""
"Ludovic Gloaguen","K1H","230.82","263","329",""
"Marc Anthoine Marchand","K1H","233.13","444","341",""
"Boris Pernelle","K1H","246.97","109","415",""
"Florian Ordonneau","K1H","252.24","111","443",""
"Jerome Dorizon","K1H","254.13","472","454",""
"Thomas Drouart","K1H","258.61","351","478",""
"Romain Lecrenais-perrel","K1H","261.36","229","493",""
"Manuel Besnard","K1H","267.32","-","525",""
"Pierrick Meheust","K1H","270.44","449","541",""
"Ronan Collin","K1H","273.08","-","556",""
"Christophe Le Mercier","K1H","273.31","154","557",""
"Simon Drouart","K1H","279.19","585","588",""
"Julien Lamberti","K1H","279.25","-","589",""
"Matthieu Jonnart-baur","K1H","296.53","340","681",""
"Thibaut Mechling","K1H","302.13","715","711",""
"Gerard Lemonnier","K1H","303.85","594","721",""
"Loic Augereau","K1H","308.46","-","746",""
"Anthony Goisneau","K1H","310.07","-","754",""
"Gaetan Motte","K1H","310.50","-","756",""
"Yann Drouet","K1H","316.73","492","790",""
"Aurelien Ballandras","K1H","316.94","1346","791",""
"Alexandre Plumejeau","K1H","344.94","660","941",""
"Arnaud Blanchet","K1H","349.21","-","964",""
"Thierry Dugue","K1H","382.02","639","1141",""
"Paul Trecul","K1H","384.92","1569","1156",""
"Lareur Clement","K1H","392.14","-","1194",""
"Felix Chaillou-delecourt","K1H","492.73","2449","1734",""
