"2ème manche N3 est - Ancerville Course 1","Ancerville","Course 1","","2008-04-20","Nationale 3","112"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Valentin Lang","C1H","186.75","350.0","239.0",""
"Emmanuel Walczak","C1H","191.53","319.0","269.0",""
"Julien Arribe","C1H","193.27","356.0","281.0",""
"Jonathan Matern","C1H","193.29","290.0","281.0",""
"Philippe Senechal","C1H","197.77","305.0","310.0",""
"Quentin Burgi","C1H","198.29","321.0","314.0",""
"Xavier Sucker","C1H","210.59","409.0","393.0",""
"Thibault Blaise","C1H","212.67","469.0","406.0",""
"Nicolas Burgi","C1H","215.67","424.0","425.0",""
"Olivier Urbain","C1H","223.78","-","478.0",""
"Frederic Saguet","C1H","224.28","340.0","480.0",""
"Thomas Burgi","C1H","268.61","478.0","766.0",""
"Bertrand Gutierrez-Nikolas Stanik","C2H","210.74","400.0","298.0",""
"Alexandre Mathis-Pierre Melin","C2H","212.68","346.0","309.0",""
"Nicolas Ciemniewski-Emmanuel Walczak","C2H","216.89","321.0","334.0",""
"Stefan Stanik-Vincent Bajolot","C2H","218.15","307.0","342.0",""
"Pierrick Maujean-Julien Bley","C2H","221.98","382.0","365.0",""
"Frederic Saguet-Didier Thomas","C2H","230.69","644.0","416.0",""
"Fanny Mino-vercellio","K1D","201.36","273.0","252.0",""
"Blanche Legin","K1D","214.89","275.0","333.0",""
"Cecile Meichel","K1D","215.6","318.0","338.0",""
"Maud Caspar","K1D","217.24","283.0","348.0",""
"Cassandre Sucker","K1D","221.25","389.0","372.0",""
"Marechal Brigitte","K1D","221.48","329.0","373.0",""
"Lorraine Mathis","K1D","224.92","348.0","394.0",""
"Jeanne L'orphelin","K1D","227.18","472.0","408.0",""
"Raphaelle Hovine","K1D","227.67","265.0","411.0",""
"Muriel Flandin Saurat","K1D","236.49","495.0","463.0",""
"Sabrina Boespflug","K1D","236.91","328.0","466.0",""
"Marie Ringeisen","K1D","241.16","430.0","492.0",""
"Lauranne Bechereau","K1D","241.37","395.0","494.0",""
"Sanae Mouhidi","K1D","242.81","525.0","502.0",""
"Marlene Dumoulin","K1D","243.21","416.0","504.0",""
"Carole Dolmaire","K1D","257.27","586.0","589.0",""
"Melanie Jambeau","K1D","280.84","350.0","731.0",""
"Lea Bechereau","K1D","283.74","389.0","749.0",""
"Victorine Gerard","K1D","292.64","567.0","803.0",""
"Lucile Remond","K1D","301.03","497.0","854.0",""
"Rosalie Kempf","K1D","305.95","350.0","883.0",""
"Thibaut Chariot","K1H","171.38","230.0","195.0",""
"Jeremy Lehning","K1H","174.0","201.0","213.0",""
"Boris Chenal","K1H","174.16","243.0","214.0",""
"Sylvain Dandel","K1H","174.47","271.0","217.0",""
"Romain Musy","K1H","174.72","257.0","218.0",""
"Paul Aubert","K1H","177.24","220.0","234.0",""
"Florient Tagnon","K1H","177.76","256.0","238.0",""
"Mael Othenin Girard","K1H","179.0","252.0","247.0",""
"Gael Wassmer","K1H","179.23","291.0","249.0",""
"Youcef Bahlat","K1H","180.8","325.0","259.0",""
"Samuel Wey","K1H","181.45","371.0","264.0",""
"Olivier Urbain","K1H","182.56","278.0","271.0",""
"Louis Bandelier","K1H","182.92","409.0","273.0",""
"Anthony Deschamps","K1H","183.4","246.0","277.0",""
"Thomas Michel","K1H","184.02","248.0","281.0",""
"Christophe Billaud","K1H","185.97","237.0","294.0",""
"Nicolas Pinot","K1H","186.03","303.0","294.0",""
"Damien Burteaux","K1H","186.21","221.0","296.0",""
"Anthony Beaudoing","K1H","186.38","334.0","297.0",""
"Gregory Booth","K1H","187.01","264.0","300.0",""
"Arnaud Jamet","K1H","187.16","306.0","301.0",""
"Silvere Desongins","K1H","187.49","266.0","304.0",""
"Florian Balhuizen","K1H","187.59","242.0","305.0",""
"Philippe Thevenin","K1H","190.78","335.0","326.0",""
"Stephane Rousse","K1H","191.13","310.0","329.0",""
"Thomas Stutzmann","K1H","191.38","397.0","331.0",""
"Arthur Bernot","K1H","192.23","440.0","336.0",""
"Alexandre Bordas","K1H","193.79","391.0","347.0",""
"Yann Le Guedard","K1H","194.48","377.0","351.0",""
"Romaric Baron","K1H","195.12","344.0","356.0",""
"Patrick Gass","K1H","195.55","297.0","359.0",""
"Bessiere Florian","K1H","195.62","335.0","359.0",""
"Munschina Vincent","K1H","196.01","426.0","362.0",""
"Fernandes De Oliveira Charles","K1H","196.49","355.0","365.0",""
"Jonathan Matern","K1H","197.18","527.0","369.0",""
"Christophe Godinat","K1H","197.24","320.0","370.0",""
"Nicolas Fritsch","K1H","197.36","336.0","371.0",""
"Jean Guyot","K1H","197.96","386.0","375.0",""
"Beranger Bechereau","K1H","199.92","376.0","388.0",""
"Adrien Kaiser","K1H","201.96","566.0","402.0",""
"Arthur Veber","K1H","205.92","403.0","429.0",""
"Yanis Burdet","K1H","205.98","334.0","429.0",""
"Matthieu Deletre","K1H","208.04","532.0","443.0",""
"Pierre Cassin","K1H","209.06","347.0","449.0",""
"Antoine Colas","K1H","210.46","388.0","459.0",""
"Remi Vallin","K1H","211.36","502.0","465.0",""
"Paul Bornier","K1H","211.61","546.0","467.0",""
"Anthony Jouannic","K1H","214.07","592.0","483.0",""
"Risser Arthur","K1H","214.55","409.0","487.0",""
"Thibault Blaise","K1H","216.24","532.0","498.0",""
"Luc Goujon","K1H","218.69","618.0","514.0",""
"Andre Kempf","K1H","219.3","526.0","519.0",""
"Xavier Sucker","K1H","219.33","472.0","519.0",""
"Bertrand Bourguignon","K1H","221.49","582.0","534.0",""
"Thomas Dandel","K1H","225.57","289.0","562.0",""
"Nicolas Mangeolle","K1H","231.25","222.0","600.0",""
"William Boutet","K1H","232.89","294.0","611.0",""
"Simon Barthelemy","K1H","235.24","604.0","627.0",""
"Emilien Kempf","K1H","238.5","675.0","648.0",""
"Geoffrey Walczak","K1H","241.32","420.0","668.0",""
"Romain Faurie","K1H","243.06","383.0","679.0",""
"Tom Jackson","K1H","248.58","392.0","717.0",""
"Sylvain Ferry","K1H","251.7","334.0","738.0",""
"Sebastien Thevenin","K1H","251.79","235.0","739.0",""
"Lois Guillermond","K1H","252.58","475.0","743.0",""
"Claude Breuzard","K1H","254.29","714.0","756.0",""
"Colas Geier","K1H","255.0","605.0","760.0",""
"Nicolas Marion","K1H","261.59","743.0","805.0",""
"Jerome Laflotte","K1H","263.23","348.0","816.0",""
"Nikolas Stanik","K1H","282.4","243.0","945.0",""
"Lucas Ferraina","K1H","294.43","331.0","1026.0",""
"David Pierson","K1H","308.82","666.0","1123.0",""
"Emmanuel Triomphe","K1H","353.1","295.0","1423.0",""
