"selection N2 Slalom - Bassin De Tarbes - 2008-05-25 Course 1","Bassin De Tarbes","Course 1","","2008-05-25","Nationale 2","106"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Martin Thomas","C1H","232.19","88.0","131.0",""
"Cordeil Tristan","C1H","232.9","-","134.0",""
"Gaetan Le Henaff","C1H","235.16","128.0","143.0",""
"Kevin Marquais","C1H","235.57","121.0","145.0",""
"Nicolas Scianimanico","C1H","235.81","128.0","146.0",""
"Benoit Guiraud","C1H","237.62","157.0","153.0",""
"Benoit Pacteau","C1H","239.46","173.0","161.0",""
"Kilian Foulon","C1H","240.62","131.0","166.0",""
"Raphael Reveche","C1H","242.29","138.0","173.0",""
"Gireg Hamoniaux","C1H","245.84","113.0","187.0",""
"Jonathan Figarol","C1H","249.61","220.0","202.0",""
"Valentin Grollemund","C1H","253.99","185.0","220.0",""
"Cyril Duquet","C1H","258.02","-","237.0",""
"Come Hebert","C1H","258.2","185.0","237.0",""
"Remi Debailleul","C1H","267.55","306.0","275.0",""
"Bernard Santoro","C1H","268.5","211.0","279.0",""
"Romain Caillon","C1H","287.03","188.0","355.0",""
"Pierre Herault-Abdelkrim Ali Zazou","C2H","245.15","131.0","113.0",""
"Benjamin Reig-Cyril Boulet","C2H","257.82","154.0","161.0",""
"Arnaud Lapeze-Louis Georges Lafont","C2H","268.73","-","203.0",""
"Simon Cayez-Guillaume Picco","C2H","270.73","248.0","210.0",""
"Clement Berger-Mathieu Villeger","C2H","283.51","202.0","259.0",""
"Frederic Descot-Yoan Dalla Longa","C2H","293.44","257.0","296.0",""
"Felix Dupin-Emile Dupin","C2H","352.18","194.0","519.0",""
"Sarah Despres","K1D","241.26","112.0","107.0",""
"Jade Vassallo","K1D","248.52","165.0","134.0",""
"Laure Udari","K1D","259.31","135.0","176.0",""
"Josepha Longa","K1D","261.43","134.0","184.0",""
"Pauline Guiet","K1D","271.81","179.0","224.0",""
"Estelle Hellard","K1D","279.39","194.0","252.0",""
"Annabelle Garnier","K1D","280.67","313.0","257.0",""
"Violaine Truche","K1D","282.41","214.0","264.0",""
"Laurence Pessoni","K1D","284.56","212.0","272.0",""
"Laetitia Thueux","K1D","289.22","309.0","290.0",""
"Zoe Anxionnaz","K1D","299.25","236.0","328.0",""
"Camille Gil","K1D","299.68","274.0","330.0",""
"Marion Villeger","K1D","302.8","286.0","342.0",""
"Lucie Saucet","K1D","307.42","293.0","360.0",""
"Erell Chardon Vivier","K1D","309.81","232.0","369.0",""
"Anais Coudrin","K1D","330.59","253.0","448.0",""
"Audrey Picco","K1D","336.95","201.0","472.0",""
"Deborah Larsonneur","K1D","418.97","427.0","786.0",""
"Hugo Cailhol","K1H","200.16","63.0","42.0",""
"Aurelien Leroy","K1H","208.05","79.0","76.0",""
"Thomas Rosset","K1H","209.59","52.0","82.0",""
"Benoit Lepage","K1H","209.77","-","83.0",""
"Benjamin Thouvignon","K1H","209.88","105.0","83.0",""
"Melaine Pichard","K1H","210.04","143.0","84.0",""
"Pierre Marie Roussel","K1H","212.54","82.0","94.0",""
"Simon Despres","K1H","212.66","127.0","95.0",""
"Bertrand Gourrat","K1H","212.73","236.0","95.0",""
"Boris Sacre","K1H","213.57","137.0","99.0",""
"Florent Boulet","K1H","213.72","126.0","99.0",""
"Jonathan Delagnes","K1H","213.84","104.0","100.0",""
"Julien Coudert","K1H","214.79","107.0","104.0",""
"William Desnos","K1H","217.16","150.0","114.0",""
"Axel Mulle","K1H","217.47","108.0","116.0",""
"Thibaud Lacour","K1H","218.19","187.0","119.0",""
"Bastien Salame","K1H","218.31","99.0","120.0",""
"Thomas Dauvet","K1H","218.47","140.0","120.0",""
"Riwal Le Berre","K1H","218.74","143.0","121.0",""
"Bryan Seiler","K1H","221.01","158.0","131.0",""
"Jeremy Wagner","K1H","221.65","133.0","134.0",""
"Adrien Roussel","K1H","222.32","94.0","137.0",""
"Sullivan Porcher","K1H","223.48","208.0","142.0",""
"Louis-maxime Main","K1H","223.99","177.0","143.0",""
"Laurent Rigaud","K1H","224.38","105.0","145.0",""
"Julien Dosse","K1H","224.6","151.0","147.0",""
"Lionel Tinevez","K1H","225.32","152.0","149.0",""
"Nicolas Veillard","K1H","227.22","85.0","157.0",""
"Sylvain Colonnier","K1H","227.46","171.0","159.0",""
"Kendaor Le Huitou","K1H","227.95","113.0","160.0",""
"Stephane Labouille","K1H","228.22","116.0","162.0",""
"Yannick Besse","K1H","228.91","195.0","164.0",""
"Florian Ordonneau","K1H","229.72","113.0","168.0",""
"Romain Chabrol","K1H","230.56","140.0","172.0",""
"Pascal Poitiers","K1H","230.83","186.0","173.0",""
"Solen Le Bourles","K1H","230.93","167.0","173.0",""
"Gwenael Marquer","K1H","231.29","171.0","175.0",""
"Guillaume Bernis","K1H","231.48","224.0","176.0",""
"Marc Laborde","K1H","231.65","188.0","177.0",""
"Jeremy Moureaux","K1H","232.63","186.0","181.0",""
"Boris Pernelle","K1H","233.81","109.0","186.0",""
"Sylvain Mendez","K1H","234.14","155.0","187.0",""
"Clement Praille","K1H","234.2","211.0","187.0",""
"Romain Richard","K1H","234.64","160.0","189.0",""
"Jacques Precigout","K1H","234.75","144.0","190.0",""
"Franck Peyrical","K1H","235.3","163.0","192.0",""
"Bastien Dantin","K1H","236.99","215.0","199.0",""
"Thomas Rieu","K1H","241.05","196.0","217.0",""
"Julien Riffaud","K1H","241.7","129.0","219.0",""
"Remy Guerinet","K1H","242.66","-","223.0",""
"Simon Philibert","K1H","243.84","175.0","229.0",""
"Gregory Ponassie","K1H","244.39","239.0","230.0",""
"Marc Darribere","K1H","244.42","217.0","1000.0",""
"Manuel Coquelin","K1H","247.59","219.0","244.0",""
"Fabrice Poueyto","K1H","249.06","189.0","251.0",""
"Lucas Kelifaoui","K1H","253.8","85.0","271.0",""
"Damien Caillon","K1H","256.12","197.0","281.0",""
"Melen Pilorge","K1H","259.14","234.0","294.0",""
"Herve Launay","K1H","265.78","127.0","322.0",""
"Virgile Pigache-donnet","K1H","280.61","146.0","386.0",""
"Aymeric Maynadier","K1H","291.64","161.0","433.0",""
"Alexandre Di Nisi","K1H","293.55","176.0","441.0",""
"Alain Droniou","K1H","306.37","212.0","496.0",""
"Jeanluc Nitard","K1H","310.63","-","514.0",""
