"Sélectif régional de St-Pierre de Boeuf - St-Pierre De Boeuf - 2008-10-12","Course 1","2008-10-12","Régional","290"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Claire Landrin","C1D","268.87","318","272",""
"Nouria Newman","C1D","278.75","-","321",""
"Kilian Foulon","C1H","203.26","131","74",""
"Nicolas Peschier","C1H","209.57","27","109",""
"Yann Marquer","C1H","217.88","154","154",""
"Valentin Grollemund","C1H","218.58","185","158",""
"Eloi Seemann","C1H","221.92","156","176",""
"Pierrick Maujean","C1H","225.06","222","194",""
"Nils Mosch","C1H","225.38","202","196",""
"Raphael Reveche","C1H","226.56","151","202",""
"Victor Lamy","C1H","227.40","-","207",""
"Armand Rakowski","C1H","229.75","238","220",""
"Roman Duprey","C1H","230.24","269","223",""
"Olivier Barriere","C1H","231.56","234","229",""
"Nil Georgel","C1H","231.97","266","232",""
"Etienne Daille","C1H","234.43","151","245",""
"Antoine Runet","C1H","238.25","-","267",""
"Jerome Daille","C1H","240.59","257","280",""
"Guillaume Gonseth","C1H","249.91","322","330",""
"Jimy Bercon","C1H","256.00","639","365",""
"Alexandre Dimitriou","C1H","257.73","-","374",""
"Laurent Coudurier","C1H","264.70","446","412",""
"Anthony Colin","C1H","272.85","122","458",""
"Nadjib Mazar","C1H","274.38","237","466",""
"Hugo Breton","C1H","276.15","756","476",""
"Clement Rota","C1H","286.12","994","531",""
"Pierrick Albert","C1H","299.08","-","602",""
"Xavier Tachet","C1H","299.42","274","604",""
"Jonathan Durand","C1H","299.88","280","606",""
"Luc Doye","C1H","301.90","-","618",""
"Leo Claret","C1H","302.42","-","620",""
"Daif Gehrke","C1H","304.19","393","630",""
"Franck Lacroix","C1H","317.26","-","702",""
"Julien Cukierman","C1H","325.18","675","746",""
"Thomas Genet","C1H","325.39","-","747",""
"Henri Despont","C1H","331.33","515","780",""
"Sebastien Delgrange","C1H","332.38","-","786",""
"Sebastien De Kerleau","C1H","334.56","117","798",""
"Anthony Goulut","C1H","374.29","631","1016",""
"Anton Boric","C1H","395.26","-","1132",""
"Olivier Bret","C1H","399.67","724","1156",""
