"Sélectif régional - Veigné - 2008-11-16 Course 2","Veigné","Course 2","","2008-11-16","Régional","114"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Claire Landrin","C1D","276.49","291.0","339.0",""
"Caroline Bourry","C1D","282.29","-","368.0",""
"Kilian Foulon","C1H","206.27","108.0","117.0",""
"Christophe Augu","C1H","224.64","184.0","219.0",""
"Cyril Barbier","C1H","225.89","290.0","227.0",""
"Paul Brier","C1H","227.61","-","236.0",""
"Philippe Thevenin","C1H","238.28","279.0","296.0",""
"Didier Niel","C1H","239.07","285.0","300.0",""
"Paul Tallet Pinet","C1H","247.77","371.0","349.0",""
"Stephane Machet","C1H","258.18","357.0","407.0",""
"Henri Despont","C1H","263.85","493.0","439.0",""
"Henry Sirot","C1H","264.44","-","443.0",""
"Nicolas Abbal","C1H","278.31","717.0","520.0",""
"Pierre Beugnet","C1H","300.55","820.0","645.0",""
"Benjamin Thouvignon-Paul Brier","C2H","243.94","-","231.0",""
"Christophe Augu-Benjamin Buys","C2H","245.66","423.0","240.0",""
"Raphael Reveche-Christophe Marechal","C2H","247.16","-","247.0",""
"Henry Sirot-Cyril Barbier","C2H","252.16","-","274.0",""
"Remi Wolf-Eloi Seemann","C2H","253.37","328.0","280.0",""
"Boris Sacre-Pierre Bontoux","C2H","258.74","-","308.0",""
"Joffrey Lemeux-Aurelien Leroy","C2H","266.98","-","351.0",""
"Bertrand Avril-Nicolas Dupres","C2H","301.97","447.0","532.0",""
"Laurine Naveau-Henri Despont","C2M","348.18","-","742.0",""
"Josepha Longa","K1D","223.36","118.0","134.0",""
"Caroline Bourry","K1D","229.35","49.0","166.0",""
"Camille Gil","K1D","251.01","276.0","279.0",""
"Nathalie Gil","K1D","266.81","491.0","362.0",""
"Laurine Naveau","K1D","272.73","438.0","393.0",""
"Camille Grezard","K1D","274.31","256.0","402.0",""
"Angelina Brebion","K1D","280.31","375.0","433.0",""
"Adeline Gerardin","K1D","304.61","405.0","560.0",""
"Chloe Gatuingt","K1D","307.43","337.0","575.0",""
"Maeva Salvador","K1D","330.29","716.0","695.0",""
"Jeromine Hervo","K1D","417.52","-","1153.0",""
"Christophe Augu","K1H","189.27","48.0","74.0",""
"Benjamin Buys","K1H","189.71","14.0","77.0",""
"Aurelien Leroy","K1H","191.58","81.0","88.0",""
"Christophe Marechal","K1H","193.83","31.0","101.0",""
"Kevin Gouabault","K1H","194.95","134.0","108.0",""
"Fabien Tournadre","K1H","195.17","95.0","109.0",""
"Benjamin Thouvignon","K1H","198.49","89.0","128.0",""
"Boris Sacre","K1H","198.67","97.0","129.0",""
"Simon Philibert","K1H","199.55","168.0","135.0",""
"Joffrey Lemeux","K1H","200.43","126.0","140.0",""
"Nicolas Abbal","K1H","200.7","89.0","141.0",""
"Antoine Launay","K1H","201.52","123.0","147.0",""
"Didier Niel","K1H","205.89","189.0","172.0",""
"Sebastien Lepaulard","K1H","206.61","158.0","176.0",""
"Alexandre Thomasseau","K1H","207.04","172.0","179.0",""
"Pierre Bontoux","K1H","208.29","165.0","186.0",""
"Vincent Froger","K1H","211.29","184.0","203.0",""
"Antoine Godet","K1H","211.34","232.0","204.0",""
"Sylvain Dandel","K1H","213.12","209.0","215.0",""
"Guillaume Arnaud","K1H","216.52","232.0","234.0",""
"Simon Deboysson","K1H","217.64","236.0","241.0",""
"Nicolas Dupres","K1H","219.43","249.0","251.0",""
"Bertrand Avril","K1H","219.78","190.0","253.0",""
"Jacques Despierres","K1H","221.09","211.0","261.0",""
"Thomas Dandel","K1H","221.29","230.0","263.0",""
"Timothee Venot","K1H","221.37","290.0","263.0",""
"Emmanuel Moreau","K1H","224.1","209.0","279.0",""
"Baptiste Grosjean","K1H","224.82","490.0","283.0",""
"Roman Thoreau","K1H","227.27","274.0","297.0",""
"Simon Vaillant","K1H","230.3","259.0","315.0",""
"Alexandre Plumejeau","K1H","230.56","476.0","318.0",""
"Raphael Reveche","K1H","233.25","8.0","333.0",""
"Guillaume Tagand","K1H","235.53","402.0","346.0",""
"Yoann Turowsky","K1H","238.27","281.0","362.0",""
"Henry Sirot","K1H","239.02","-","367.0",""
"Jean-noel Avril","K1H","240.4","320.0","375.0",""
"Olivier Roussel","K1H","240.8","-","377.0",""
"Jerome Augustine","K1H","244.96","-","402.0",""
"Jerome Boudin","K1H","246.35","468.0","409.0",""
"Julien Vetele","K1H","247.28","-","416.0",""
"Damien Launay","K1H","247.32","-","416.0",""
"Christophe Gergaud","K1H","248.09","403.0","420.0",""
"Jan Baudet","K1H","248.25","351.0","421.0",""
"Stephane Machet","K1H","248.36","416.0","421.0",""
"Thibaut Mechling","K1H","248.7","505.0","423.0",""
"Valentin Blondel","K1H","249.4","422.0","428.0",""
"Augustin Sacaze","K1H","255.24","390.0","462.0",""
"Edouard Anne","K1H","255.85","-","466.0",""
"Anthime Larousse","K1H","259.64","541.0","489.0",""
"Nicolas Thomas","K1H","259.73","-","489.0",""
"Etienne Legeay","K1H","260.04","195.0","491.0",""
"Ludovic Couture","K1H","260.7","575.0","494.0",""
"Vincent Nicolosi","K1H","261.26","518.0","497.0",""
"Emmanuel Despont","K1H","262.53","572.0","505.0",""
"Gaetan Hamelin","K1H","266.48","568.0","528.0",""
"Nicolas Leconte","K1H","269.32","432.0","545.0",""
"Quentin Ferrand","K1H","271.7","504.0","559.0",""
"Christian Belouin","K1H","271.77","520.0","559.0",""
"Pierrick Tanguy","K1H","272.23","656.0","562.0",""
"David Couture","K1H","276.66","430.0","588.0",""
"Aurelien Cosson","K1H","279.51","711.0","605.0",""
"Alexandre Avril","K1H","280.28","572.0","609.0",""
"Sylvain Georges","K1H","280.48","531.0","610.0",""
"Nicolas Petipez","K1H","288.05","625.0","655.0",""
"Ghislain Guyon","K1H","288.14","-","655.0",""
"Paulin Cachanado","K1H","295.32","-","698.0",""
"Marc Ansel","K1H","299.17","1073.0","721.0",""
"Leo Xiberras","K1H","303.28","-","745.0",""
"Olivier Ranucci","K1H","307.21","680.0","768.0",""
"Quentin Nerborac","K1H","338.33","946.0","950.0",""
