"SLALOM REGIONAL DU CHAMBON - Chambon - 2008-11-23","Course 1","2008-11-23","Régional","160"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Emilie Chamouleau","C1D","260.06","292","301",""
"Marie Gaspard","C1D","287.38","-","460",""
"Sophie Ottavy","C1D","362.64","-","895",""
"Come Hebert","C1H","205.55","153","134",""
"Romain Caillon","C1H","208.05","156","150",""
"Frederic Boob","C1H","210.21","232","164",""
"Dimitri Marino","C1H","210.23","212","164",""
"Christophe Marechal","C1H","214.85","171","194",""
"Thomas Rolando","C1H","217.33","212","210",""
"Abdelkrim Ali Zazou","C1H","218.23","227","216",""
"Ronan Goualc'h","C1H","219.44","261","223",""
"Christian Boob","C1H","220.29","275","230",""
"Pierre Herault","C1H","221.53","-","237",""
"Lucas Kelifaoui","C1H","223.53","489","251",""
"Nicolas Labat","C1H","224.68","-","258",""
"Sylvain Brunet","C1H","226.84","287","272",""
"Antoine Giudicelli","C1H","231.33","418","301",""
"Sylvain Maurie","C1H","237.87","419","344",""
"Mathieu Villeger","C1H","238.78","285","349",""
"David Soulier","C1H","239.02","546","352",""
"Jean-philippe Rome","C1H","239.03","344","352",""
"Jason Brothier","C1H","239.16","-","352",""
"Batiste Dubois","C1H","239.17","-","352",""
"Philippe Metran","C1H","240.44","-","360",""
"Anthony Jarreton","C1H","240.55","388","361",""
"Jimmy Besson","C1H","241.46","361","366",""
"Clement Praille","C1H","245.03","389","390",""
"Remi Parayre","C1H","249.95","883","422",""
"Quentin Lyphout","C1H","257.91","-","474",""
"Nicolas Baudoin","C1H","266.33","736","529",""
"Francois Giudicelli","C1H","274.22","391","580",""
"Quentin Herault","C1H","275.76","557","589",""
"Valentin Marin","C1H","277.68","-","603",""
"Jean Francois Villeger","C1H","289.19","639","677",""
"Julien Neymond","C1H","309.23","-","808",""
"Arnaud Geraud","C1H","309.27","-","808",""
"Gerard Folle","C1H","309.97","671","813",""
"Jean Blaudy","C1H","325.22","808","911",""
"Guillaume Crochet","C1H","347.81","-","1058",""
"Christian Boob-Frederic Boob","C2H","218.79","162","119",""
"Clement Berger-Mathieu Villeger","C2H","225.99","201","162",""
"Pierre Herault-Abdelkrim Ali Zazou","C2H","227.05","114","169",""
"Come Hebert-David Soulier","C2H","227.72","234","173",""
"Romain Caillon-Christophe Marechal","C2H","231.42","-","195",""
"Antoine Giudicelli-Francois Giudicelli","C2H","233.39","246","207",""
"Julien Riffaud-David Riffaud","C2H","234.39","215","214",""
"Nicolas Labat-Philippe Niquet","C2H","238.45","-","238",""
"Dimitri Marino-Antoine Launay","C2H","241.63","-","257",""
"Felix Merzeau-Jimmy Besson","C2H","260.65","386","371",""
"Antoine Roux-Gurgen Brun","C2H","262.22","598","381",""
"James Duvernoy-Batiste Dubois","C2H","264.57","-","396",""
"Guillaume Chainier-Valentin Marin","C2H","268.37","604","418",""
"Maxime Bardieux-Ronan Goualc'h","C2H","279.64","485","486",""
"Pierre Chevalier-Luc Jauvin","C2H","301.23","1167","617",""
"Jean Messialle-Guillaume Crochet","C2H","309.17","-","665",""
"Boris Bouillaud-Thomas Chagnaud","C2H","315.78","491","705",""
"Nicolas Vaz Da Costa-Lionel De Miranda","C2H","333.52","-","811",""
"Emilie Chamouleau-Sylvain Brunet","C2M","258.08","350","329",""
"Guillaume Chasseriault-Angelique Chasseriault","C2M","275.11","777","431",""
"Clemence Debien-Baptiste Piveteau","C2M","314.01","-","661",""
"Philippe Niquet-Sophie Delage","C2M","314.28","-","662",""
"Marie Gaspard","K1D","214.44","64","104",""
"Emilie Chamouleau","K1D","220.78","154","143",""
"Sarah Lyphout","K1D","222.98","-","157",""
"Frederique Merle","K1D","225.05","235","169",""
"Sophie Calmettes","K1D","241.92","-","272",""
"Mathilde Pelletan","K1D","242.35","340","274",""
"Clemence Debien","K1D","249.18","338","316",""
"Sophie Ottavy","K1D","265.60","-","416",""
"Julie Blank","K1D","266.78","-","423",""
"Morgane Guider","K1D","269.64","-","440",""
"Angelique Chasseriault","K1D","275.31","588","475",""
"Manon Prioux","K1D","279.80","560","502",""
"Alison Drouet","K1D","303.77","647","649",""
"Amelie Perier","K1D","313.75","-","709",""
"Morgane Alain","K1D","316.68","-","727",""
"Margot Nicot","K1D","341.33","-","878",""
"Julien Billaut","K1H","183.24","19","48",""
"Lucas Kelifaoui","K1H","185.74","83","66",""
"Christophe Marechal","K1H","189.16","31","89",""
"Nicolas Labat","K1H","189.27","49","89",""
"Ludovic Di Nisi","K1H","189.48","45","90",""
"Alexandre Di Nisi","K1H","194.55","168","125",""
"Antoine Launay","K1H","199.92","113","162",""
"Jean Messialle","K1H","202.46","194","179",""
"Damien Caillon","K1H","202.54","222","180",""
"Thibaud Delaunay","K1H","202.57","185","180",""
"Quentin Lyphout","K1H","203.60","196","187",""
"Thibault Dufour","K1H","203.84","214","189",""
"David Riffaud","K1H","203.85","145","189",""
"Damien Gaillard","K1H","207.67","232","215",""
"Gurgen Brun","K1H","207.87","265","216",""
"Valentin Giret","K1H","209.90","251","230",""
"Paul Storez","K1H","210.16","232","232",""
"Philippe Niquet","K1H","210.30","206","233",""
"Paul Messialle","K1H","210.83","297","237",""
"Maxime Perrin","K1H","211.13","271","238",""
"Baptiste Piveteau","K1H","211.44","284","241",""
"Felix Merzeau","K1H","211.58","238","242",""
"Damien Mareau","K1H","212.08","260","244",""
"Nicolas Caussanel","K1H","212.09","267","244",""
"Clement Praille","K1H","213.34","207","253",""
"Antoine Roux","K1H","215.28","379","267",""
"Marc Robert","K1H","215.41","241","268",""
"Damien Launay","K1H","215.70","361","269",""
"Guillaume Chainier","K1H","216.20","321","273",""
"Valentin Lesseau","K1H","216.39","294","274",""
"Mathieu Laroze","K1H","218.34","368","288",""
"Valentin Marin","K1H","219.12","307","292",""
"Benjamin Sanella","K1H","220.54","323","302",""
"Ronan Goualc'h","K1H","222.36","-","315",""
"David Peigne","K1H","223.03","379","320",""
"Thomas Marino","K1H","225.96","-","339",""
"Benoit Graffeuil","K1H","226.62","-","344",""
"James Duvernoy","K1H","226.68","-","344",""
"Yohann Courouble","K1H","227.41","345","349",""
"Jean-philippe Brothier","K1H","227.63","351","352",""
"Etienne Chauvin","K1H","228.01","384","354",""
"Remi Parayre","K1H","228.12","398","354",""
"Luc Jauvin","K1H","228.45","518","357",""
"Guillaume Chasseriault","K1H","229.96","359","366",""
"Maxime Bardieux","K1H","232.60","285","385",""
"Benoit Sergent","K1H","232.73","463","386",""
"Nicolas Baudoin","K1H","232.78","371","386",""
"Kevin Sponem","K1H","234.71","550","400",""
"Benoit Couturier","K1H","236.58","-","412",""
"Louis Bouchiat","K1H","236.88","492","414",""
"Thomas Perrin","K1H","238.48","391","426",""
"Jean-noel Biteau","K1H","238.82","442","428",""
"Jean-philippe Rome","K1H","239.45","-","432",""
"Lionel De Miranda","K1H","239.95","-","435",""
"Jason Brothier","K1H","241.34","-","444",""
"Etienne Baudry","K1H","241.51","554","445",""
"Valentin Soullard","K1H","242.03","412","449",""
"Thibaud Soumagne","K1H","242.58","-","453",""
"Gaetan Minotte","K1H","243.41","-","459",""
"Charlie Baron","K1H","243.64","491","460",""
"Nicolas Vaz Da Costa","K1H","246.43","-","480",""
"Alexandre Bony","K1H","248.70","-","495",""
"Sylvain Couteau","K1H","252.38","-","520",""
"Jean Blaudy","K1H","259.90","-","571",""
"Hugo Le Goff","K1H","260.20","-","573",""
"Jeremy Simon","K1H","261.25","736","581",""
"Philippe Audouin-dubreuil","K1H","262.64","-","589",""
"Guillaume Pitre","K1H","263.09","953","593",""
"Hippolyte Granados","K1H","263.32","-","594",""
"Joseph Robert","K1H","265.24","-","608",""
"Keir Simpson","K1H","268.66","-","631",""
"Renaud Millieroux","K1H","276.16","-","682",""
"Roland Blaudy","K1H","278.84","713","700",""
"Arnaud Glenet","K1H","280.05","631","709",""
"Pierre Chevalier","K1H","280.97","1019","715",""
"Maurice Pubert","K1H","283.88","826","735",""
"Quentin Herault","K1H","286.24","-","751",""
"Pierre Bellion","K1H","288.30","1051","766",""
"Yves Nicot","K1H","290.01","-","777",""
"Aurelien Mikulec","K1H","301.28","-","853",""
"Jonathan Bourdier","K1H","307.95","888","899",""
"Daniel Bregazzi","K1H","340.72","1162","1123",""
"Jean Renou","K1H","365.84","-","1294",""
