"SELECTIF REGIONAL DE CIGNE - Cigne - 2008-12-07 Course 1","Cigne","Course 1","","2008-12-07","Régional","78"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Oriane Rebours","C1D","301.01","316.0","479.0",""
"Pauline Soenen","C1D","308.71","431.0","515.0",""
"Cecile Chiron","C1D","959.76","-","3560.0",""
"Cedric Forgit","C1H","205.25","-","150.0",""
"Guillaume Wattez","C1H","205.41","54.0","151.0",""
"Medhi Deguil","C1H","206.25","123.0","155.0",""
"Xavier Jourdain","C1H","226.88","214.0","264.0",""
"Teddy Poulard","C1H","229.36","257.0","276.0",""
"Nicolas Rebours","C1H","231.33","261.0","287.0",""
"Antoine Bizot","C1H","233.82","262.0","300.0",""
"Olivier Leboeuf","C1H","257.87","339.0","426.0",""
"Stephane Broute","C1H","261.78","302.0","447.0",""
"Simon Bercon","C1H","269.39","-","486.0",""
"Yoann Bizot","C1H","293.23","260.0","612.0",""
"Thomas Drouart","C1H","293.5","688.0","614.0",""
"Vincent Tafforeau","C1H","609.69","-","2276.0",""
"Olivier Cornu","C1H","643.17","541.0","2452.0",""
"Nicolas Rebours-Baptiste Granger","C2H","232.4","159.0","206.0",""
"Yoann Rebours-Goulwen Chapelier","C2H","303.51","-","554.0",""
"Stephane Broute-Xavier Jourdain","C2H","341.35","281.0","738.0",""
"Oriane Rebours","K1D","221.58","130.0","163.0",""
"Pauline Soenen","K1D","231.99","179.0","214.0",""
"Alize Bachelot","K1D","271.75","276.0","410.0",""
"Charlotte Hay","K1D","311.26","400.0","604.0",""
"Lise Vinet","K1D","338.61","-","740.0",""
"Andrea Menant","K1D","353.88","488.0","814.0",""
"Johane Guinberteau","K1D","355.53","604.0","823.0",""
"Alexandra Menant","K1D","362.75","480.0","859.0",""
"Cecile Chiron","K1D","366.14","-","875.0",""
"Clemence Drugeot","K1D","425.94","754.0","1170.0",""
"Jennifer Faure","K1D","453.8","-","1307.0",""
"Marie Candelier","K1D","494.14","474.0","1506.0",""
"Nicolas Rebours","K1H","187.57","91.0","106.0",""
"Benjamin Thiboust","K1H","193.53","139.0","139.0",""
"Herve Busson","K1H","194.64","95.0","145.0",""
"Goulwen Chapelier","K1H","195.53","71.0","150.0",""
"Simon Bercon","K1H","196.86","203.0","158.0",""
"Baptiste Granger","K1H","197.01","157.0","159.0",""
"Stephane Broute","K1H","204.73","194.0","201.0",""
"Xavier Jourdain","K1H","206.95","100.0","213.0",""
"Vincent Lemonnier","K1H","209.09","203.0","225.0",""
"Guillaume Wattez","K1H","215.99","235.0","263.0",""
"Medhi Deguil","K1H","216.06","-","263.0",""
"Mehdi Rouich","K1H","216.7","236.0","267.0",""
"Alexandre Plouzeau","K1H","219.93","273.0","285.0",""
"Ronan Marie","K1H","220.17","-","286.0",""
"Manuel Moquet","K1H","224.53","295.0","310.0",""
"Jeansebastien Simonklein","K1H","225.72","228.0","317.0",""
"Thomas Drouart","K1H","226.67","337.0","322.0",""
"Yoann Deschemaeker","K1H","229.37","422.0","337.0",""
"Jean-luc Mottais","K1H","232.23","-","352.0",""
"Clement Robet","K1H","234.62","487.0","366.0",""
"Sebastien Delaunay","K1H","239.47","425.0","393.0",""
"Florian Vandenhende","K1H","241.48","489.0","404.0",""
"Yoann Rebours","K1H","247.61","132.0","438.0",""
"Simon Drouart","K1H","249.74","508.0","449.0",""
"Antoine Godet","K1H","252.62","216.0","465.0",""
"Olivier Renier","K1H","256.26","-","486.0",""
"Anthony Thuillier","K1H","257.92","156.0","494.0",""
"Martin Mottais","K1H","271.83","497.0","571.0",""
"Lancelot Meillier","K1H","273.33","441.0","580.0",""
"Patrick Pierrot","K1H","273.41","-","580.0",""
"Jean Francois Clement","K1H","277.74","532.0","604.0",""
"Loic Froissard","K1H","278.75","328.0","609.0",""
"Adrien Corvasier","K1H","278.96","-","610.0",""
"Jeremy Harel","K1H","290.97","327.0","677.0",""
"Jonathan Jouet","K1H","296.55","-","708.0",""
"Simon Dureau","K1H","310.63","1153.0","786.0",""
"Ludovic Garnier","K1H","344.2","371.0","971.0",""
"Paul Trecul","K1H","366.25","679.0","1093.0",""
"Christian Belouin","K1H","372.82","524.0","1129.0",""
"Olivier Cornu","K1H","372.84","447.0","1129.0",""
"Valentin Bourgault","K1H","389.78","-","1222.0",""
"Flavien Portier","K1H","392.0","619.0","1235.0",""
"Simon Gaillardon","K1H","441.86","690.0","1510.0",""
"Maxime Tridon","K1H","526.3","-","1976.0",""
"Martin Belliot","K1H","550.16","1796.0","2107.0",""
"Kevin Rethore","K1H","649.7","-","2657.0",""
