"Sélectif National 3 - Saint Benoit - 2009-03-08","Course 1","2009-03-08","Nationale 3","155"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Laetitia Odermatt","C1D","236.75","312","383",""
"Betty Merand","C1D","Des","-","-",""
"Cyril Duquet","C1H","183.51","196","213",""
"Regis Cabel","C1H","190.42","303","256",""
"Pierre Herault","C1H","199.41","323","313",""
"Pierre Mikolajczak","C1H","203.65","330","338",""
"Jason Brothier","C1H","204.83","406","347",""
"Jimmy Besson","C1H","205.87","344","353",""
"Christian Boob","C1H","207.40","245","362",""
"Lucas Hives - Sorin","C1H","209.51","397","375",""
"Sylvain Brunet","C1H","210.90","276","384",""
"Olivier Leboeuf","C1H","213.10","342","398",""
"Philippe Niquet","C1H","220.73","350","446",""
"Quentin Herault","C1H","221.72","511","452",""
"Franck Delachair","C1H","225.24","399","475",""
"Manuel Besnard","C1H","227.15","505","486",""
"Quentin Moret De Rocheprise","C1H","235.82","443","541",""
"Batiste Dubois","C1H","240.19","378","568",""
"Henri Despont","C1H","262.90","414","711",""
"Philippe Metran","C1H","297.66","378","929",""
"Stephane Machet","C1H","320.24","359","1071",""
"Sylvain Le Roux","C1H","459.15","456","1942",""
"Yves Prigent","C1H","Abs","-","-",""
"Jeanfrancis Battesti","C1H","Abs","-","-",""
"Julien Brouzes","C1H","Abs","-","-",""
"Julien Neymond","C1H","Abs","-","-",""
"Serge Betton","C1H","Abs","-","-",""
"Nicolas Labat-Philippe Niquet","C2H","230.38","254","441",""
"Felix Merzeau-Jimmy Besson","C2H","235.46","380","472",""
"Boris Bouillaud-Thomas Chagnaud","C2H","300.51","490","861",""
"Nicolas Marcus-Sylvain Le Roux","C2H","Des","-","-",""
"Guillaume Chasseriault-Angelique Chasseriault","C2M","320.15","651","849",""
"Mathilde Pelletan","K1D","222.08","310","356",""
"Camille Grezard","K1D","223.08","255","361",""
"Laurine Naveau","K1D","226.55","414","382",""
"Sandrine Kerneis","K1D","230.72","358","407",""
"Marie Landais","K1D","242.87","397","477",""
"Andrea Menant","K1D","250.93","488","524",""
"Emma Jacob","K1D","251.61","477","528",""
"Sophie Ottavy","K1D","254.98","420","548",""
"Lise Vinet","K1D","255.47","569","551",""
"Camille Le Coq","K1D","263.19","382","596",""
"Alexandra Menant","K1D","267.78","493","623",""
"Solene Graille","K1D","274.74","371","663",""
"Angelique Chasseriault","K1D","283.32","544","713",""
"Clemence Drugeot","K1D","321.82","754","938",""
"Aurelie Le Fee","K1D","343.32","342","1063",""
"Johane Guinberteau","K1D","443.94","604","1649",""
"Amelie Perier","K1D","471.04","727","1807",""
"Alison Drouet","K1D","551.89","647","2279",""
"Betty Merand","K1D","Des","-","-",""
"Suzy Merand","K1D","Des","-","-",""
"Vit Masare","K1H","165.02","223","148",""
"Medhi Deguil","K1H","166.60","191","158",""
"Damien Gaillard","K1H","167.29","213","163",""
"Simon Deboysson","K1H","168.88","205","174",""
"Tanguy Le Marec","K1H","170.20","252","182",""
"Loic Kervella","K1H","172.05","280","194",""
"Yves Prigent","K1H","173.51","228","204",""
"Antoine Godet","K1H","174.44","215","211",""
"Benoit Ricard","K1H","176.49","241","224",""
"Maxime Beaulieu","K1H","176.56","279","225",""
"Felix Merzeau","K1H","178.12","236","235",""
"Alexandre Plouzeau","K1H","179.67","286","245",""
