"Sélectif National 2 - Corbeil-Essonnes Course 1","Corbeil-Essonnes","Course 1","","2009-03-08","Nationale 2","238"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Anne Boixel","C1D","258.95","205.0","142.0",""
"Caroline Loir","C1D","263.33","155.0","159.0",""
"Claire Landrin","C1D","270.77","235.0","187.0",""
"Claire Jacquet","C1D","281.76","246.0","230.0",""
"Come Hebert","C1H","223.23","142.0","111.0",""
"Evence Granger","C1H","224.29","128.0","116.0",""
"Quentin Bove","C1H","227.58","159.0","129.0",""
"Thomas Koechlin","C1H","228.14","168.0","132.0",""
"Renaud Doby","C1H","229.97","141.0","140.0",""
"Leo Thomas","C1H","231.51","135.0","146.0",""
"Kilian Foulon","C1H","233.17","98.0","154.0",""
"Abdelkrim Ali Zazou","C1H","233.85","203.0","157.0",""
"Solen Le Bourles","C1H","234.12","202.0","158.0",""
"Christophe Augu","C1H","237.75","190.0","174.0",""
"Stephane Abadie","C1H","237.76","121.0","174.0",""
"Lorrie Delattre","C1H","237.99","172.0","175.0",""
"Simon Le Friec","C1H","238.76","206.0","178.0",""
"Jonathan Matern","C1H","241.28","197.0","189.0",""
"Thibault Blaise","C1H","241.97","211.0","192.0",""
"Martin Darees","C1H","242.58","171.0","194.0",""
"Hugo Chauvary","C1H","242.59","182.0","194.0",""
"Xavier Jourdain","C1H","242.88","213.0","196.0",""
"Thomas Rolando","C1H","243.46","191.0","198.0",""
"Mathieu Dutendas","C1H","243.56","205.0","198.0",""
"Yoan Del Rey","C1H","245.49","-","207.0",""
"Philippe Quemerais","C1H","247.21","217.0","215.0",""
"Thibault Bigeon","C1H","248.2","208.0","219.0",""
"Guillaume Doutreix","C1H","249.05","243.0","222.0",""
"Dimitri Marino","C1H","249.65","187.0","225.0",""
"Romain Caillon","C1H","249.74","144.0","226.0",""
"Frederic Momot","C1H","251.63","169.0","233.0",""
"Teddy Poulard","C1H","253.42","256.0","241.0",""
"Paskal Cloarec","C1H","255.78","228.0","251.0",""
"Emmanuel Walczak","C1H","259.88","251.0","269.0",""
"Quentin Mannier","C1H","260.59","277.0","272.0",""
"Boris Nedelec","C1H","261.9","243.0","278.0",""
"Ronan Goualc'h","C1H","264.01","248.0","287.0",""
"Geoffroy Schwentzel","C1H","264.22","136.0","288.0",""
"Marc Anthoine Marchand","C1H","267.63","270.0","302.0",""
"Quentin Moreaux","C1H","268.46","257.0","306.0",""
"Olivier Gesbert","C1H","269.43","235.0","310.0",""
"Ludovic Roye","C1H","272.23","276.0","323.0",""
"Mathieu Eyrolle","C1H","298.16","253.0","434.0",""
"Armand Rakowski","C1H","301.28","219.0","448.0",""
"Maxime Cousin","C1H","301.42","247.0","448.0",""
"Antoine Giudicelli-Francois Giudicelli","C2H","270.76","215.0","263.0",""
"Boris Nedelec-Thibaud Couetil","C2H","275.37","262.0","282.0",""
"Stephane Broute-Xavier Jourdain","C2H","277.49","298.0","290.0",""
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","279.34","219.0","298.0",""
"Come Hebert-David Soulier","C2H","280.72","204.0","304.0",""
"Geoffroy Schwentzel-Louison Tanet","C2H","281.55","250.0","307.0",""
"Clement Berger-Mathieu Villeger","C2H","283.63","193.0","316.0",""
"Alexandre Mathis-Pierre Melin","C2H","287.7","268.0","333.0",""
"Jerome Olhagaray-Jonathan Matern","C2H","311.35","302.0","430.0",""
"Oriane Rebours-Yoann Rebours","C2M","291.42","354.0","266.0",""
"Christine Poix-Emmanuel Del Rey","C2M","309.4","373.0","335.0",""
"Teddy Poulard-Alize Bachelot","C2M","336.11","488.0","438.0",""
"Elodie Le Nechet","K1D","231.19","94.0","75.0",""
"Anne Traband","K1D","236.92","163.0","98.0",""
"Flora Bove","K1D","245.11","141.0","130.0",""
"Gaelle Tosser-roussey","K1D","245.9","158.0","134.0",""
"Florianne Gautier","K1D","251.77","204.0","157.0",""
"Pauline Soenen","K1D","252.43","179.0","160.0",""
"Estelle Hellard","K1D","253.01","182.0","162.0",""
"Elise Pierron","K1D","253.02","172.0","163.0",""
"Lucie Baudu","K1D","253.12","236.0","163.0",""
"Anne Fischer","K1D","255.61","203.0","173.0",""
"Valerie Sibioude","K1D","259.93","180.0","190.0",""
"Andrea Gratwohl","K1D","261.72","246.0","197.0",""
"Priscille Duruz","K1D","263.2","194.0","203.0",""
"Anais Coudrin","K1D","263.67","268.0","205.0",""
"Helene Thuret","K1D","266.06","299.0","215.0",""
"Fiora Bourges","K1D","267.15","197.0","219.0",""
"Julie Quesne","K1D","267.6","234.0","220.0",""
"Clara Dos Santos","K1D","268.28","239.0","223.0",""
"Laura Fauste","K1D","273.5","233.0","244.0",""
"Lisa Tanet","K1D","275.03","209.0","250.0",""
"Marie-francoise Prigent","K1D","275.3","240.0","251.0",""
"Lorraine Mathis","K1D","276.85","286.0","258.0",""
"Raphaelle Hovine","K1D","277.13","206.0","259.0",""
"Calypso Freichel","K1D","277.58","259.0","260.0",""
"Sylviane Quemerais","K1D","280.22","286.0","272.0",""
"Christelle Gilg","K1D","285.11","250.0","291.0",""
"Andrea De Azevedo","K1D","285.8","87.0","294.0",""
"Blanche Legin","K1D","286.7","285.0","297.0",""
"Anais Couturier","K1D","287.0","282.0","298.0",""
"Stephanie Ansot","K1D","287.87","246.0","302.0",""
"Annabelle Garnier","K1D","290.48","236.0","312.0",""
"Lea Feuillard","K1D","291.25","282.0","315.0",""
"Lisa Elasri","K1D","293.57","319.0","324.0",""
"Cecile Meichel","K1D","294.36","271.0","328.0",""
"Camille Gil","K1D","294.51","269.0","329.0",""
"Claire Pichon","K1D","294.8","304.0","329.0",""
"Claire Moal","K1D","296.34","221.0","335.0",""
"Erell Chardon Vivier","K1D","297.64","374.0","340.0",""
"Tiphanie Le Gall","K1D","300.57","251.0","352.0",""
"Clemence Debien","K1D","314.84","330.0","409.0",""
"Rosalie Kempf","K1D","315.4","351.0","412.0",""
"Sophie Balmossiere","K1D","316.73","326.0","417.0",""
"Sarah Lyphout","K1D","317.82","186.0","421.0",""
"Alize Bachelot","K1D","320.08","276.0","431.0",""
"Emilie Hernandez-brossard","K1D","320.55","216.0","432.0",""
"Stephanie Le Mercier","K1D","322.45","208.0","440.0",""
"Maud Caspar","K1D","322.47","230.0","440.0",""
"Tifenn Van Delft","K1D","323.39","-","444.0",""
"Constance Martin","K1D","323.65","354.0","445.0",""
"Cyrielle Pichard","K1D","351.19","308.0","555.0",""
"Marion Gallois","K1D","366.13","247.0","615.0",""
"Marine Joslin","K1D","369.0","361.0","627.0",""
"Vincent Reiter","K1H","199.0","98.0","49.0",""
"Quentin Burgi","K1H","203.58","88.0","70.0",""
"Boris Sacre","K1H","205.55","96.0","79.0",""
"Laurent Rigaud","K1H","206.51","102.0","83.0",""
"Julien Haberland","K1H","206.73","91.0","84.0",""
"Nicolas Rebours","K1H","206.9","91.0","85.0",""
"Jean Christophe Boivin","K1H","206.95","134.0","85.0",""
"Yann Le Govic","K1H","207.67","114.0","89.0",""
"Nicolas Coudert","K1H","207.68","93.0","89.0",""
"Samuel Lhegu","K1H","208.99","121.0","94.0",""
"Mathieu Haberland","K1H","211.47","101.0","106.0",""
"Enrick Cunsolo","K1H","211.62","100.0","106.0",""
"Herve Busson","K1H","211.63","96.0","106.0",""
"Bertrand Gutierrez","K1H","211.84","157.0","107.0",""
"Anthony Mottais","K1H","212.17","113.0","109.0",""
"Benoit Jouan","K1H","213.21","164.0","114.0",""
"Riwal Le Berre","K1H","213.27","128.0","114.0",""
"Kendaor Le Huitou","K1H","213.66","99.0","116.0",""
"Erwan Cadio","K1H","213.78","92.0","117.0",""
"Mathieu Biazizzo","K1H","213.97","77.0","117.0",""
"Jerome Olhagaray","K1H","214.5","107.0","119.0",""
"Alexandre Di Nisi","K1H","214.91","146.0","122.0",""
"Julien Dosse","K1H","215.1","139.0","123.0",""
"Kevin Gouabault","K1H","215.27","113.0","123.0",""
"Louison Tanet","K1H","215.91","-","126.0",""
"Quentin De Fierville","K1H","216.04","115.0","127.0",""
"Mael Othenin Girard","K1H","216.13","173.0","127.0",""
"Benjamin Thiboust","K1H","216.21","137.0","128.0",""
"Pierre Pans","K1H","216.67","140.0","129.0",""
"Anthony Thuillier","K1H","217.29","158.0","132.0",""
"Xavier Jourdain","K1H","217.56","93.0","134.0",""
"Melaine Pichard","K1H","217.77","116.0","134.0",""
"William Desnos","K1H","218.07","114.0","135.0",""
"Benjamin Thouvignon","K1H","218.23","89.0","136.0",""
"Vincent Lemonnier","K1H","218.56","204.0","138.0",""
"Florient Tagnon","K1H","219.39","170.0","141.0",""
"Antoine Launay","K1H","219.53","104.0","142.0",""
"Yoann Rebours","K1H","219.66","139.0","143.0",""
"Paul Aubert","K1H","219.78","148.0","144.0",""
"Louis-maxime Main","K1H","220.89","148.0","148.0",""
"Nicolas Feuillard","K1H","221.85","150.0","153.0",""
"Bastien Belembert","K1H","222.15","191.0","154.0",""
"Olivier Machiels","K1H","222.42","157.0","156.0",""
"Guillaume Huppert","K1H","222.76","208.0","157.0",""
"Jeremy Vibert","K1H","223.28","115.0","159.0",""
"Romain Bove","K1H","223.57","143.0","161.0",""
"Thibaud Delaunay","K1H","223.77","187.0","162.0",""
"Quentin Lyphout","K1H","223.78","185.0","162.0",""
"Remi Thomas","K1H","224.12","150.0","163.0",""
"Romain Lecrenais-perrel","K1H","224.41","203.0","164.0",""
"Fabien Tournadre","K1H","224.59","88.0","165.0",""
"Mathieu Godin","K1H","225.11","188.0","168.0",""
"Lionel Tinevez","K1H","225.31","159.0","169.0",""
"Jonathan Chapatte","K1H","225.35","118.0","169.0",""
"Julien Daumont","K1H","225.47","124.0","169.0",""
"Romain Guyomard","K1H","225.68","153.0","170.0",""
"Arthur Georges","K1H","225.82","118.0","171.0",""
"Axel Marais","K1H","225.84","167.0","171.0",""
"Herve Launay","K1H","225.87","121.0","171.0",""
"Quentin Moreaux","K1H","226.22","174.0","173.0",""
"Christophe Siffert","K1H","226.51","175.0","174.0",""
"Romain Viry","K1H","226.63","159.0","175.0",""
"Didier Niel","K1H","226.66","167.0","175.0",""
"Nicolas Carduner","K1H","226.68","209.0","175.0",""
"Frederic Tinchant","K1H","226.75","178.0","175.0",""
"Clement Burel","K1H","226.78","232.0","175.0",""
"Joffrey Lemeux","K1H","227.39","125.0","178.0",""
"Jeremy Lehning","K1H","227.73","134.0","180.0",""
"Joris Rocher","K1H","228.05","174.0","181.0",""
"Valentin Casse","K1H","228.08","208.0","181.0",""
"Baptiste Granger","K1H","228.35","162.0","182.0",""
"Alexandre Thomasseau","K1H","228.37","171.0","182.0",""
"Stephane Odot","K1H","228.4","218.0","182.0",""
"Michel Gombert","K1H","228.56","161.0","183.0",""
"Tristan Bronsard","K1H","228.75","199.0","184.0",""
"Bertrand Avril","K1H","228.86","190.0","185.0",""
"Loic Gobert","K1H","228.88","157.0","185.0",""
"Philippe Daumont","K1H","229.01","172.0","186.0",""
"Manuel Coquelin","K1H","229.58","209.0","188.0",""
"Nathan Barbier","K1H","229.88","152.0","189.0",""
"Jerome Trousson","K1H","230.05","167.0","190.0",""
"Jean Messialle","K1H","230.39","186.0","192.0",""
"Mickael Louchard","K1H","230.42","184.0","192.0",""
"Gregory Booth","K1H","231.03","217.0","194.0",""
"Jean Charles Creusot Walter","K1H","231.82","157.0","198.0",""
"Thibaut Chariot","K1H","232.45","186.0","201.0",""
"Richard Davy","K1H","232.46","195.0","201.0",""
"Riwal Chardon","K1H","232.65","233.0","202.0",""
"Vincent Froger","K1H","233.31","175.0","204.0",""
"Julien Bley","K1H","234.02","197.0","208.0",""
"Paul Poulet","K1H","235.25","212.0","214.0",""
"Thomas Monvoisin","K1H","235.28","187.0","214.0",""
"Nicolas Mangeolle","K1H","235.4","258.0","215.0",""
"Simon Boulan","K1H","236.12","192.0","217.0",""
"Eric Lamour","K1H","236.97","213.0","221.0",""
"Florent Tamburini","K1H","238.51","204.0","228.0",""
"Sylvain Herrbach","K1H","239.15","196.0","232.0",""
"Pierre Yves Tanguy","K1H","239.29","198.0","232.0",""
"Julien Fougeron","K1H","239.59","214.0","233.0",""
"Alain Droniou","K1H","239.92","209.0","235.0",""
"Guillaume Arnaud","K1H","240.56","220.0","237.0",""
"Ludovic Lino","K1H","240.8","186.0","238.0",""
"Etienne Legeay","K1H","241.56","194.0","242.0",""
"Stefan Stanik","K1H","241.68","188.0","243.0",""
"Silvere Desongins","K1H","242.42","196.0","246.0",""
"Anthony Deschamps","K1H","242.72","211.0","248.0",""
"Nikolas Stanik","K1H","243.03","192.0","249.0",""
