"Sélectif National 3 - Huningue Course 1","Huningue","Course 1","","2009-03-08","Nationale 3","128"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lionel Schweitzer","C1H","250.76","219.0","174.0",""
"Xavier Sucker","C1H","259.35","314.0","212.0",""
"Roman Duprey","C1H","265.7","248.0","240.0",""
"Philippe Thevenin","C1H","273.89","279.0","278.0",""
"Alexis Collin","C1H","282.24","298.0","315.0",""
"Emilien Kempf","C1H","293.52","283.0","366.0",""
"Thibault Francois","C1H","305.78","437.0","421.0",""
"Matthieu Basset","C1H","307.17","698.0","428.0",""
"Anthony Goulut","C1H","314.4","592.0","461.0",""
"Thomas Genet","C1H","327.98","740.0","522.0",""
"Frederic Blanrue","C1H","334.2","700.0","550.0",""
"Therence Bernard","C1H","336.82","601.0","562.0",""
"Simon Clerc","C1H","340.24","528.0","577.0",""
"Erwinn Bremond","C1H","346.19","563.0","604.0",""
"Gilles Schweitzer-Lionel Schweitzer","C2H","285.54","372.0","272.0",""
"Remi Wolf-Eloi Seemann","C2H","294.12","304.0","309.0",""
"Vincent Bouchard-Sebastien Chapuis","C2H","304.47","449.0","353.0",""
"Olivia Byrne-sutton","K1D","243.56","216.0","63.0",""
"Lisa Ducros","K1D","313.4","486.0","356.0",""
"Emmanuelle Gigandet","K1D","314.98","304.0","362.0",""
"Lucie Bichet","K1D","316.35","390.0","368.0",""
"Charlotte Lubineau","K1D","327.56","362.0","416.0",""
"Julie Wassmer","K1D","328.89","369.0","421.0",""
"Anais Bokan","K1D","339.04","439.0","463.0",""
"Clementine Ageron","K1D","345.22","433.0","490.0",""
"Emma Maujean","K1D","347.39","450.0","498.0",""
"Clementine Geoffray","K1D","348.5","434.0","503.0",""
"Lea Wetzel","K1D","349.84","642.0","508.0",""
"Victorine Gerard","K1D","353.75","468.0","525.0",""
"Orlane Dupras","K1D","365.11","489.0","572.0",""
"Fanny Faivre-pierret","K1D","383.26","456.0","649.0",""
"Maud Thisse","K1D","389.87","370.0","676.0",""
"Melanie Ragaru","K1D","400.65","406.0","721.0",""
"Marlene Dumoulin","K1D","419.6","466.0","801.0",""
"Sarah Rothenbuhler","K1D","423.45","432.0","817.0",""
"Sandra Carisey","K1D","455.55","636.0","952.0",""
"Maeva Salvador","K1D","467.61","618.0","1002.0",""
"Moritz Luscher","K1H","219.4","96.0","81.0",""
"Yann Neime","K1H","233.46","166.0","149.0",""
"Nicolas Ciemniewski","K1H","238.02","208.0","170.0",""
"Jeremias Schlaefli","K1H","238.05","180.0","170.0",""
"Gael Wassmer","K1H","239.82","240.0","179.0",""
"George Meysner","K1H","240.49","213.0","181.0",""
"Geoffrey Walczak","K1H","246.41","253.0","210.0",""
"Loic Sieber","K1H","247.24","311.0","213.0",""
"Tobias Olla","K1H","250.19","296.0","227.0",""
"Thomas Michel","K1H","251.24","230.0","232.0",""
"Lucas Ferraina","K1H","251.46","233.0","233.0",""
"Remi Wolf","K1H","253.56","249.0","243.0",""
"Antoine Colas","K1H","253.92","243.0","245.0",""
"Romain Faurie","K1H","254.44","216.0","248.0",""
"Theo Moquet","K1H","257.93","283.0","264.0",""
"Florian Balhuizen","K1H","258.18","245.0","265.0",""
"Emmanuel Triomphe","K1H","260.11","292.0","274.0",""
"Arnaud Jamet","K1H","260.29","281.0","275.0",""
"Alexandre Bordas","K1H","260.56","297.0","276.0",""
"Yanis Burdet","K1H","260.95","338.0","278.0",""
"Michel Ragot","K1H","261.56","269.0","281.0",""
"Alain Ferry","K1H","261.62","281.0","282.0",""
"Vincent Bajolot","K1H","261.94","276.0","283.0",""
"Jonas Le Morvan","K1H","262.5","249.0","285.0",""
"Olivier Urbain","K1H","264.46","230.0","295.0",""
"Sylvain Ferry","K1H","267.24","272.0","308.0",""
"Olivier Mittler","K1H","267.55","610.0","310.0",""
"Matthieu Basset","K1H","267.73","211.0","311.0",""
"Jean Baptiste Thiel","K1H","268.27","316.0","313.0",""
"Romaric Baron","K1H","268.56","323.0","315.0",""
"Thomas Stutzmann","K1H","268.64","263.0","315.0",""
"Lois Guillermond","K1H","270.35","278.0","323.0",""
"Nicolas Fritsch","K1H","270.44","271.0","323.0",""
"Martin Daviet","K1H","270.52","338.0","324.0",""
"Youcef Bahlat","K1H","271.45","259.0","328.0",""
"Kevin Deschamps","K1H","273.64","330.0","339.0",""
"Patrick Gass","K1H","274.85","295.0","344.0",""
"Tom Jackson","K1H","275.11","362.0","345.0",""
"Fabien Fritsch","K1H","275.69","297.0","348.0",""
"Gabriel Schnetz","K1H","278.26","446.0","360.0",""
"Xavier Sucker","K1H","279.8","453.0","368.0",""
"Stephane Ferrignio","K1H","280.52","315.0","371.0",""
"Elie Pauget","K1H","280.53","459.0","371.0",""
"Paul Morland","K1H","281.04","456.0","374.0",""
"Clement Rota","K1H","282.79","332.0","382.0",""
"Yann Maignant","K1H","284.93","373.0","392.0",""
"Robin Dupras","K1H","285.53","392.0","395.0",""
"Philippe Devillers","K1H","287.41","260.0","404.0",""
"Mathieu Douillet","K1H","287.45","337.0","404.0",""
"Frederic Caillet","K1H","292.58","388.0","428.0",""
"Colas Geier","K1H","293.86","389.0","434.0",""
"Jean Guyot","K1H","294.5","393.0","437.0",""
"Robin Guebey","K1H","294.81","528.0","438.0",""
"Sebastien Thevenin","K1H","295.69","456.0","443.0",""
"Maxence Grandadam","K1H","296.63","624.0","448.0",""
"Vivien Tirole","K1H","299.69","415.0","462.0",""
"Morgan Merel","K1H","300.84","506.0","467.0",""
"Thomas Bouquet","K1H","301.58","377.0","471.0",""
"Simon Barthelemy","K1H","302.21","482.0","474.0",""
"Thomas Garnier","K1H","302.92","526.0","477.0",""
"Jules Marragou","K1H","305.05","455.0","487.0",""
"Franck Hiffler","K1H","309.33","538.0","508.0",""
"Corentin Metral","K1H","309.41","324.0","508.0",""
"Pierre Rat","K1H","314.18","244.0","530.0",""
"Paul Bornier","K1H","316.02","390.0","539.0",""
"Clement Gourmelon","K1H","317.29","531.0","545.0",""
"Luka Neel","K1H","321.53","602.0","565.0",""
"Pierre Cassin","K1H","323.68","310.0","575.0",""
"Frederic Blanrue","K1H","325.39","307.0","583.0",""
"Laurent Starck","K1H","328.49","402.0","598.0",""
"Xavier Rat","K1H","329.99","343.0","605.0",""
"Paolo Willmann Rosso","K1H","330.22","383.0","606.0",""
"Eric Louis","K1H","331.53","636.0","612.0",""
"Thomas Barraco","K1H","332.88","528.0","619.0",""
"Florent Bronchain","K1H","341.26","464.0","658.0",""
"Gauthier Ruspini","K1H","344.13","551.0","672.0",""
"Clement Martin","K1H","345.65","407.0","679.0",""
"Romain Buchot","K1H","354.74","769.0","722.0",""
"Romain Delachenal","K1H","356.32","489.0","730.0",""
"Nolan Miton","K1H","363.0","681.0","761.0",""
"Sebastien Ott","K1H","366.73","543.0","779.0",""
"Pierre Aubry","K1H","378.76","773.0","836.0",""
"Pierrick Bonnefoy","K1H","380.41","502.0","844.0",""
"Pedro Farias Barbas","K1H","395.38","533.0","915.0",""
"Thomas Bourdois-risse","K1H","396.99","791.0","923.0",""
"Coddy Beuve","K1H","401.66","596.0","944.0",""
"Lucas Saudon","K1H","403.72","699.0","954.0",""
"Kevin Giannini","K1H","405.44","725.0","962.0",""
"Andre Kempf","K1H","417.17","434.0","1018.0",""
"Alexandre Lambert","K1H","432.13","765.0","1088.0",""
"Marc Le Morvan","K1H","530.04","796.0","1552.0",""
