"N3 Slalom Normandie - Beaumontel - 2009-03-22","Course 1","2009-03-22","Nationale 3","120"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Flora Bove","C1D","313.91","409","413",""
"Camille Andrieux","C1D","392.77","683","768",""
"Xavier Tachet","C1H","242.47","272","227",""
"Thomas Argenson","C1H","245.68","307","243",""
"Didier Niel","C1H","247.13","266","251",""
"Jerome Lacire","C1H","251.22","268","271",""
"Julien Daumont","C1H","258.68","293","309",""
"Jeremy Bretteville","C1H","262.31","470","327",""
"David Gaillard","C1H","264.87","422","341",""
"Eric Beaumont","C1H","265.18","382","342",""
"Adam Madad","C1H","274.18","412","388",""
"Pierre Maillard","C1H","275.78","305","395",""
"Louis Blasselle","C1H","289.00","403","462",""
"Jacques Nardeau","C1H","294.41","384","489",""
"Etienne Nardeau","C1H","307.51","434","556",""
"Gaspard Vivien","C1H","308.16","454","559",""
"Geoffroy Lauth","C1H","311.72","498","577",""
"Donatien Lamoureux","C1H","312.37","581","580",""
"Germain Carre","C1H","316.41","620","601",""
"Jeansebastien Simonklein","C1H","317.25","565","604",""
"Romain Bertrand","C1H","319.76","520","617",""
"Mickael Louchard","C1H","355.77","458","799",""
"Thibault Dhennin","C1H","363.98","538","841",""
"Matthieu Rousseau","C1H","397.04","797","1008",""
"Corentin Robin","C1H","725.00","378","2664",""
"Sylvain Barrois","C1H","Des","-","-",""
"Vincent Richard-Xavier Jourdain","C2H","269.89","309","303",""
"Guillaume Doutreix-Guillaume Sellier","C2H","274.02","314","324",""
"Teddy Poulard-Jeremy Bretteville","C2H","286.28","328","383",""
"Clement Beauge-Dylan Lacaussade","C2H","295.06","380","425",""
"David Gaillard-Eric Beaumont","C2H","295.51","382","427",""
"Mickael Louchard-Jeansebastien Simonklein","C2H","305.27","411","475",""
"Catherine Boulan-Xavier Jourdain","C2M","325.97","443","468",""
"Evelyne Lambert-Yves Dulouard","C2M","Abs","-","-",""
"Sophie Busson","K1D","277.46","336","304",""
