"N3 Slalom Normandie - Beaumontel - 2009-03-22 Course 1","Beaumontel","Course 1","","2009-03-22","Nationale 3","115"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Flora Bove","C1D","313.91","409.0","413.0",""
"Camille Andrieux","C1D","392.77","683.0","768.0",""
"Xavier Tachet","C1H","242.47","272.0","227.0",""
"Thomas Argenson","C1H","245.68","307.0","243.0",""
"Didier Niel","C1H","247.13","266.0","251.0",""
"Jerome Lacire","C1H","251.22","268.0","271.0",""
"Julien Daumont","C1H","258.68","293.0","309.0",""
"Jeremy Bretteville","C1H","262.31","470.0","327.0",""
"David Gaillard","C1H","264.87","422.0","341.0",""
"Eric Beaumont","C1H","265.18","382.0","342.0",""
"Adam Madad","C1H","274.18","412.0","388.0",""
"Pierre Maillard","C1H","275.78","305.0","395.0",""
"Louis Blasselle","C1H","289.0","403.0","462.0",""
"Jacques Nardeau","C1H","294.41","384.0","489.0",""
"Etienne Nardeau","C1H","307.51","434.0","556.0",""
"Gaspard Vivien","C1H","308.16","454.0","559.0",""
"Geoffroy Lauth","C1H","311.72","498.0","577.0",""
"Donatien Lamoureux","C1H","312.37","581.0","580.0",""
"Germain Carre","C1H","316.41","620.0","601.0",""
"Jeansebastien Simonklein","C1H","317.25","565.0","604.0",""
"Romain Bertrand","C1H","319.76","520.0","617.0",""
"Mickael Louchard","C1H","355.77","458.0","799.0",""
"Thibault Dhennin","C1H","363.98","538.0","841.0",""
"Matthieu Rousseau","C1H","397.04","797.0","1008.0",""
"Corentin Robin","C1H","725.0","378.0","2664.0",""
"Vincent Richard-Xavier Jourdain","C2H","269.89","309.0","303.0",""
"Guillaume Doutreix-Guillaume Sellier","C2H","274.02","314.0","324.0",""
"Teddy Poulard-Jeremy Bretteville","C2H","286.28","328.0","383.0",""
"Clement Beauge-Dylan Lacaussade","C2H","295.06","380.0","425.0",""
"David Gaillard-Eric Beaumont","C2H","295.51","382.0","427.0",""
"Mickael Louchard-Jeansebastien Simonklein","C2H","305.27","411.0","475.0",""
"Catherine Boulan-Xavier Jourdain","C2M","325.97","443.0","468.0",""
"Sophie Busson","K1D","277.46","336.0","304.0",""
"Celia Jodar","K1D","277.68","300.0","305.0",""
"Chloe Gatuingt","K1D","278.75","313.0","310.0",""
"Melodie Aiech","K1D","288.67","408.0","357.0",""
"Marion Laurain","K1D","292.74","396.0","377.0",""
"Charlotte Hay","K1D","310.72","400.0","461.0",""
"Stephanie Bender","K1D","319.69","425.0","503.0",""
"Camille Andrieux","K1D","326.24","644.0","533.0",""
"Elodie Berrot","K1D","327.77","478.0","541.0",""
"Jennifer Faure","K1D","334.47","777.0","572.0",""
"Juliette Pitrey","K1D","364.27","526.0","712.0",""
"Clothilde Charbeaux","K1D","378.63","598.0","779.0",""
"Dominique Badie-kallou","K1D","406.13","634.0","908.0",""
"Natacha Richer","K1D","414.77","613.0","948.0",""
"Emmanuelle Delrue","K1D","491.04","648.0","1307.0",""
"Mehdi Rouich","K1H","217.37","236.0","155.0",""
"Nizar Samlal","K1H","219.61","217.0","167.0",""
"Nicolas Dupres","K1H","224.04","239.0","191.0",""
"Teddy Poulard","K1H","225.48","288.0","198.0",""
"Benoit Monvoisin","K1H","229.15","215.0","217.0",""
"Christophe Gosselin","K1H","230.23","261.0","223.0",""
"Maxime Raux","K1H","231.06","239.0","228.0",""
"Denis Parizia","K1H","231.9","239.0","232.0",""
"Kevin Lucas Mendes","K1H","232.13","242.0","233.0",""
"Germain Carre","K1H","233.61","266.0","241.0",""
"Gaetan Kieffert","K1H","234.66","377.0","247.0",""
"Romain Lemaire","K1H","235.38","273.0","251.0",""
"Benjamin Fourmet","K1H","236.26","333.0","256.0",""
"Jean-luc Mottais","K1H","236.77","330.0","259.0",""
"Etienne Carpentier","K1H","236.94","241.0","259.0",""
"Guillaume Doutreix","K1H","237.0","283.0","260.0",""
"Quentin Dheilly","K1H","237.06","269.0","260.0",""
"Romain Bertrand","K1H","238.3","323.0","266.0",""
"Jeremy Bretteville","K1H","238.44","252.0","267.0",""
"Damien Jacques","K1H","239.57","307.0","273.0",""
"Jeremy Harel","K1H","239.61","295.0","273.0",""
"Sebastien Delaunay","K1H","240.18","355.0","276.0",""
"Tristan Lejot","K1H","241.21","269.0","282.0",""
"Clement Robet","K1H","243.08","372.0","292.0",""
"Florian Pean","K1H","243.26","294.0","293.0",""
"Philippe Valeri","K1H","244.1","295.0","297.0",""
"Lancelot Meillier","K1H","247.3","398.0","314.0",""
"Florian Lefebvre","K1H","247.81","311.0","316.0",""
"Yoann Deschemaeker","K1H","248.16","356.0","318.0",""
"Maxime Cousin","K1H","248.7","305.0","321.0",""
"Matthieu Rousseau","K1H","250.37","417.0","330.0",""
"Martin Mottais","K1H","251.35","422.0","336.0",""
"Paul Batrel","K1H","253.48","347.0","346.0",""
"Mathieu Monvoisin","K1H","253.84","300.0","348.0",""
"Victor Paulais","K1H","255.24","339.0","356.0",""
"Cyril Duval","K1H","257.27","393.0","367.0",""
"Francois Bonnet","K1H","257.71","309.0","369.0",""
"Gaspard Gindt","K1H","259.42","434.0","378.0",""
"Camille Simonin","K1H","262.33","639.0","393.0",""
"Jess Masson","K1H","272.07","327.0","445.0",""
"Samuel Bonvalet","K1H","275.88","469.0","466.0",""
"Yohann Pollet","K1H","276.63","443.0","470.0",""
"Wilhelm Heimburger","K1H","276.75","498.0","470.0",""
"Yoann Nurit","K1H","276.82","494.0","471.0",""
"Xavier Montenoise","K1H","278.19","518.0","477.0",""
"Matthieu Duval","K1H","278.85","404.0","481.0",""
"Elie Mahfouz","K1H","281.43","604.0","495.0",""
"Sebastien Masseline","K1H","284.44","605.0","511.0",""
"Romain Postaire","K1H","286.67","638.0","522.0",""
"Thibault Dhennin","K1H","290.01","377.0","540.0",""
"Alexandre Queval","K1H","293.29","641.0","558.0",""
"Sami Fossat","K1H","293.88","398.0","561.0",""
"Antoine Lecocq","K1H","295.32","553.0","568.0",""
"Sylvain Barrois","K1H","296.02","479.0","572.0",""
"Quentin Charles","K1H","298.65","576.0","586.0",""
"Quentin Chopart","K1H","299.01","427.0","588.0",""
"Julien Audren","K1H","301.04","503.0","599.0",""
"Patrick Pierrot","K1H","301.61","585.0","602.0",""
"Pierre Lecorre","K1H","309.0","711.0","641.0",""
"Vincent Richard","K1H","309.54","377.0","644.0",""
"Pierrick Tanguy","K1H","309.6","504.0","645.0",""
"Gaspard Vivien","K1H","312.04","313.0","657.0",""
"Benjamin Poutonnet","K1H","316.55","726.0","681.0",""
"Maxime Boisgontier","K1H","324.14","467.0","722.0",""
"Benoit Lecointe","K1H","340.63","430.0","809.0",""
"Cedric Amar","K1H","346.97","499.0","842.0",""
"Fabrice Amar","K1H","356.8","594.0","895.0",""
"Remy Daumont","K1H","378.17","473.0","1008.0",""
