"Slalom National 3 - Saint-Brieuc - 2009-03-22","Course 1","2009-03-22","Nationale 3","171"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Laetitia Odermatt","C1D","288.00","313","361",""
"Maxime Perron","C1H","228.17","274","208",""
"Nicolas Rebours","C1H","232.54","261","231",""
"Pierre Mikolajczak","C1H","234.32","330","241",""
"Yvan Nicolas","C1H","234.41","316","241",""
"Denis Voisin","C1H","236.01","279","251",""
"Regis Cabel","C1H","236.82","283","255",""
"Titouan Brouder","C1H","243.71","381","292",""
"Lucas Hives - Sorin","C1H","245.39","384","301",""
"Alexis Moriceau","C1H","248.51","320","318",""
"Franck Delachair","C1H","253.22","396","344",""
"Philippe Metran","C1H","253.68","379","347",""
"Paul Tallet Pinet","C1H","254.87","359","353",""
"Quentin Moret De Rocheprise","C1H","257.89","443","369",""
"Quentin Herault","C1H","259.63","465","379",""
"Thibaud Couetil","C1H","262.46","371","394",""
"Sylvain Le Roux","C1H","265.37","456","410",""
"Yvan Raoult","C1H","265.81","454","413",""
"Brian Pieddefer","C1H","282.15","524","501",""
"Jerome Trousson","C1H","283.03","385","506",""
"Vincent Lemonnier","C1H","287.58","515","531",""
"Henri Despont","C1H","297.41","415","584",""
"Thomas Bourhis","C1H","306.64","213","635",""
"Thibault De La Buharaye","C1H","Abs","-","-",""
"David Julou","C1H","Abs","-","-",""
"Aurelien Ballandras","C1H","Abs","-","-",""
"Annabelle Garnier-Fanny Kerambrun","C2D","326.87","671","460",""
"Claire Pichon-Marie Landais","C2D","355.34","603","590",""
"Estelle Hellard-Anais Coudrin","C2D","427.37","488","919",""
"Tangui Quemeneur-Guillaume Huppert","C2H","241.63","315","221",""
"Arnaud Le Calvez-Melaine Pichard","C2H","244.73","312","237",""
"Pierre Bontoux-Alexandre Thomasseau","C2H","249.93","411","265",""
"Lucas Le Gall-Guillaume Kerambrun","C2H","251.26","282","271",""
"Boris Bouillaud-Thomas Chagnaud","C2H","272.77","491","383",""
"Quentin Chapin-Charles Potier","C2H","276.41","530","402",""
"Nicolas Marcus-Sylvain Le Roux","C2H","319.10","378","623",""
"Guillaume Chasseriault-Angelique Chasseriault","C2M","355.14","638","685",""
"Anne Gombert","K1D","264.71","398","304",""
"Aurelie Le Fee","K1D","271.69","342","340",""
"Pauline Bercon","K1D","274.01","269","352",""
"Solene Graille","K1D","276.04","371","362",""
"Jeanne Despres","K1D","277.37","418","368",""
"Marie Laure Graille","K1D","278.45","362","374",""
"Joelle Bonnabesse","K1D","279.00","520","377",""
"Laurine Naveau","K1D","290.27","394","434",""
"Emma Jacob","K1D","292.04","467","443",""
"Nolwen Jouan","K1D","295.82","453","461",""
"Marie Landais","K1D","305.93","398","513",""
"Camille Le Coq","K1D","307.90","382","523",""
"Adeline Gerardin","K1D","309.11","406","529",""
"Barbara Cavyn","K1D","315.71","489","563",""
"Clemence Drugeot","K1D","390.41","712","940",""
"Anna Affigliati","K1D","414.63","661","1062",""
"Audrey Dada Balu","K1D","437.89","751","1180",""
"Nelly Delorme","K1D","Abd","-","-",""
"Deborah Larsonneur","K1D","Abs","-","-",""
"Vit Masare","K1H","211.67","194","176",""
"Frederic Leclerc","K1H","211.86","206","177",""
"Tanguy Le Marec","K1H","213.16","225","184",""
"Simon Deboysson","K1H","213.71","183","187",""
"Antoine Godet","K1H","214.17","208","190",""
"Benoit Ricard","K1H","217.51","234","209",""
"Yves Prigent","K1H","219.52","218","220",""
"Marc Robert","K1H","221.01","241","229",""
"Camille L'hostis","K1H","222.36","279","236",""
"Jonas Turmeau","K1H","222.42","327","237",""
"Yoann Le Guyader","K1H","223.54","273","243",""
"Ewen Legrand","K1H","223.56","363","243",""
"Damien Gaillard","K1H","224.13","196","246",""
"Florian Lepretre","K1H","224.67","288","250",""
"Alexandre Plouzeau","K1H","225.32","271","254",""
"Pascal Marrec","K1H","225.41","293","254",""
"Paul Messialle","K1H","225.51","256","255",""
"Nicolas Marcus","K1H","225.82","251","257",""
"Valentin Giret","K1H","226.00","239","258",""
"Arnaud Le Calvez","K1H","226.19","259","259",""
"Guillaume Blin","K1H","226.21","312","259",""
"Jeanpierre Le Lann","K1H","226.84","301","262",""
"Nowan Bertin","K1H","227.21","332","265",""
"Maxime Beaulieu","K1H","227.37","257","265",""
"Alexis Lotton","K1H","230.10","273","281",""
"Paul Fievet","K1H","230.11","294","281",""
"Loic Kervella","K1H","230.20","249","281",""
"Damien Launay","K1H","230.51","289","283",""
"Matthieu Jonnart-baur","K1H","231.23","305","287",""
"Ludovic Gaignon","K1H","231.74","309","290",""
"Luke Long","K1H","232.36","372","294",""
"Manuel Moquet","K1H","232.43","295","294",""
"Simon Vaillant","K1H","232.57","259","295",""
"Mathieu Desnos","K1H","232.87","309","296",""
"William Jacopin","K1H","232.91","314","297",""
"Patrick Jegou","K1H","233.68","305","301",""
"Hoel Carnot","K1H","233.98","329","303",""
"Loic Froissard","K1H","235.00","328","308",""
"Victor Azam","K1H","235.10","291","309",""
"Erwan Le Guevel","K1H","235.53","359","311",""
"Jeremy Escaffre","K1H","236.43","396","316",""
"Denis Voisin","K1H","236.82","384","319",""
"Etienne Chauvin","K1H","238.45","334","329",""
"David Julou","K1H","238.58","281","330",""
"Maxime Dreux","K1H","238.84","322","331",""
"Emmanuel L'anton","K1H","239.56","408","335",""
"Aurelien Ballandras","K1H","239.86","343","337",""
"Julien Caillarec","K1H","240.09","411","338",""
"Mathieu Bourdet","K1H","240.25","371","339",""
"Vincent Rondeau","K1H","240.73","418","342",""
"Logan Nannette","K1H","243.35","318","356",""
"David Ravache","K1H","243.93","399","360",""
"Simon Seuru","K1H","243.97","361","360",""
"Vincent Nicolosi","K1H","246.10","503","372",""
"Clement Lucas","K1H","246.16","452","372",""
"Didier Rouet","K1H","246.86","394","376",""
"Guillaume Chasseriault","K1H","246.87","347","376",""
"Gaetan Hamelin","K1H","247.50","480","380",""
"Christophe Mitchell","K1H","251.18","458","402",""
"Francois Madec","K1H","251.43","485","403",""
"Thomas Marino","K1H","251.86","341","405",""
"Kevin Sponem","K1H","252.23","428","408",""
"Thibault Gautherot","K1H","252.53","419","409",""
"Olivier Brillaut","K1H","255.53","440","426",""
"Romain Foulon","K1H","257.71","453","438",""
"Jonathan Jouet","K1H","257.75","672","439",""
"Valentin Soullard","K1H","258.24","412","441",""
"Charlie Baron","K1H","259.23","502","447",""
"Francois Prevoteau","K1H","259.61","372","449",""
"Victor Carrouer","K1H","260.31","442","453",""
"Nicolas Leconte","K1H","262.83","432","467",""
"Guirec Le Guen","K1H","262.99","424","468",""
"Thibaut Mechling","K1H","263.97","468","474",""
"Damien Kerangoarec","K1H","264.62","524","477",""
"Christian Belouin","K1H","265.08","524","481",""
"Julien Bourdet","K1H","265.93","515","486",""
"Jean Francois Clement","K1H","270.14","532","509",""
"Pierrick Meheust","K1H","270.24","415","510",""
"Nicolas Thomas","K1H","270.62","499","512",""
"Nicolas Petipez","K1H","270.95","600","514",""
"Alexandre Rivolet","K1H","271.62","494","518",""
"Gael Prodeau","K1H","272.56","228","523",""
"Ferdinand Malard","K1H","274.46","662","534",""
"Antoine Guillet","K1H","284.40","799","591",""
"Pierre Emanuel Marchand","K1H","284.77","306","593",""
"Olivier Ranucci","K1H","286.51","680","603",""
"Maxime Lignereux","K1H","287.52","623","608",""
"Pierreyves Hellard","K1H","289.45","567","619",""
"Simon Gaillardon","K1H","290.93","690","628",""
"Benjamin Sanella","K1H","292.16","293","636",""
"Pierreyves Renaudin","K1H","292.75","573","639",""
"Dominique Odile","K1H","298.08","511","669",""
"Simon Dureau","K1H","298.11","761","669",""
"Matthieu Laumonier","K1H","304.79","719","708",""
"Guillaume Payet","K1H","307.44","681","723",""
"Antoine Beaudoin","K1H","308.19","317","727",""
"Wilfried Harduin","K1H","309.24","472","733",""
"Thierry Dugue","K1H","312.54","630","751",""
"Gael Bleunven","K1H","318.32","527","785",""
"Quentin Ferrand","K1H","322.93","504","811",""
"Richard Fradin","K1H","328.02","446","840",""
"Baptiste Cotta","K1H","343.01","526","925",""
"Flavien Portier","K1H","356.62","619","1003",""
"Sullivan Kingsland","K1H","419.51","783","1362",""
"Lucas Nedelec","K1H","Abs","-","-",""
