"Championnat de France N1 - Metz - 6ème Manche - 2009-04-12","6ème Manche","2009-04-12","Nationale 1","110"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Pierre Labarelle","C1H","95.59","9","2",""
"Pierre Berthelot Kleck","C1H","95.96","18","4",""
"Jonathan Marc","C1H","98.07","22","14",""
"Baptiste Delaplace","C1H","99.74","19","22",""
"Herve Chevrier","C1H","100.36","35","25",""
"Louison Tanet","C1H","100.58","44","27",""
"Jeremy Moreaux","C1H","100.92","63","28",""
"Alain Schirmann","C1H","101.43","64","31",""
"Edern Le Ruyet","C1H","101.72","23","32",""
"Sebastien Cardiet","C1H","101.75","47","32",""
"Jeremie Gouello","C1H","101.8","51","33",""
"Thibaud Vielliard","C1H","102.55","28","36",""
"Charly Chassigneux","C1H","103.55","38","41",""
"Martin Thomas","C1H","104.93","40","47",""
"Nicolas Scianimanico","C1H","106.01","82","53",""
"Nicolas Peschier","C1H","106.95","43","58",""
"Gireg Hamoniaux","C1H","107.66","57","61",""
"Denis Gargaud","C1H","107.68","10","61",""
"Marc Biazizzo","C1H","108.71","59","66",""
"Gaetan Le Henaff","C1H","108.83","92","67",""
"Sebastien De Kerleau","C1H","108.88","78","67",""
"Herve Delamarre","C1H","109.91","58","72",""
"Loic Bourgeois","C1H","115.16","61","98",""
"Anthony Colin","C1H","121.05","117","127",""
"Alexandre Pocard","C1H","121.38","66","128",""
"Pierre Antoine Tillard","C1H","156.69","54","301",""
"Julien Gaspard","C1H","Nt","-","-",""
"Hugo Biso-Pierre Picco","C2H","102.98","14","15",""
"Mathieu Voyemant-Damien Troquenet","C2H","103.88","26","20",""
"Mathieu Fougere-Thomas Fougere","C2H","104.64","19","23",""
"Pierre Luquet-Christophe Luquet","C2H","105.38","20","27",""
"Fabien Lefevre-Denis Gargaud","C2H","106.09","41","30",""
"Aymeric Maynadier-Sebastien Perilhou","C2H","106.56","32","32",""
"Mathieu Biazizzo-Leo Thomas","C2H","115.85","102","75",""
"Yann Le Govic-Fabien Le Nechet","C2H","123.37","110","110",""
"Benjamin Reig-Cyril Boulet","C2H","131.25","145","147",""
"Gauthier Klauss-Matthieu Peche","C2H","Nt","-","-",""
"Caroline Loir","K1D","106.15","20","17",""
"Claire Jacquet","K1D","109.98","45","34",""
"Claire Landrin","K1D","113.14","57","49",""
"Nouria Newman","K1D","114.36","40","54",""
"Marie Borlet","K1D","114.87","51","56",""
"Lea Martin","K1D","114.92","74","57",""
"Oriane Rebours","K1D","115.78","52","60",""
"Sarah Despres","K1D","115.79","60","60",""
"Clotilde Miclo","K1D","116.22","25","63",""
"Caroline Bourry","K1D","118.94","70","75",""
"Ophelie Delaplace","K1D","121.58","62","87",""
"Emilie Chamouleau","K1D","121.85","78","88",""
"Marlene Devillez","K1D","124.99","159","102",""
"Josepha Longa","K1D","125.47","67","105",""
"Laure Udari","K1D","129.44","91","123",""
"Laura Combot","K1D","130.95","46","129",""
"Anne Sophie Le Bailly","K1D","133.83","81","143",""
"Elise Escourrou","K1D","170.62","78","310",""
"Marie Gaspard","K1D","Nt","-","-",""
"Estelle Mangin","K1D","Nt","-","-",""
"Thomas Bersinger","K1H","91.21","17","3",""
"Renaud Doby","K1H","91.26","15","3",""
"Etienne Daille","K1H","92.28","17","8",""
"Mathieu Doby","K1H","92.57","17","10",""
"Fabien Lefevre","K1H","93.19","1","13",""
"Frederic Walczak","K1H","93.37","10","14",""
"Pierre Bourliaud","K1H","93.59","6","15",""
"Vivien Colober","K1H","93.76","15","16",""
"Benjamin Buys","K1H","93.93","12","17",""
"Benoit Peschier","K1H","94.18","12","18",""
"Benoit Guillaume","K1H","94.64","16","20",""
"Raphael Reveche","K1H","94.89","7","22",""
"Nicolas Labat","K1H","95.51","31","25",""
"Florian Berail","K1H","95.95","18","27",""
"Aurelien Maynadier","K1H","96.63","30","31",""
"Cedric Bron","K1H","96.67","37","31",""
"Hugo Hager","K1H","96.75","25","31",""
"Ronan Lucas","K1H","96.89","36","32",""
"Quentin Bove","K1H","97","22","33",""
"Ciaran Heurteau","K1H","97.06","33","33",""
"Thomas Rosset","K1H","97.09","30","33",""
"Benjamin Travostino","K1H","97.14","28","34",""
"Jules Bevalot","K1H","97.39","44","34",""
"Emmanuel Walczak","K1H","97.5","40","35",""
"Ludovic Di Nisi","K1H","98.02","32","38",""
"Alexis Caspar","K1H","98.11","38","38",""
"Christophe Marechal","K1H","98.56","31","40",""
"Christophe Augu","K1H","98.65","39","41",""
"Yoann Hautecloche","K1H","98.95","50","43",""
"Paul Brier","K1H","99.04","29","43",""
"Oswald Besch","K1H","99.21","32","44",""
"Julien Coudert","K1H","99.25","60","44",""
"Yann Gudefin","K1H","99.38","26","45",""
"Davy Egraz","K1H","100.1","66","48",""
"Jimy Bercon","K1H","100.19","45","49",""
"Julien Dekarczyk","K1H","100.19","27","49",""
"Guillaume Bandelier","K1H","100.56","52","51",""
"Louis Philippe Rigal","K1H","100.67","40","52",""
"Jeremy Cremonesi","K1H","100.87","41","53",""
"Goulwen Chapelier","K1H","101.06","48","54",""
"Benjamin Boukpeti","K1H","101.12","19","54",""
"Benoit Molinier","K1H","101.15","46","54",""
"Nicolas Veillard","K1H","101.16","26","54",""
"Julien Arribe","K1H","101.57","61","56",""
"Andy Pajani","K1H","101.66","39","56",""
"Johan De Mareuil","K1H","101.85","38","58",""
