"Slalom Régional du Clain - St Benoît Course 1","St Benoît","Course 1","","2010-01-24","Régional","125"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Laurine Naveau","C1D","179.2","-","680.0",""
"Manon Sacre","C1D","191.52","-","792.0",""
"Romain Caillon","C1H","112.32","159.0","200.0",""
"Jeremie Jousseaume","C1H","112.33","213.0","200.0",""
"Dimitri Marino","C1H","113.85","168.0","215.0",""
"Ronan Goualc'h","C1H","114.52","180.0","222.0",""
"Frederic Boob","C1H","114.66","157.0","223.0",""
"Come Hebert","C1H","117.06","131.0","248.0",""
"Jason Brothier","C1H","120.02","259.0","278.0",""
"Jimmy Besson","C1H","120.25","221.0","281.0",""
"Henri Despont","C1H","120.96","265.0","288.0",""
"Thomas Rolando","C1H","124.84","191.0","328.0",""
"Felix Merzeau","C1H","125.77","332.0","337.0",""
"Aurelien Ballandras","C1H","128.12","266.0","361.0",""
"Riwan Guillermic","C1H","128.46","314.0","364.0",""
"Nicolas Thomas","C1H","128.77","312.0","368.0",""
"Gael Prodeau","C1H","131.51","393.0","395.0",""
"Thomas Chagnaud","C1H","140.41","542.0","486.0",""
"Jean-guillaume Desmoulin","C1H","140.52","368.0","487.0",""
"Jean Melaine Sion","C1H","148.46","-","568.0",""
"Etienne Chauvin","C1H","149.83","443.0","582.0",""
"Oscar Petit","C1H","154.97","-","634.0",""
"Maxime Bruneau","C1H","218.33","-","1281.0",""
"Antoine Giudicelli-Francois Giudicelli","C2H","116.21","154.0","185.0",""
"Romain Caillon-Christophe Marechal","C2H","118.94","148.0","212.0",""
"Riwan Guillermic-Alexandre Paulais","C2H","131.49","301.0","335.0",""
"Thomas Rolando-Lucas Kelifaoui","C2H","135.32","280.0","372.0",""
"Jimmy Besson-Ronan Goualc'h","C2H","139.64","-","414.0",""
"Gael Prodeau-Aurelien Ballandras","C2H","215.72","-","1154.0",""
"Alexandre Dherbilly-Jordan Rocdunos","C2H","258.91","-","1575.0",""
"Kevin Rocdunos-Manon Linck","C2M","224.4","720.0","1091.0",""
"Marie Gaspard","K1D","111.29","60.0","109.0",""
"Emilie Chamouleau","K1D","114.32","69.0","137.0",""
"Valerie Sibioude","K1D","116.7","159.0","160.0",""
"Sarah Lyphout","K1D","118.1","134.0","173.0",""
"Laurine Naveau","K1D","136.7","246.0","349.0",""
"Camille Jounot","K1D","137.52","236.0","357.0",""
"Manon Sacre","K1D","147.83","403.0","455.0",""
"Mathilde Pelletan","K1D","148.15","289.0","459.0",""
"Marielle Counil","K1D","160.19","588.0","572.0",""
"Jeromine Hervo","K1D","179.82","656.0","758.0",""
"Charlotte Robuchon","K1D","189.12","596.0","846.0",""
"Angelique Chasseriault","K1D","208.77","587.0","1032.0",""
"Manon Linck","K1D","234.16","664.0","1274.0",""
"Amelie Perier","K1D","284.99","449.0","1755.0",""
"Eva Depuiset","K1D","326.23","-","2146.0",""
"Ivana Lebegue","K1D","387.8","985.0","2730.0",""
"Christophe Marechal","K1H","96.25","41.0","85.0",""
"Nicolas Labat","K1H","98.2","27.0","105.0",""
"Louis-maxime Main","K1H","102.21","136.0","148.0",""
"Quentin Lyphout","K1H","103.24","159.0","160.0",""
"Lucas Kelifaoui","K1H","103.89","91.0","167.0",""
"Jean Messialle","K1H","105.19","185.0","180.0",""
"Joris Rocher","K1H","105.23","166.0","181.0",""
"Gael Prodeau","K1H","105.68","167.0","186.0",""
"Felix Merzeau","K1H","105.74","203.0","186.0",""
"James Duvernoy","K1H","106.85","221.0","198.0",""
"Laurent Urvois","K1H","107.5","-","206.0",""
"Mathieu Cheze","K1H","108.51","244.0","216.0",""
"Paul Messialle","K1H","108.66","239.0","217.0",""
"Jonas Turmeau","K1H","108.77","195.0","218.0",""
"Damien Launay","K1H","108.92","210.0","220.0",""
"Kevin Lemenaheze","K1H","109.15","226.0","223.0",""
"Guillaume Chainier","K1H","109.75","217.0","229.0",""
"Marc Robert","K1H","111.21","210.0","245.0",""
"Aurelien Ballandras","K1H","111.4","216.0","247.0",""
"Etienne Chauvin","K1H","114.41","260.0","279.0",""
"Valentin Marin","K1H","114.69","259.0","282.0",""
"Clement Praille","K1H","115.41","248.0","290.0",""
"Olivier Nonnet","K1H","115.47","298.0","291.0",""
"Vincent Nicolosi","K1H","115.51","305.0","291.0",""
"Nicolas Thomas","K1H","116.89","407.0","306.0",""
"Felix Bouvet","K1H","117.05","-","307.0",""
"Louison Turmeau","K1H","117.8","341.0","316.0",""
"Edouard Anne","K1H","120.49","453.0","344.0",""
"Herve Launay","K1H","121.47","165.0","355.0",""
"Gaetan Hamelin","K1H","121.92","335.0","360.0",""
"Pierre Dehaudt","K1H","122.43","328.0","365.0",""
"Denis Guilmard","K1H","122.81","-","370.0",""
"Alexandre Paulais","K1H","123.1","296.0","373.0",""
"Alexandre Plumejeau","K1H","124.45","370.0","387.0",""
"Alexandre Dherbilly","K1H","124.63","432.0","389.0",""
"Jason Brothier","K1H","124.77","411.0","390.0",""
"Kevin Sponem","K1H","125.38","296.0","397.0",""
"Hugo Le Goff","K1H","125.5","450.0","398.0",""
"Romain Gaillard","K1H","125.56","-","399.0",""
"Erwan Desbordes","K1H","126.14","342.0","405.0",""
"Jeremy Rouet","K1H","126.87","-","413.0",""
"Florian Chaumier","K1H","128.47","397.0","430.0",""
"Sebastien Devred","K1H","128.58","-","431.0",""
"Jordan Rocdunos","K1H","129.07","418.0","436.0",""
"Charlie Baron","K1H","129.33","397.0","439.0",""
"Valentin Cesbron","K1H","129.38","367.0","440.0",""
"Jordan Agullo","K1H","129.88","-","445.0",""
"Antoine Delcourt","K1H","130.12","-","448.0",""
"Gaetan Viallard","K1H","130.2","381.0","449.0",""
"Simon Richar","K1H","131.25","443.0","459.0",""
"Hippolyte Granados","K1H","131.52","525.0","462.0",""
"Kevin Rocdunos","K1H","131.68","498.0","464.0",""
"Mathis Besse","K1H","132.26","385.0","470.0",""
"David Vacher","K1H","132.78","461.0","476.0",""
"Thomas Perrin","K1H","135.92","369.0","509.0",""
"Etienne Baudry","K1H","137.33","454.0","525.0",""
"Benjamin Sanella","K1H","138.22","264.0","535.0",""
"Clement Cierocki","K1H","144.56","564.0","602.0",""
"Jean-noel Biteau","K1H","145.76","424.0","615.0",""
"Samuel Enon","K1H","146.69","484.0","625.0",""
"Christophe Cartault","K1H","146.79","-","626.0",""
"Gael David","K1H","151.0","518.0","671.0",""
"Thierry Dugue","K1H","152.47","623.0","687.0",""
"Theotime Bordes","K1H","153.54","-","699.0",""
"Maxime Girardot","K1H","161.86","-","787.0",""
"Loup Charles","K1H","162.85","566.0","798.0",""
"Thomas Megard","K1H","163.34","676.0","803.0",""
"Enguerran Sers","K1H","168.59","-","860.0",""
"Jean Marie Ballouard","K1H","178.2","-","962.0",""
"Daniel Bregazzi","K1H","197.43","638.0","1168.0",""
"Pierre Bellion","K1H","198.12","599.0","1176.0",""
"Maxime Bruneau","K1H","204.69","-","1246.0",""
"Jordan Gabilly","K1H","208.96","-","1292.0",""
"Florian Plault","K1H","218.35","828.0","1393.0",""
