"Sélectif Régional - Vinon sur Verdon Course 2","Vinon sur Verdon","Course 2","","2010-04-25","Régional","123"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Julie Labarelle","C1D","145.4","-","379.0",""
"Pierre Labarelle","C1H","97.67","2.0","40.0",""
"Nicolas Peschier","C1H","99.66","7.0","61.0",""
"Eric Labarelle","C1H","106.03","49.0","129.0",""
"Eloi Seemann","C1H","109.31","155.0","164.0",""
"Francois Hemidy","C1H","111.37","162.0","186.0",""
"Baptiste Tappero","C1H","111.87","122.0","192.0",""
"Thomas Levert","C1H","112.28","141.0","196.0",""
"Loic Haederli","C1H","116.52","225.0","242.0",""
"Sebastien De Kerleau","C1H","117.38","35.0","251.0",""
"Antoine Lacour","C1H","120.11","353.0","280.0",""
"Tom Bar","C1H","120.5","-","284.0",""
"Xavier Gensse","C1H","122.37","262.0","304.0",""
"Olivier Blanc","C1H","123.0","362.0","311.0",""
"Mickael Cordier","C1H","125.21","-","335.0",""
"Ronan Cordier","C1H","126.65","338.0","349.0",""
"Thibault Rouanet","C1H","128.06","472.0","364.0",""
"Hugues Lesimple","C1H","128.67","326.0","371.0",""
"Cedric Bron","C1H","129.18","330.0","377.0",""
"Yoann Mourier","C1H","130.37","414.0","389.0",""
"Florent Cossou","C1H","133.27","-","420.0",""
"Dimitri Durannot","C1H","133.8","-","425.0",""
"Boris Doye","C1H","136.0","-","449.0",""
"Alexis Cordier","C1H","139.63","580.0","488.0",""
"Ludovic Smal","C1H","142.32","525.0","516.0",""
"Tom Vernet","C1H","154.64","675.0","648.0",""
"Jean Saez","C1H","268.24","654.0","1860.0",""
"Candice Lauretta-Aurelie Divoux","C2D","156.71","439.0","403.0",""
"Coralie Yebenes-Marion Delorme","C2D","170.29","463.0","525.0",""
"Nicolas Peschier-Pierre Labarelle","C2H","109.29","-","112.0",""
"Eloi Seemann-Jeremy Wagner","C2H","116.92","80.0","189.0",""
"Benjamin Renia-Nathanael Renia","C2H","119.0","273.0","210.0",""
"Luc Doye-Francois Hemidy","C2H","120.49","133.0","225.0",""
"Camille Sahuc-Paul Graton","C2H","121.3","244.0","233.0",""
"Cedric Bron-Eric Labarelle","C2H","122.35","241.0","244.0",""
"Mickael Cordier-Tom Bar","C2H","123.17","-","253.0",""
"Boris Doye-Baptiste Tappero","C2H","125.62","313.0","278.0",""
"Dimitri Durannot-Adrien Tappero","C2H","132.94","327.0","352.0",""
"Adrien Tamas-Sylvain Viallon","C2H","138.25","440.0","406.0",""
"Yoann Mourier-Alexis Cordier","C2H","152.54","572.0","551.0",""
"Quentin Ducrot-Quentin Duhamel","C2H","183.38","-","866.0",""
"Philippe Lions-Denis Barkat","C2H","310.03","-","2157.0",""
"Tom Vernet-Teo Gomez","C2H","451.66","722.0","3599.0",""
"Carole Bouzidi","K1D","104.09","14.0","30.0",""
"Olivia Byrne-sutton","K1D","108.51","30.0","73.0",""
"Annaelle Meheut","K1D","115.93","118.0","148.0",""
"Julie Labarelle","K1D","116.49","118.0","153.0",""
"Barbara Gibert","K1D","118.53","162.0","173.0",""
"Marion Delorme","K1D","122.96","170.0","217.0",""
"Aurelie Divoux","K1D","124.98","214.0","238.0",""
"Coralie Yebenes","K1D","125.62","168.0","244.0",""
"Candice Lauretta","K1D","128.18","261.0","268.0",""
"Clara Gache","K1D","137.05","281.0","357.0",""
"Melanie Bordier","K1D","146.38","443.0","449.0",""
"Caroline Incardona","K1D","146.74","387.0","453.0",""
"Claire Michelet","K1D","148.51","434.0","471.0",""
"Marie Troyano","K1D","152.15","438.0","507.0",""
"Anouk Bessy","K1D","154.23","407.0","528.0",""
"Benjamin Renia","K1H","95.03","6.0","63.0",""
"Nathanael Renia","K1H","96.81","94.0","83.0",""
"Adrien Chabbey","K1H","100.02","83.0","119.0",""
"Paul Graton","K1H","100.31","101.0","122.0",""
"Cedric Bron","K1H","102.46","72.0","146.0",""
"Olivier Blanc","K1H","103.63","155.0","159.0",""
"Thibault Gache","K1H","103.76","156.0","160.0",""
"Pierre Labarelle","K1H","104.66","199.0","170.0",""
"Jeremy Wagner","K1H","104.97","101.0","175.0",""
"Thibault Gibert","K1H","105.49","100.0","180.0",""
"Thomas Schmitt","K1H","105.76","223.0","183.0",""
"Benoit Dubath","K1H","105.8","212.0","184.0",""
"Sylvain Viallon","K1H","105.91","174.0","185.0",""
"Adrien Tappero","K1H","107.95","225.0","208.0",""
"Jean Saez","K1H","109.04","291.0","220.0",""
"Boris Doye","K1H","109.32","157.0","223.0",""
"Fernando Denninger","K1H","109.41","135.0","224.0",""
"Hugues Lesimple","K1H","109.57","166.0","225.0",""
"Adrien Tamas","K1H","110.18","263.0","232.0",""
"Baptiste Tappero","K1H","110.41","220.0","235.0",""
"Thomas Sicre","K1H","112.22","229.0","255.0",""
"Gregory Booth","K1H","112.33","191.0","256.0",""
"Matthieu Chauvel","K1H","112.37","192.0","257.0",""
"Mickael Cordier","K1H","112.68","-","260.0",""
"Ludovic Pinchon","K1H","113.47","275.0","270.0",""
"Yoann Mourier","K1H","113.7","263.0","272.0",""
"Guillaume Pit","K1H","114.3","279.0","279.0",""
"Alexis Lozachmeur","K1H","114.51","203.0","281.0",""
"Henrique Almeida","K1H","114.67","380.0","283.0",""
"Sebastien Thevard","K1H","115.34","252.0","290.0",""
"Camille Sahuc","K1H","115.38","-","291.0",""
"Lois Guillermond","K1H","115.51","219.0","292.0",""
"Dimitri Durannot","K1H","115.96","240.0","297.0",""
"Guillaume Gonzalez","K1H","117.5","356.0","315.0",""
"Clement Rombi","K1H","118.35","290.0","324.0",""
"Paul Jean","K1H","119.27","327.0","335.0",""
"Ludovic Smal","K1H","121.0","309.0","354.0",""
"Quentin Duhamel","K1H","121.32","339.0","357.0",""
"Xavier Gensse","K1H","121.48","-","359.0",""
"Alexis Cordier","K1H","121.99","371.0","364.0",""
"Florian Guillebeaud","K1H","122.72","416.0","373.0",""
"Ronan Cordier","K1H","124.73","378.0","395.0",""
"Mathieu Lions","K1H","125.8","452.0","408.0",""
"Johan Morales","K1H","127.32","462.0","424.0",""
"Yann Le Guennou","K1H","127.58","540.0","427.0",""
"Bernard Delorme","K1H","127.81","353.0","431.0",""
"Camille Dumont","K1H","129.17","401.0","445.0",""
"Quentin Ducrot","K1H","131.89","404.0","476.0",""
"Jonathan Cahour","K1H","134.04","-","500.0",""
"Frederic Bordier","K1H","135.29","483.0","514.0",""
"Ronan Lecouturier","K1H","135.38","412.0","515.0",""
"Leo Dumont","K1H","135.87","466.0","520.0",""
"Aurelien Fualdes","K1H","136.27","455.0","525.0",""
"Paul De Salve De Bruneton","K1H","137.63","441.0","540.0",""
"Cedric Cordone","K1H","138.17","505.0","546.0",""
"Nicolas Berthe","K1H","138.59","-","551.0",""
"Maxime Berthuit","K1H","139.58","518.0","562.0",""
"Dylan Fortune","K1H","140.43","607.0","572.0",""
"Sebastien Disdier","K1H","140.81","644.0","576.0",""
"Olivier Kremer","K1H","141.63","518.0","585.0",""
"Aluan Ricciardi","K1H","146.62","-","641.0",""
"Marc Scognamiglio","K1H","146.81","1475.0","643.0",""
"Herve Valentin","K1H","147.11","523.0","646.0",""
"Stefan Tupek","K1H","152.83","669.0","710.0",""
"Jean Marc Bleirad","K1H","164.6","718.0","842.0",""
