"Sélectif N2 - Épinal Course 1","Épinal","Course 1","","2010-05-30","Nationale 2","106"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Thibault Blaise","C1H","112.72","70.0","109.0",""
"Xavier Sucker","C1H","113.34","196.0","115.0",""
"Bastien Damiens","C1H","113.41","234.0","116.0",""
"Valentin Lang","C1H","113.45","107.0","116.0",""
"Frederic Walczak","C1H","115.44","165.0","134.0",""
"Christophe Despres","C1H","117.05","171.0","149.0",""
"Philippe Thevenin","C1H","117.98","174.0","157.0",""
"Frederic Momot","C1H","118.38","165.0","160.0",""
"Emilien Kempf","C1H","118.49","145.0","161.0",""
"Jeancharles Reby","C1H","118.8","199.0","164.0",""
"Jan Pischek","C1H","119.06","162.0","167.0",""
"Roman Duprey","C1H","119.27","170.0","169.0",""
"Jonathan Matern","C1H","119.66","156.0","172.0",""
"Stephane Abadie","C1H","119.71","141.0","172.0",""
"Yoan Del Rey","C1H","119.79","147.0","173.0",""
"Olivier Barriere","C1H","121.29","243.0","187.0",""
"Quentin Moreaux","C1H","122.6","236.0","199.0",""
"Loic Marechal","C1H","123.13","222.0","203.0",""
"Marcantoine Hacquart","C1H","123.76","204.0","209.0",""
"Mathieu Biazizzo","C1H","124.15","161.0","212.0",""
"Alexis Caspar","C1H","125.78","-","227.0",""
"Raphael Vignaux","C1H","126.09","213.0","231.0",""
"Mathieu Dutendas","C1H","126.58","204.0","234.0",""
"Maxime Cousin","C1H","126.65","238.0","235.0",""
"Alexis Collin","C1H","129.23","241.0","259.0",""
"William Ozanne","C1H","131.29","229.0","277.0",""
"Frederic Walczak-Emmanuel Walczak","C2H","120.31","189.0","129.0",""
"Claude Menissier-Gerard Menissier","C2H","130.42","244.0","216.0",""
"Jerome Lacire-Quentin Moreaux","C2H","130.87","228.0","220.0",""
"Alexandre Mathis-Pierre Melin","C2H","131.25","161.0","223.0",""
"Julien Arribe-Jeancharles Reby","C2H","132.38","243.0","233.0",""
"Jerome Olhagaray-Jonathan Matern","C2H","141.36","257.0","310.0",""
"Nicolas Ciemniewski-Florianne Gautier","C2M","133.45","239.0","164.0",""
"Elodie Delavelle","K1D","125.99","169.0","149.0",""
"Jihane Samlal","K1D","127.28","130.0","160.0",""
"Berangere Baudart","K1D","129.11","131.0","175.0",""
"Emeline Oudet","K1D","129.88","200.0","181.0",""
"Anne Traband","K1D","130.31","-","185.0",""
"Jenny Chevalier","K1D","130.52","142.0","187.0",""
"Florianne Gautier","K1D","132.19","187.0","201.0",""
"Lorraine Mathis","K1D","132.81","198.0","206.0",""
"Blanche Legin","K1D","133.89","257.0","215.0",""
"Stephanie Ansot","K1D","134.03","200.0","216.0",""
"Cecile Meichel","K1D","135.2","250.0","226.0",""
"Charlotte Lubineau","K1D","135.92","164.0","233.0",""
"Sarah Michel","K1D","136.91","264.0","241.0",""
"Lucile Remond","K1D","140.52","262.0","271.0",""
"Cindy Beche","K1D","141.1","247.0","275.0",""
"Emmanuelle Gigandet","K1D","141.34","294.0","278.0",""
"Victorine Gerard","K1D","141.72","294.0","281.0",""
