"Sélectif régional - L'Argentière la Bessée - 2010-09-18","Course 1","2010-09-18","Régional","85"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Julie Labarelle","C1D","124.1","318","262.1",""
"Marion Delorme","C1D","142.92","-","454.02",""
"Thomas Levert","C1H","102.63","150.67","172.75",""
"Baptiste Tappero","C1H","102.88","128","175.61",""
"Camille Sahuc","C1H","112.6","241.67","287",""
"Karl Berson","C1H","113.25","461","294.45",""
"Matthieu Basset","C1H","114.01","349","303.16",""
"Yoann Mourier","C1H","116.75","336.67","334.55",""
"Galaad Pereyron","C1H","117.44","375.67","342.47",""
"Ronan Cordier","C1H","120.24","292","374.55",""
"Dimitri Durannot","C1H","121.39","376","387.74",""
"Jean Saez","C1H","133.19","515.53","522.96",""
"Alexis Cordier","C1H","134.82","543.67","541.63",""
"Theo Viens","C1H","140.09","-","602.03",""
"Denis Barkat","C1H","147.72","677.65","689.47",""
"Thibault Gache","C1H","Nt","-","-",""
"Florent Cossou","C1H","Nt","-","-",""
"Jerome Daille","C1H","Nt","-","-",""
"Coralie Yebenes-Marion Delorme","C2D","138.26","458.09","327.55",""
"Frank Adisson-Sandra Forgues","C2H","103.14","-","124.87",""
"Baptiste Tappero-Dimitri Durannot","C2H","114.39","-","247.93",""
"Thomas Levert-Karl Berson","C2H","117.38","258","280.63",""
"Camille Sahuc-Paul Graton","C2H","122.2","232","333.36",""
"Leo Bernard-Ronan Cordier","C2H","135.64","-","480.38",""
"Galaad Pereyron-Quentin Raissac","C2H","161.28","-","760.84",""
"Julie Labarelle","K1D","103.82","128","102.16",""
"Coralie Yebenes","K1D","107.55","164.95","141.87",""
"Marion Delorme","K1D","108.15","186.68","148.26",""
"Clara Gache","K1D","122.97","293","306.07",""
"Anouk Bessy","K1D","124.97","407","327.37",""
"Melanie Bordier","K1D","131.51","355.67","397.01",""
"Marie Troyano","K1D","134.63","377.67","430.24",""
"Marie Boyer","K1D","139.98","-","487.2",""
"Stephanie Bourdin","K1D","141.54","-","503.82",""
"Marine Tournier","K1D","160.93","-","710.28",""
"Michaela Daille","K1D","Nt","-","-",""
"Caroline Incardona","K1D","Nt","-","-",""
"Raphaelle Hovine","K1D","Nt","-","-",""
"Remi Baudot","K1H","95.2","100.33","142.15",""
"Paul Graton","K1H","96.92","97.67","162.85",""
"Tristan Bronsard","K1H","97.27","104.67","167.06",""
"Matthieu Basset","K1H","97.41","144.33","168.74",""
"Thomas Dandel","K1H","97.46","141.67","169.34",""
"Sylvain Dandel","K1H","97.91","125","174.76",""
"Pascal Ferry","K1H","98.18","115","178.01",""
"Florian Lepretre","K1H","99.36","-","192.21",""
"Valentin Pahon","K1H","99.88","145.67","198.46",""
"Loic Sieber","K1H","102.14","192.67","225.66",""
"Thibault Le Henaff","K1H","102.33","218.67","227.94",""
"Mathieu Zorn","K1H","103.1","-","237.21",""
"Thibault Gache","K1H","103.38","147.67","240.58",""
"Dimitri Durannot","K1H","104","217","248.04",""
"Maxime Le Henaff","K1H","104.11","190.67","249.36",""
"Jean Francois Bry","K1H","105.73","-","268.85",""
"Quentin Raissac","K1H","106.78","246","281.49",""
"Daniel Geay","K1H","106.85","-","282.33",""
"Yoann Mourier","K1H","107.24","240.33","287.02",""
"Jean Saez","K1H","107.28","244.13","287.5",""
"Gaetan Gaudissard","K1H","107.89","-","294.84",""
"Ludovic Smal","K1H","110.34","305.33","324.32",""
"Leo Bernard","K1H","111.12","-","333.71",""
"Mickael Cordier","K1H","111.77","243.67","341.53",""
"Camille Dumont","K1H","112.63","401","351.88",""
"Quentin Duhamel","K1H","113.12","296.33","357.78",""
"Paul Jean","K1H","113.4","316","361.14",""
"Sebastien Riou","K1H","114.77","-","377.63",""
"Jolan Konig","K1H","116.37","291.33","396.88",""
"Yann Le Guennou","K1H","117.04","436.33","404.94",""
"Damien Siegfried","K1H","117.05","347.55","405.06",""
"Alexis Reigne","K1H","117.06","346","405.18",""
"Orion Ragnini","K1H","117.24","-","407.35",""
"Leo Dumont","K1H","117.94","465.67","415.77",""
"Henrique Almeida","K1H","120.71","289","449.1",""
"Mathieu Lions","K1H","120.78","378.66","449.95",""
"Quentin Ducrot","K1H","121.38","374.33","457.16",""
"Valentin Bigonet","K1H","121.51","-","458.73",""
"Axel Aillet","K1H","126.82","-","522.62",""
"Ollivier Paumier","K1H","128.77","-","546.09",""
"Maxime Lenne","K1H","130.05","-","561.49",""
"Corentin Quignard","K1H","132.79","-","594.46",""
"Roland Hugue","K1H","133.79","-","606.49",""
"Yohan Hervo","K1H","133.96","-","608.53",""
"David Drumez","K1H","136.78","-","642.47",""
"Georges Rey","K1H","137.34","-","649.21",""
"Sebastien Lepaulard","K1H","Nt","-","-",""
