"Championnat Régional - SEV du Pont d'Espagne (Pau-Jurançon) - 2011-04-03 Course 1","SEV du Pont d'Espagne (Pau-Jurançon)","Course 1","","2011-04-03","Régional","157"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Caroline Loir","C1D","123.4","31.77","98.97",""
"Oriane Rebours","C1D","131.95","63.14","167.66",""
"Cecile Tixier","C1D","143.32","97.07","259.0",""
"Tony Estanguet","C1H","102.29","16.42","31.13",""
"Pierre Labarelle","C1H","105.38","1.33","59.03",""
"Nicolas Peschier","C1H","105.79","0.67","62.72",""
"Sebastien De Kerleau","C1H","106.84","23.31","72.2",""
"Pierre Antoine Tillard","C1H","107.14","12.14","74.91",""
"Louison Tanet","C1H","109.59","26.67","97.03",""
"Gireg Hamoniaux","C1H","109.71","18.6","98.12",""
"Patrice Estanguet","C1H","111.67","-","115.81",""
"Thomas Koechlin","C1H","112.46","29.03","122.94",""
"Etienne Daille","C1H","112.69","157.53","125.02",""
"Jeremy Heugas","C1H","113.47","61.23","132.06",""
"Raphael Reveche","C1H","115.66","154.96","151.83",""
"Nicolas Scianimanico","C1H","116.81","21.78","162.22",""
"Jonathan Delagnes","C1H","116.97","152.46","163.66",""
"Jean Freri","C1H","119.51","103.0","186.59",""
"Loic Brunel","C1H","123.44","-","222.07",""
"Olivier Arette Hourquet","C1H","125.18","194.06","237.77",""
"Erwan Marchais","C1H","125.66","280.37","242.11",""
"Jonathan Figarol","C1H","127.24","-","256.37",""
"Emmanuel Walczak","C1H","129.06","-","272.8",""
"Aldric Estanguet","C1H","129.57","-","277.41",""
"Pierre Troubady","C1H","129.67","220.26","278.31",""
"Serge Carre","C1H","129.69","303.29","278.49",""
"Enrick Cunsolo","C1H","133.94","-","316.86",""
"Arnaud Sgard","C1H","140.93","-","379.96",""
"Jonathan Suc","C1H","144.08","-","408.4",""
"Nasser Belabdi","C1H","147.06","336.02","435.3",""
"Alexandre Heugas","C1H","157.42","408.86","528.83",""
"Joe-marie Abousleiman","C1H","161.08","624.77","561.88",""
"Mathieu Marteau","C1H","165.64","705.19","603.04",""
"Nicolas Peschier-Pierre Labarelle","C2H","110.44","17.37","59.39",""
"Thomas Koechlin-Louison Tanet","C2H","120.55","100.67","146.51",""
"Benjamin Buys-Raphael Reveche","C2H","138.01","-","296.97",""
"Pierre Troubady-Quentin Mignard","C2H","146.67","410.98","371.59",""
"Frederic Descot-Yoan Dalla Longa","C2H","147.57","294.97","379.36",""
"Julien Money-Joe-marie Abousleiman","C2H","178.96","-","649.85",""
"Bruno Bourg-Nasser Belabdi","C2H","345.68","1479.61","2086.56",""
"Ancelin Gourjault-Erwan Marchais","C2H","357.49","-","2188.33",""
"Emilie Fer","K1D","111.0","1.63","38.82",""
"Marie-zelia Lafont","K1D","111.45","13.53","42.59",""
"Caroline Loir","K1D","113.12","7.0","56.6",""
"Nouria Newman","K1D","113.34","10.21","58.45",""
"Pauline Guiet","K1D","113.92","22.07","63.31",""
"Anne-lise Bardet","K1D","123.32","-","142.17",""
"Marlene Rio","K1D","123.83","130.66","146.44",""
"Peggy Dickens","K1D","124.78","120.35","154.41",""
