"Slalom Régional - Sélestat - 2011-09-25","Course 2","2011-09-25","Régional","183"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Charlotte Abba","C1D","123.51","156.75","196.66",""
"Florianne Gautier","C1D","123.93","-","200.79",""
"Manon Galmiche","C1D","131.25","323.78","272.84",""
"Anne Traband","C1D","132.42","-","284.35",""
"Elodie Delavelle","C1D","136.78","-","327.27",""
"Andrea Gratwohl","C1D","137.61","-","335.44",""
"Saskia De Bruijn","C1D","140.24","316.99","361.32",""
"Emma Maujean","C1D","141.27","361.24","371.45",""
"Claire Haab","C1D","143.83","-","396.66",""
"Anne-sophie Biazizzo","C1D","146.65","367.97","424.41",""
"Ophelia Lopes Marques","C1D","158.66","532.04","542.61",""
"Laurine Grandadam","C1D","160.96","-","565.25",""
"Xavier Sucker","C1H","107.02","68.34","164.78",""
"Marcantoine Hacquart","C1H","107.33","145.71","168.21",""
"Jan Pischek","C1H","109.6","159.76","193.32",""
"Lukas Werro","C1H","110.45","-","202.71",""
"Julian Othenin-girard","C1H","110.52","148.68","203.49",""
"Liam Jegou","C1H","110.74","150.5","205.93",""
"Bertrand Gutierrez","C1H","111.39","-","213.12",""
"Pierre Marie Roussel","C1H","112.6","176.38","226.49",""
"Philippe Thevenin","C1H","114.28","182.44","245.08",""
"Anice Benhacine","C1H","115.67","280.86","260.45",""
"Olivier Urbain","C1H","119.15","270.28","298.94",""
"Mathieu Douillet","C1H","120.65","320.52","315.54",""
"Guillaume Goury","C1H","120.97","300.46","319.08",""
"Jean-baptiste Wolff","C1H","121.73","284.95","327.47",""
"Maxence Grandadam","C1H","122.44","356.77","335.34",""
"Thibaut Chariot","C1H","123.58","417.43","347.94",""
"Philippe Godinat","C1H","123.78","-","350.16",""
"Anthony Goulut","C1H","124.46","296.79","357.67",""
"Florian Baumann","C1H","125.49","526.26","369.06",""
"Tristan Vauchey","C1H","126.76","426.46","383.11",""
"Laurent Starck","C1H","127.38","392.01","389.97",""
"Louis Savart","C1H","128.66","379.13","404.12",""
"Pascal Philip","C1H","129.12","-","409.21",""
"Nicolas Germay","C1H","129.43","-","412.65",""
"Clement Travert","C1H","129.6","-","414.53",""
"Christophe Billaud","C1H","129.95","529.45","418.4",""
"Robin Luna","C1H","136.63","559.58","492.28",""
"Tennessee Bernard","C1H","140.75","1106.74","537.85",""
"Antoine Leroy","C1H","158.26","-","731.52",""
"Matthieu Duval","C1H","169.26","-","853.18",""
"Jean Marc Trenchant","C1H","Nt","-","-",""
"Nathan Barbier","C1H","Nt","-","-",""
"Florianne Gautier-Anne Traband","C2D","127.25","204.47","163.34",""
"Charlotte Abba-Manon Galmiche","C2D","150.42","-","378.61",""
"Elsa Monnet-Laure Camozzi","C2D","195.12","-","793.91",""
"Marcantoine Hacquart-Bertrand Gutierrez","C2H","116.37","165.53","209.69",""
"Anice Benhacine-Tennessee Bernard","C2H","119.68","263.66","244.64",""
"Xavier Sucker-Jean-baptiste Wolff","C2H","121.56","-","264.48",""
"Nathan Robert-Quentin Robert","C2H","122.51","236.4","274.52",""
"Julian Othenin-girard-Liam Jegou","C2H","124.9","-","299.74",""
"Christophe Billaud-Philippe Devillers","C2H","126.13","278.99","312.74",""
"Nathan Barbier-Maxence Grandadam","C2H","127.95","-","331.95",""
"Laurent Starck-Nicolas Burgi","C2H","132.65","-","381.57",""
"Laurent Graillot-Antoine Leroy","C2H","144.86","-","510.48",""
"Robin Luna-Corentin Leroy","C2H","177.65","-","856.67",""
"Romain Gauthron-Esteban Le Coz","C2H","Nt","-","-",""
"Xavier Sucker-Anne Traband","C2M","125.05","-","211.83",""
"Andrea Gratwohl-Lukas Werro","C2M","125.64","-","217.63",""
"Claire Haab-Pierre Marie Roussel","C2M","130.16","196.83","262.11",""
"Emma Maujean-Louis Savart","C2M","152.1","482.76","478.04",""
"Anneline Triomphe","K1D","109.57","24.66","107.18",""
"Jihane Samlal","K1D","112.26","92.71","134.83",""
"Florianne Gautier","K1D","113.8","147","150.66",""
"Andrea Gratwohl","K1D","114.4","141.23","156.83",""
"Anne-sophie Biazizzo","K1D","115.54","152.28","168.54",""
"Anne Traband","K1D","118","159.26","193.83",""
"Oceane Vienet","K1D","118.15","208.87","195.37",""
"Elodie Delavelle","K1D","120.6","177.61","220.55",""
"Claire Haab","K1D","123.27","205.4","247.98",""
"Laurine Grandadam","K1D","124.19","248.86","257.44",""
"Ophelia Lopes Marques","K1D","124.33","276.95","258.88",""
"Sarah Rothenbuhler","K1D","125.89","310.18","274.91",""
"Emma Maujean","K1D","127.48","287.63","291.25",""
"Christelle Gilg","K1D","128.22","319.36","298.86",""
"Cecile Meichel","K1D","128.29","-","299.58",""
"Saskia De Bruijn","K1D","128.95","-","306.36",""
"Marion Hacquart","K1D","129.37","296.06","310.68",""
"Sylvaine Louis","K1D","130.73","314.41","324.65",""
"Zelie Wendling","K1D","132.37","-","341.52",""
"Marlene Dumoulin","K1D","132.42","323.46","342.03",""
"Maurilia Cartier","K1D","133.36","371.49","351.69",""
"Sabrina Boespflug","K1D","133.75","352.57","355.7",""
"Laure Camozzi","K1D","139.07","-","410.37",""
"Julie Baumann","K1D","139.39","-","413.66",""
"Camille Billerach","K1D","139.93","436.44","419.21",""
"Justine Sautre","K1D","142.46","406.55","445.21",""
"Jennifer Besancon","K1D","144.97","468.67","471.01",""
"Elsa Monnet","K1D","150.69","-","529.79",""
"Margaux Bandel","K1D","151.58","-","538.94",""
"Anne Laure Defrance","K1D","156.21","-","586.53",""
"Manon Louis","K1D","229.46","-","1339.35",""
"Pierre Marie Roussel","K1H","95.09","18.84","85.41",""
"Lukas Werro","K1H","96.36","63.04","100.16",""
"Mathieu Douillet","K1H","99.46","131.62","136.16",""
"Bertrand Gutierrez","K1H","99.47","56.96","136.28",""
"Enzo Seker","K1H","100.36","125.85","146.62",""
"Jeremias Schlaefli","K1H","100.82","-","151.96",""
"Nicolas Burgi","K1H","101.93","155.78","164.85",""
"Maxence Grandadam","K1H","103.1","102.71","178.44",""
"Nathan Barbier","K1H","103.42","118.45","182.15",""
"Arthur Bernot","K1H","104.08","114.16","189.82",""
"Arnaud Pellizzoni","K1H","104.25","184.98","191.79",""
"Antoine Germay","K1H","104.39","173.49","193.42",""
"Maxime Degesves","K1H","105.62","172.63","207.7",""
"Thibaut Bernot","K1H","105.7","167.45","208.63",""
"Laurent Starck","K1H","105.73","151.26","208.98",""
"Thibaut Chariot","K1H","105.73","129.61","208.98",""
"Nicolas Germay","K1H","106.29","196.81","215.49",""
"Matthieu Duval","K1H","106.59","173.11","218.97",""
"Marcantoine Hacquart","K1H","107.21","-","226.17",""
"Liam Jegou","K1H","107.21","176.32","226.17",""
"Guilhem Douillet","K1H","107.3","-","227.21",""
"Florian Baumann","K1H","107.32","226.39","227.45",""
"Clement Travert","K1H","107.57","209.97","230.35",""
"William Boutet","K1H","108.45","-","240.57",""
"Thomas Barraco","K1H","108.47","214.93","240.8",""
"Olivier Urbain","K1H","108.77","185.49","244.29",""
"Charlie Barbier","K1H","109.03","267.85","247.31",""
"Eddy Cassard","K1H","110.83","240.93","268.21",""
"Emmanuel Triomphe","K1H","111","250.09","270.18",""
"Alexandre Allemang","K1H","111.05","230.16","270.77",""
"Jeremy Poux","K1H","111.06","220.39","270.88",""
"Christophe Dalla-zuana","K1H","111.1","-","271.35",""
"Christophe Billaud","K1H","111.16","219.32","272.04",""
"Billel Khenchouche","K1H","111.73","145.43","278.66",""
"Guillaume Carpentier","K1H","112.79","-","290.97",""
"Louis Savart","K1H","112.86","275.09","291.79",""
"Christophe Siffert","K1H","113.18","247.84","295.5",""
"Nicolas Fritsch","K1H","113.26","291.42","296.43",""
"Julian Othenin-girard","K1H","113.42","224.93","298.29",""
"Philippe Devillers","K1H","113.68","222.44","301.31",""
"Laurent Graillot","K1H","113.83","238.63","303.05",""
"Mehdi Amini","K1H","113.89","-","303.75",""
"Arnaud Jamet","K1H","114.29","216.03","308.39",""
"Charles Fernandes De Oliveira","K1H","114.33","387.69","308.86",""
"Maxime Bottex","K1H","114.36","312.16","309.21",""
"Christophe Godinat","K1H","115.34","-","320.59",""
"Fabien Fritsch","K1H","115.46","312.31","321.98",""
"Philippe Godinat","K1H","116.09","-","329.3",""
"Pascal Philip","K1H","117.01","-","339.98",""
"Christophe Harding","K1H","117.53","336.83","346.02",""
"Antoine Leroy","K1H","117.86","290.5","349.85",""
"Anthony Oudot","K1H","118.89","285.12","361.82",""
"Jordan Bostoen","K1H","119.07","597.2","363.91",""
"Dylan Hirtz","K1H","119.32","-","366.81",""
"Jean Guyot","K1H","120.32","334.9","378.42",""
"Nathan Quittet","K1H","120.37","-","379",""
"Romain Gauthron","K1H","120.85","-","384.58",""
"Robin Malenfer","K1H","121.36","335.35","390.5",""
"Patrick Thevenin","K1H","121.65","366.72","393.87",""
"Cyril Gallezot","K1H","122.11","397.64","399.21",""
"Lucas Galmiche","K1H","122.45","-","403.16",""
"Gautier Boudat","K1H","122.94","-","408.85",""
"Sebastien Varin","K1H","123.08","314.41","410.48",""
"Baptiste Mouchet","K1H","124.59","-","428.01",""
"Alexis Chauville","K1H","125.2","801.94","435.1",""
"Victor Beau","K1H","126.2","-","446.71",""
"Vincent Herrenberger","K1H","128.47","-","473.07",""
"Romain Pergaud","K1H","128.87","568.51","477.72",""
"Nicolas Abel","K1H","129.61","-","486.31",""
"Guillaume Wiss","K1H","129.8","-","488.52",""
"Baptiste Maes","K1H","130.03","459.46","491.19",""
"Antoine Esseric","K1H","131.16","-","504.31",""
