"Slalom Régional - Bazancourt Course 2","Bazancourt","Course 2","","2011-10-09","Régional","113"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Caroline Bourry","C1D","115.21","117.82","291.68",""
"Caroline Scherer","C1D","116.59","295.84","306.51",""
"Marianne Herault","C1D","122.11","346.3","365.83",""
"Emma Maujean","C1D","126.34","350.97","411.29",""
"Elise Rousseau","C1D","143.06","585.78","590.96",""
"Laurene Cougnet","C1D","147.07","-","634.06",""
"Margaux Bandel","C1D","149.73","-","662.64",""
"Mathilde Bouquin","C1D","158.34","1557.8","755.15",""
"Emilien Kempf","C1H","98.28","61.01","240.51",""
"Quentin Moreaux","C1H","100.51","248.4","267.44",""
"Philippe Thevenin","C1H","100.53","182.44","267.68",""
"Silvere Desongins","C1H","106.75","440.0","342.8",""
"Loic Bourgeois","C1H","107.01","332.88","345.93",""
"Philippe Senechal","C1H","107.04","235.95","346.3",""
"Louis Savart","C1H","110.29","373.04","385.55",""
"Charles Dampeyrou","C1H","110.45","386.86","387.48",""
"Pierre-yves Bernard","C1H","113.5","435.43","424.31",""
"Nathan Robert","C1H","113.92","-","429.38",""
"Christopher Lucas","C1H","116.62","521.87","462.0",""
"Germain Carre","C1H","126.81","-","585.05",""
"Joe Cook","C1H","127.73","567.75","596.17",""
"Pierre Francois","C1H","132.07","-","648.58",""
"Corentin Lacoste","C1H","133.06","811.48","660.53",""
"Batiste Morin","C1H","138.51","-","726.34",""
"Kilian Henique","C1H","148.42","1150.41","846.02",""
"Justine Cougnet-Celine Roulot","C2D","143.15","560.63","505.78",""
"Celia Cuasante-Louise Muller","C2D","195.32","-","1035.01",""
"Emilien Kempf-Silvere Desongins","C2H","104.01","-","252.61",""
"Nathan Robert-Quentin Robert","C2H","106.17","236.4","277.51",""
"Philippe Thevenin-Patrick Thevenin","C2H","107.21","260.91","289.5",""
"Florent Rambaud-Jeremy Boisgibault","C2H","121.51","-","454.35",""
"Pierre-yves Bernard-Charles Dampeyrou","C2H","122.98","568.2","471.29",""
"Romain Bertrand-Ludovic Ngo","C2H","126.2","547.53","508.41",""
"Guillaume Cochut-Matthieu Walfard","C2H","126.61","413.04","513.14",""
"Mickael Dubois-Pierre Emmanuel Ravet","C2H","141.11","-","680.29",""
"Yohan Marck-Laurent Dupuis","C2H","141.65","-","686.52",""
"Sebastien Varin-Romain Pergaud","C2H","143.31","-","705.65",""
"Kilian Henique-Andreas Pintaux","C2H","168.92","-","1000.87",""
"Emma Maujean-Louis Savart","C2M","130.62","415.43","457.28",""
"Alexandre Lambert-Sarah Rothenbuhler","C2M","141.79","-","577.31",""
"Zelie Wendling-Nicolas Abel","C2M","143.42","-","594.82",""
"Margaux Bandel-Pierre Francois","C2M","155.75","-","727.33",""
"Caroline Bourry","K1D","97.26","27.28","145.04",""
"Claire Gaigeot","K1D","98.06","162.97","154.02",""
"Lea Gaigeot","K1D","101.64","189.57","194.19",""
"Melanie Ragaru","K1D","101.73","121.91","195.2",""
"Justine Cougnet","K1D","112.98","268.08","321.44",""
"Laurene Cougnet","K1D","116.43","322.39","360.15",""
"Emma Maujean","K1D","116.82","269.03","364.54",""
"Elise Rousseau","K1D","118.12","378.59","379.12",""
"Zelie Wendling","K1D","118.53","388.04","383.72",""
"Marianne Herault","K1D","118.57","298.43","384.17",""
"Celine Roulot","K1D","118.93","307.35","388.21",""
"Caroline Scherer","K1D","120.04","849.48","400.66",""
"Sarah Rothenbuhler","K1D","120.39","296.21","404.59",""
"Margaux Bandel","K1D","126.14","498.19","469.11",""
"Agnes Gigan","K1D","128.04","692.06","490.44",""
"Clothilde Charbeaux","K1D","129.21","-","503.56",""
"Mathilde Bouquin","K1D","129.57","494.06","507.61",""
"Julie Maillot","K1D","135.67","669.07","576.06",""
"Lea Cuasante","K1D","137.29","1155.06","594.24",""
"Celia Cuasante","K1D","137.76","-","599.52",""
"Louise Muller","K1D","147.1","865.76","704.32",""
"Sullivan Porcher","K1H","87.34","150.84","161.13",""
"Quentin Moreaux","K1H","87.81","146.85","167.09",""
"Silvere Desongins","K1H","87.92","111.54","168.49",""
"Jean Christophe Boivin","K1H","89.15","-","184.08",""
"Romain Bertrand","K1H","91.23","166.74","210.46",""
"Pierre Dampeyrou","K1H","92.07","215.2","221.11",""
"Emilien Kempf","K1H","94.37","238.34","250.27",""
"Gaspard Gindt","K1H","94.64","230.34","253.7",""
"Matthieu Walfard","K1H","96.56","215.99","278.04",""
"Laurent Dupuis","K1H","98.01","282.95","296.43",""
"Ludovic Ngo","K1H","98.35","359.55","300.74",""
"Eddy Cassard","K1H","98.92","240.93","307.97",""
"Robin Pilard","K1H","99.28","269.69","312.53",""
"Louis Savart","K1H","100.14","258.14","323.44",""
"Germain Carre","K1H","102.32","-","351.08",""
"Jeremy Boisgibault","K1H","102.71","316.31","356.03",""
"Florent Rambaud","K1H","103.15","281.22","361.61",""
"Pierre Francois","K1H","103.26","347.47","363.0",""
"Sebastien Varin","K1H","103.53","314.41","366.43",""
"Christophe Harding","K1H","104.37","325.94","377.08",""
"Adrien Barlier","K1H","104.68","394.16","381.01",""
"Yohan Marck","K1H","104.81","295.72","382.66",""
"Guillaume Cochut","K1H","105.07","328.65","385.95",""
"Dylan Garin","K1H","106.4","366.46","402.82",""
"Guillaume Lourette","K1H","107.48","-","416.51",""
"Joe Cook","K1H","108.01","430.18","423.23",""
