"Slalom Régional - Moulin de Veigne - 2011-11-19","Course 1","2011-11-19","Régional","215"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Claire Landrin","C1D","116.82","80.73","208.34",""
"Caroline Bourry","C1D","120.45","117.82","247.42",""
"Pauline Gentilhomme","C1D","121.67","234.73","260.55",""
"Lucie Baudu","C1D","122.25","200.3","266.8",""
"Josepha Longa","C1D","128.51","-","334.19",""
"Laurine Naveau","C1D","130.46","370.47","355.17",""
"Claire Moal","C1D","132.01","369.06","371.86",""
"Manon Caveribere","C1D","134.89","-","402.87",""
"Flora Huvelin","C1D","136.44","-","419.55",""
"Lou Renaud","C1D","147.11","564.09","534.41",""
"Camille Grezard","C1D","149.13","440.86","556.16",""
"Angele Picco","C1D","188.5","-","979.98",""
"Lou Galliot","C1D","201.45","-","1119.38",""
"Kevin Marquais","C1H","95.15","128.87","101.88",""
"Kilian Foulon","C1H","95.49","20.4","106",""
"Charly Chassigneux","C1H","96.4","21.3","117",""
"Paul Tallet Pinet","C1H","99.81","151.15","158.26",""
"Yann Basille","C1H","99.9","160.47","159.35",""
"Boris Nedelec","C1H","101.59","150.28","179.79",""
"Christophe Augu","C1H","102.14","201.61","186.45",""
"Henri Despont","C1H","102.25","254.96","187.78",""
"Aurelien Ballandras","C1H","104.75","205.68","218.02",""
"Philippe Thevenin","C1H","105.6","177.82","228.3",""
"Fabien Tournadre","C1H","107.94","162.85","256.61",""
"Teddy Poulard","C1H","109.59","221.64","276.57",""
"Alexandre Paulais","C1H","110.9","279.2","292.42",""
"Vincent Froger","C1H","111.08","252.88","294.59",""
"Vincent Lemonnier","C1H","111.44","241.55","298.95",""
"Joffrey Lemeux","C1H","111.92","273.9","304.76",""
"Yves Marechal","C1H","113.36","288.77","322.18",""
"Benjamin Thouvignon","C1H","113.92","273.59","328.96",""
"Pierre Bontoux","C1H","114","-","329.92",""
"Jeremy Le Rouzic","C1H","115.4","277.07","346.87",""
"Matthieu Basset","C1H","116.39","237.48","358.84",""
"Yann Gudefin","C1H","117.34","338.56","370.33",""
"Adrien Picco","C1H","118.86","-","388.72",""
"Nathan Rene Corail","C1H","120.13","397.16","404.09",""
"Stephane Odot","C1H","121.09","344.57","415.7",""
