"Slalom Régional - St Barthélémy / Ploufragan - 2011-12-18 Course 1","St Barthélémy / Ploufragan","Course 1","","2011-12-18","Régional","175"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Estelle Hellard","C1D","129.91","-","298.09",""
"Heloise Geffray","C1D","137.28","-","366.23",""
"Camille Prigent","C1D","138.08","349.72","373.63",""
"Laura Rocher","C1D","138.14","-","374.18",""
"Margaux Henry","C1D","142.3","-","412.64",""
"Marie-francoise Prigent","C1D","147.31","346.17","458.96",""
"Pauline Richard","C1D","166.93","-","640.36",""
"Adele Renard","C1D","254.62","-","1451.11",""
"Jodi Wheeler","C1D","268.75","-","1581.74",""
"Gaetan Le Henaff","C1H","103.41","36.02","171.45",""
"Erwan Perron","C1H","108.3","190.57","222.26",""
"Morgan Vourch","C1H","108.54","-","224.75",""
"Jean Pierre Bourhis","C1H","110.5","195.89","245.12",""
"Boris Nedelec","C1H","111.78","139.67","258.42",""
"Pierre Mikolajczak","C1H","111.85","-","259.15",""
"Malo Poles","C1H","113.84","242.67","279.82",""
"Melenn Aubry","C1H","113.97","198.73","281.18",""
"Franck Delachair","C1H","114.97","269.72","291.56",""
"Corentin Oulhen","C1H","116.59","235.44","308.4",""
"Florian Helen","C1H","118.68","-","330.12",""
"Liam Jegou","C1H","119.16","148.72","335.1",""
"Baptiste Le Poncin","C1H","120.26","244.57","346.53",""
"Paul-antoine Henry","C1H","121.44","312.8","358.79",""
"Clement Le Moal","C1H","121.53","-","359.73",""
"Ewen Legrand","C1H","123.0","303.73","375.0",""
"Denis Voisin","C1H","123.96","-","384.97",""
"Alan Dollo","C1H","126.95","-","416.04",""
"Gaylord Crochard","C1H","127.48","321.02","421.55",""
"Florian Joly","C1H","128.31","367.08","430.17",""
"David Hamon","C1H","129.26","-","440.04",""
"Jules Chaumet","C1H","130.93","-","457.39",""
"Antoine Mazeau","C1H","131.31","417.66","461.34",""
"Nathan Chaumier","C1H","132.66","-","475.37",""
"Maxime Lignereux","C1H","133.18","524.07","480.77",""
"Julien Caillarec","C1H","133.22","419.57","481.18",""
"Yves Broudic","C1H","134.56","-","495.11",""
"Thomas Calvary","C1H","136.35","-","513.71",""
"Loick Le Cun","C1H","139.44","-","545.81",""
"Simon Seuru","C1H","140.86","440.18","560.56",""
"Hugo Guilleray","C1H","141.12","-","563.27",""
"Valentin Feroc","C1H","142.95","-","582.29",""
"Gwendal Pariscoat","C1H","143.65","-","589.56",""
"Francois Madec","C1H","148.09","413.29","635.69",""
"Vincent Dubois","C1H","154.5","489.2","702.29",""
"Emmanuel L'anton","C1H","155.44","-","712.06",""
"Camille Prigent-Margaux Henry","C2D","153.64","-","437.94",""
"Yves Prigent-Loic Kervella","C2H","110.95","106.24","197.4",""
"Romain Guyomard-Solen Le Bourles","C2H","123.56","-","322.46",""
"Alan Dollo-Leo Le Druillennec","C2H","123.95","-","326.33",""
