"Sélectif Régional - Cesson Sévigné Course 1","Cesson Sévigné","Course 1","","2012-01-14","Régional","205"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Manon Caveribere","C1D","143.78","381.44","244.0",""
"Lucie Baudu","C1D","144.52","200.3","250.7",""
"Pauline Gentilhomme","C1D","146.62","199.01","269.68",""
"Claire Moal","C1D","148.52","338.98","286.86",""
"Lisa Marechal","C1D","151.92","338.15","317.62",""
"Valerie Sibioude","C1D","153.12","292.48","328.47",""
"Marie-francoise Prigent","C1D","161.25","346.17","402.0",""
"Aurelie Le Fee","C1D","171.87","657.14","498.04",""
"Camille Prigent","C1D","196.81","343.12","723.58",""
"Edern Le Ruyet","C1H","107.18","6.81","33.01",""
"Thibaud Vielliard","C1H","107.61","13.13","37.39",""
"Simon Le Friec","C1H","111.13","21.5","73.16",""
"Kilian Foulon","C1H","111.79","20.4","79.87",""
"Cedric Joly","C1H","112.53","79.5","87.39",""
"Lucas Hives - Sorin","C1H","115.56","68.23","118.18",""
"Jeremie Gouello","C1H","119.02","-","153.34",""
"Aurelien Ballandras","C1H","121.25","205.68","176.01",""
"Nicolas Coudert","C1H","123.04","271.08","194.2",""
"Cedric Forgit","C1H","123.14","181.68","195.22",""
"Henri Despont","C1H","123.26","178.79","196.44",""
"Thibaut Perroteau","C1H","123.37","236.2","197.56",""
"Erwan Perron","C1H","123.81","190.45","202.03",""
"Corentin Oulhen","C1H","124.41","235.44","208.13",""
"Jean Pierre Bourhis","C1H","125.06","195.89","214.74",""
"Benjamin Soroka","C1H","125.54","233.89","219.61",""
"Melaine Pichard","C1H","125.57","-","219.91",""
"Yves Prigent","C1H","125.79","193.5","222.15",""
"Paskal Cloarec","C1H","126.61","197.64","230.49",""
"Boris Nedelec","C1H","131.7","139.67","282.22",""
"Yves Marechal","C1H","132.26","292.04","287.91",""
"Vincent Lemonnier","C1H","132.58","236.14","291.16",""
"Herve Busson","C1H","134.84","280.37","314.13",""
"Florian Joly","C1H","136.13","367.08","327.24",""
"Charles Dampeyrou","C1H","138.56","356.36","351.94",""
"Francois Madec","C1H","139.38","413.29","360.27",""
"Brian Pieddefer","C1H","140.11","276.54","367.69",""
"Pierre-yves Bernard","C1H","146.39","373.21","431.51",""
"Theo Quenouillere","C1H","146.52","404.65","432.84",""
"Clement Cierocki","C1H","153.26","500.81","501.34",""
"Damien Sibioude","C1H","154.04","620.16","509.26",""
"Damien Jacques","C1H","154.66","398.14","515.56",""
"Jerome Georges","C1H","155.45","-","523.6",""
"Valentin Feroc","C1H","161.4","560.6","584.06",""
"Simon Seuru","C1H","162.37","440.18","593.92",""
"Vincent Dubois","C1H","163.25","489.2","602.86",""
"Victor Desclos-le Peley","C1H","163.81","-","608.56",""
"Gaetan Le Henaff","C1H","168.11","36.02","652.26",""
"Basile Desclos","C1H","177.47","-","747.38",""
"Cedric Jegouzo","C1H","187.45","416.56","848.81",""
"Teddy Poulard","C1H","188.24","221.64","856.84",""
"Yannick Courtay","C1H","210.3","474.2","1081.04",""
"Ronan Gouzien","C1H","215.01","-","1128.9",""
"Benoit Guillaume-Edern Le Ruyet","C2H","116.81","41.64","76.93",""
"Yves Prigent-Loic Kervella","C2H","121.09","106.24","118.45",""
"Romain Lecrenais-perrel-Lucas Hives - Sorin","C2H","123.77","194.46","144.44",""
"Nowan Bertin-Tanguy Le Marec","C2H","128.66","208.08","191.89",""
"Gael Prodeau-Aurelien Ballandras","C2H","133.39","207.88","237.78",""
"Dimitri Etienne-Francois Gillot","C2H","134.12","273.68","244.85",""
"Florian Joly-Cedric Joly","C2H","134.97","-","253.1",""
"Julien Rocaboy-Melaine Pichard","C2H","135.02","-","253.58",""
"Jonas Turmeau-Kevin Lemenaheze","C2H","135.67","353.97","259.89",""
"Lorin Dumont-Nicolas Le Belleguic","C2H","140.88","386.51","310.44",""
"Benjamin Soroka-Edouard Gracias","C2H","143.13","257.37","332.26",""
"Thibault Marchand-Louison Turmeau","C2H","143.96","336.28","340.32",""
"Vincent Dubois-Alexis Pernelle","C2H","145.96","-","359.72",""
"Basile Desclos-Victor Desclos-le Peley","C2H","157.53","512.79","471.96",""
"Ludovic Gaignon-Charles Bailly","C2H","157.6","665.45","472.64",""
"Pierre-yves Bernard-Charles Dampeyrou","C2H","159.71","433.57","493.11",""
"Cedric Joly-Lou Renaud","C2M","139.76","-","207.65",""
"Nicolas Coudert-Aurelie Le Fee","C2M","145.67","292.94","261.09",""
"Teddy Poulard-Alize Bachelot","C2M","152.63","447.4","324.03",""
"Florian Joly-Anais Pignet","C2M","185.53","-","621.57",""
"Lucie Baudu","K1D","119.87","23.04","75.74",""
"Lise Vinet","K1D","122.05","141.75","96.33",""
"Camille Prigent","K1D","122.82","184.82","103.59",""
"Pauline Gentilhomme","K1D","123.91","113.88","113.89",""
"Claire Moal","K1D","125.92","113.9","132.88",""
"Valerie Sibioude","K1D","128.07","115.25","153.17",""
"Lea Gaigeot","K1D","129.14","168.23","163.28",""
"Flora Huvelin","K1D","129.57","153.95","167.35",""
"Sarah Despres","K1D","129.66","124.81","168.19",""
"Lou Renaud","K1D","131.56","178.03","186.14",""
"Marianne Bercon","K1D","131.96","201.76","189.91",""
"Manon Caveribere","K1D","132.31","212.24","193.21",""
"Claire Gaigeot","K1D","132.94","153.51","199.17",""
"Sandrine Kerneis","K1D","135.87","193.67","226.84",""
"Elodie Le Nechet","K1D","135.99","236.07","227.97",""
"Suzy Merand","K1D","136.12","278.25","229.2",""
"Marie-francoise Prigent","K1D","136.7","209.04","234.67",""
"Lisa Marechal","K1D","136.73","232.24","234.96",""
"Oriane Pottier","K1D","141.79","250.05","282.74",""
"Pauline Bercon","K1D","142.64","220.0","290.77",""
"Solene Kerneis","K1D","142.97","256.24","293.89",""
"Alize Bachelot","K1D","146.03","257.43","322.78",""
"Aurelie Le Fee","K1D","148.71","365.8","348.1",""
"Adele Renard","K1D","154.43","432.65","402.11",""
"Maiwenn Le Floc'h","K1D","161.95","365.41","473.13",""
"Anais Pignet","K1D","162.8","457.13","481.16",""
"Melanie Chotard","K1D","181.49","405.76","657.66",""
"Goulwen Chapelier","K1H","102.37","19.08","36.15",""
"Oswald Besch","K1H","102.99","14.76","42.77",""
"Romain Lecrenais-perrel","K1H","104.41","78.27","57.92",""
"Benoit Guillaume","K1H","104.82","5.44","62.3",""
"Samuel Lhegu","K1H","105.24","46.0","66.78",""
"Yves Prigent","K1H","106.39","48.96","79.05",""
"Herve Busson","K1H","107.71","63.24","93.14",""
"Thibaud Vielliard","K1H","108.34","97.27","99.86",""
"Mathys Huvelin","K1H","108.75","54.59","104.24",""
"Nicolas Veillard","K1H","108.84","40.5","105.2",""
"Valentin Brindeau","K1H","109.32","108.28","110.32",""
"Gael Prodeau","K1H","109.36","84.1","110.74",""
"Tanguy Le Marec","K1H","109.5","65.05","112.24",""
"Jonas Turmeau","K1H","109.72","73.05","114.59",""
"Vincent Lemonnier","K1H","110.23","90.82","120.03",""
"Kilian Foulon","K1H","111.4","122.66","132.51",""
"Boris Pernelle","K1H","111.5","83.28","133.58",""
"Kevin Lemenaheze","K1H","111.6","121.16","134.65",""
"Boris Sacre","K1H","112.0","69.22","138.92",""
"Sebastien Kerneis","K1H","113.37","122.17","153.54",""
"Thibault Marchand","K1H","113.82","193.21","158.34",""
"Melaine Pichard","K1H","114.5","136.84","165.6",""
"Loic Kervella","K1H","115.05","107.54","171.46",""
"Pol Oulhen","K1H","115.67","179.48","178.08",""
"Guillaume Blin","K1H","116.45","173.4","186.4",""
"Manuel Coquelin","K1H","116.48","150.92","186.72",""
"Pierre Yves Tanguy","K1H","116.86","179.67","190.78",""
"Pierre Audouin","K1H","117.05","178.81","192.81",""
"Pol Euzenes","K1H","117.1","160.2","193.34",""
"Theo Quenouillere","K1H","117.17","205.5","194.09",""
"Cedric Jegouzo","K1H","117.34","179.52","195.9",""
"Julien Dosse","K1H","117.36","113.54","196.12",""
"Frederic Castryck","K1H","117.42","-","196.76",""
"Arnaud Gallois","K1H","117.6","148.08","198.68",""
"Nowan Bertin","K1H","117.6","111.94","198.68",""
