"Championnat Nationale 1 - Manche 2 - Lannion - Stade d'Eau Vive - Course unique - 2012-02-26","Lannion - Stade d'Eau Vive","Course unique","","2012-02-26","Nationale 1","113"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Oriane Rebours","C1D","124.69","66.43","40.34",""
"Claire Jacquet","C1D","126.39","33.71","45.65",""
"Annaelle Meheut","C1D","131.65","118.59","62.11",""
"Claire Landrin","C1D","134.66","80.68","71.52",""
"Cecile Tixier","C1D","137.88","88.42","81.59",""
"Clara Dos Santos","C1D","149.27","158.26","117.21",""
"Jonathan Marc","C1H","103.62","10.74","14.56",""
"Pierre Antoine Tillard","C1H","104.22","13.66","16.67",""
"Martin Thomas","C1H","105.02","10.54","19.48",""
"Thibaud Vielliard","C1H","105.4","13.13","20.82",""
"Sebastien De Kerleau","C1H","106.29","20.82","23.95",""
"Louison Tanet","C1H","106.51","24.5","24.72",""
"Thibault Blaise","C1H","107.27","46.96","27.39",""
"Kilian Foulon","C1H","107.34","21.47","27.64",""
"Simon Le Friec","C1H","107.57","22.31","28.45",""
"Gaetan Le Henaff","C1H","107.68","36.02","28.83",""
"Nicolas Scianimanico","C1H","108.31","30.79","31.05",""
"Marc Biazizzo","C1H","108.63","8.39","32.17",""
"Antoine Runet","C1H","108.89","37.2","33.09",""
"Gireg Hamoniaux","C1H","109.87","23.25","36.53",""
"Maxime Perron","C1H","109.94","21.13","36.78",""
"Evence Granger","C1H","110.09","19.96","37.31",""
"Charly Chassigneux","C1H","110.72","21.3","39.52",""
"Quentin Bove","C1H","111.41","93.42","41.94",""
"Emilien Kempf","C1H","111.66","53.47","42.82",""
"Jean Freri","C1H","111.88","52.88","43.59",""
"Medhi Deguil","C1H","112.29","41.13","45.04",""
"Herve Chevrier","C1H","112.82","3.72","46.9",""
"Lucas Hives - Sorin","C1H","113.27","60.55","48.48",""
"Xavier Sucker","C1H","113.53","63.93","49.4",""
"Leo Thomas","C1H","115.01","29.88","54.6",""
"Cedric Joly","C1H","115.99","55.94","58.04",""
"Emeric Bertrand","C1H","118.35","54.93","66.34",""
"Francois Hemidy","C1H","169.32","112.14","245.49",""
"Mathieu Fougere-Thomas Fougere","C2H","109.94","24.04","19.21",""
"Loic Brunel-Medhi Deguil","C2H","112.98","43.79","29.41",""
"Yves Prigent-Loic Kervella","C2H","115.79","69.87","38.84",""
"Riwan Guillermic-Alexandre Paulais","C2H","117.1","72.64","43.24",""
"Armand Rauturier-Nicolas Labat","C2H","117.49","37.97","44.54",""
"Charly Chassigneux-Fabien Tournadre","C2H","123.64","71.19","65.18",""
"Benjamin Reig-Cyril Boulet","C2H","130.23","77.79","87.29",""
"Carole Bouzidi","K1D","107.79","8.65","2.4",""
"Marie-zelia Lafont","K1D","109.48","7.28","7.92",""
"Lucie Baudu","K1D","111.43","19.02","14.29",""
"Nouria Newman","K1D","111.8","11.59","15.49",""
"Estelle Mangin","K1D","112.42","4.36","17.52",""
"Caroline Loir","K1D","112.45","46.31","17.62",""
"Pauline Guiet","K1D","113.37","15.62","20.62",""
"Estelle Hellard","K1D","113.94","20.65","22.48",""
"Laura Combot","K1D","115.5","44.35","27.58",""
"Claire Jacquet","K1D","116.36","30.91","30.39",""
"Josepha Longa","K1D","116.56","36.97","31.04",""
"Gaelle Tosser-roussey","K1D","116.83","23.14","31.92",""
"Annaelle Meheut","K1D","117.55","29.19","34.28",""
"Clementine Geoffray","K1D","117.61","50.22","34.47",""
"Sarah Lyphout","K1D","119.34","34.41","40.12",""
"Jihane Samlal","K1D","120.04","83.88","42.41",""
"Elise Pierron","K1D","120.34","24.38","43.39",""
"Julie Neime","K1D","121.58","92.05","47.44",""
"Caroline Bourry","K1D","122.05","27.28","48.97",""
"Mylene Ferry","K1D","123.99","60.68","55.31",""
"Sebastien Combot","K1H","94.74","10.95","0.0",""
"Thomas Bersinger","K1H","95.24","2.33","1.85",""
"Samuel Hernanz","K1H","95.82","-","3.99",""
"Benoit Peschier","K1H","96.18","1.24","5.31",""
"Benoit Guillaume","K1H","96.26","5.44","5.61",""
"Bastien Damiens","K1H","96.28","0.51","5.68",""
"Benjamin Buys","K1H","97.57","13.18","10.44",""
"Yann Le Govic","K1H","98.29","10.92","13.1",""
"Benjamin Boukpeti","K1H","98.46","22.27","13.73",""
"Hugo Cailhol","K1H","98.83","8.94","15.09",""
"Ludovic Di Nisi","K1H","99.55","5.78","17.75",""
"Benjamin Travostino","K1H","99.7","4.2","18.31",""
"Quentin Bove","K1H","99.74","18.96","18.45",""
"Thomas Rosset","K1H","99.9","8.67","19.04",""
"Vivien Colober","K1H","99.93","10.64","19.15",""
"Jeremy Cremonesi","K1H","99.97","19.58","19.3",""
"Oswald Besch","K1H","100.19","14.78","20.11",""
"Antoine Launay","K1H","100.57","7.64","21.52",""
"Mathieu Biazizzo","K1H","100.91","6.17","22.77",""
"Julien Dekarczyk","K1H","101.26","10.75","24.06",""
"Louis Georges Lafont","K1H","101.49","18.58","24.91",""
"Enrick Cunsolo","K1H","101.56","24.06","25.17",""
"Andy Pajani","K1H","101.99","19.62","26.76",""
"Jonathan Delagnes","K1H","102.43","25.48","28.38",""
"Goulwen Chapelier","K1H","102.94","19.15","30.26",""
"Kevin Schultz","K1H","102.97","45.9","30.37",""
"Bryan Seiler","K1H","103.02","21.96","30.56",""
"Arnaud Lapeze","K1H","103.47","22.58","32.22",""
"Tom Scianimanico","K1H","103.65","34.0","32.88",""
"Romain Chabrol","K1H","103.71","22.25","33.11",""
"Benoit Letellier","K1H","104.15","45.8","34.73",""
"Emmanuel Walczak","K1H","104.24","11.51","35.06",""
"Pierre Marie Roussel","K1H","104.31","22.45","35.32",""
"Quentin Burgi","K1H","104.31","7.7","35.32",""
"Nicolas Labat","K1H","104.56","21.3","36.24",""
"Thibaud Lacour","K1H","104.88","38.36","37.42",""
"Yves Prigent","K1H","104.93","48.96","37.61",""
"Frederic Walczak","K1H","105.06","10.23","38.09",""
"Benjamin Thiboust","K1H","105.17","45.11","38.49",""
"William Desnos","K1H","105.23","35.1","38.71",""
"Christophe Marechal","K1H","105.65","18.67","40.26",""
"Martin Dougoud","K1H","106.48","29.98","43.33",""
"Christophe Augu","K1H","106.58","15.3","43.7",""
"Jerome Olhagaray","K1H","106.77","43.13","44.4",""
"Mathys Huvelin","K1H","107.07","43.55","45.51",""
"Nicolas Rebours","K1H","109.98","42.85","56.25",""
"Ronan Lucas","K1H","111.32","23.55","61.19",""
"Vincent Reiter","K1H","113.3","31.07","68.5",""
"Jimy Bercon","K1H","148.42","1.0","198.11",""
"Samuel Lhegu","K1H","152.54","38.03","213.32",""
"Ewen Legrand","K1H","162.09","47.31","248.56",""
"Renaud Doby","K1H","199.05","15.65","384.97",""
