"Championnat Régional - Montignac - 2012-04-15","Course 1","2012-04-15","Régional","145"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Ella Bregazzi","C1D","117.26","228.49","236.11",""
"Justine Lorin","C1D","118.39","249.03","247.43",""
"Manon Sacre","C1D","119.5","251.03","258.53",""
"Sarah Lyphout","C1D","120.47","359.93","268.25",""
"Emilie Chamouleau","C1D","123.93","256.4","302.89",""
"Charlene Lambert","C1D","193.68","-","1001.35",""
"Emma Quesada","C1D","Nt","-","-",""
"Pierre Antoine Tillard","C1H","93.07","14.23","109.26",""
"Romain Caillon","C1H","100.66","169.95","194.68",""
"Frederic Boob","C1H","101.51","163.14","204.24",""
"Jason Brothier","C1H","101.63","103.87","205.59",""
"Christophe Marechal","C1H","102.26","-","212.68",""
"Merwan Fliou","C1H","102.38","238.88","214.03",""
"Dimitri Marino","C1H","103.68","151.75","228.66",""
"Cedric Forgit","C1H","103.87","187.14","230.8",""
"Jimmy Besson","C1H","103.93","208.09","231.47",""
"Christian Boob","C1H","104.82","181.08","241.49",""
"Antoine Launay","C1H","105.06","-","244.19",""
"Mathieu Villeger","C1H","107.08","249.37","266.92",""
"Nicolas Labat","C1H","107.36","221.78","270.08",""
"Felix Merzeau","C1H","107.81","260.37","275.14",""
"Nathan Hossin","C1H","108.92","302.51","287.63",""
"Alexandre Dherbilly","C1H","109.22","256.01","291",""
"Philippe Niquet","C1H","109.78","274.88","297.3",""
"Maxime Texier","C1H","110.5","420.49","305.41",""
"Olivier Nonnet","C1H","112.01","-","322.4",""
"Jerome Blanchet","C1H","112.97","351.72","333.2",""
"Etienne Chauvin","C1H","113.48","352.27","338.94",""
"Jordan Rocdunos","C1H","113.81","283.32","342.65",""
"Remy Faucon","C1H","114","-","344.79",""
"Quentin Chauvin","C1H","114.44","346.84","349.74",""
"Arthur Huet","C1H","116.58","417.52","373.84",""
"Antoine Fourgeaud","C1H","117.65","-","385.88",""
"Bertrand Maillard","C1H","122.69","-","442.59",""
"Teddy Besson","C1H","124.9","573.45","467.45",""
"Cyril Launay","C1H","129.92","818.7","523.95",""
"Dylan Besson","C1H","135.86","-","590.79",""
"Daniel Bregazzi","C1H","141.08","-","649.54",""
"Yoann Gottardo","C1H","Nt","-","-",""
"Kevin Bernard","C1H","Nt","-","-",""
"Amelie Perier-Manon Sacre","C2D","137.61","392.44","362.72",""
"Christian Boob-Frederic Boob","C2H","103.13","124.23","169.72",""
"Yoann Gottardo-Pierre Antoine Tillard","C2H","105","-","189.81",""
"Cedric Forgit-Romain Caillon","C2H","106.1","-","201.62",""
"Jason Brothier-Romain Gaillard","C2H","110.53","287.79","249.21",""
"Damien Launay-Antoine Launay","C2H","112.95","-","275.21",""
"Nicolas Labat-Ludovic Di Nisi","C2H","119.48","-","345.35",""
"Tom Hibberd-Gijs Zoetbrood","C2H","122.15","314.85","374.02",""
"Maxime Barrault-Theo Desvignes","C2H","137.22","-","535.9",""
"Dylan Besson-Teddy Besson","C2H","146.12","627.39","631.51",""
"Ludovic Di Nisi-Martin Thomas","C2H","Nt","-","-",""
"Emilie Chamouleau-Christophe Marechal","C2M","113.2","175.36","195.45",""
"Sarah Lyphout-Antoine Egreteau","C2M","119.16","-","255.13",""
"Celia Jodar-Cedric Forgit","C2M","120.67","-","270.26",""
"Justine Lorin-Lucas Marchais","C2M","137.18","354.81","435.57",""
"Etienne Chauvin-Helene Chauvin","C2M","149.24","421.6","556.35",""
"Philippe Niquet-Sophie Delage","C2M","172.83","497.97","792.56",""
"Corentin Donnou-Lea Krysiak","C2M","199.06","-","1055.22",""
"Franck Krzyczkowski-Alison Drouet","C2M","Nt","-","-",""
"Sarah Lyphout","K1D","100.35","34.38","111.24",""
"Emilie Chamouleau","K1D","106.06","61.48","170.95",""
"Frederique Merle","K1D","110.28","165.96","215.07",""
"Celia Jodar","K1D","111.92","172.41","232.22",""
"Manon Sacre","K1D","114.17","167.04","255.75",""
"Aenor Wahl","K1D","114.36","202.43","257.74",""
"Amelie Perier","K1D","117.4","175.85","289.53",""
"Ella Bregazzi","K1D","118.45","277.11","300.5",""
"Charlene Conchon","K1D","127.36","422.61","393.67",""
"Charlene Lambert","K1D","133","1099.33","452.65",""
"Pauline Regeon","K1D","134.86","492.76","472.1",""
"Angelique Chasseriault","K1D","143.18","699.68","559.1",""
"Lea Krysiak","K1D","203.11","-","1185.76",""
"Justine Lorin","K1D","Nt","-","-",""
"Antoine Launay","K1H","81.93","4.78","30",""
"Louis-maxime Main","K1H","83.19","59.66","44.89",""
"Ludovic Di Nisi","K1H","84.33","6.81","58.36",""
"Nicolas Labat","K1H","88.65","31.62","109.4",""
"Felix Merzeau","K1H","89.23","69.21","116.26",""
"Christophe Marechal","K1H","90.19","23.76","127.6",""
"Yoann Gottardo","K1H","90.22","83.74","127.96",""
"Damien Launay","K1H","91.56","73.36","143.79",""
"Thibault Dufour","K1H","92.37","115.43","153.36",""
"Olivier Nonnet","K1H","92.57","125.6","155.72",""
"Alexandre Dherbilly","K1H","94.15","104.14","174.39",""
"James Duvernoy","K1H","94.18","70.09","174.75",""
"Remy Faucon","K1H","96.36","167.56","200.51",""
"Philippe Niquet","K1H","96.73","217.47","204.88",""
"Thibaud Delaunay","K1H","97","149.54","208.07",""
"Valentin Cesbron","K1H","97.74","169.71","216.81",""
"Damien Souville","K1H","98.29","179.77","223.31",""
"Paul Messialle","K1H","98.43","131.4","224.96",""
"Alexandre Di Nisi","K1H","98.46","138.27","225.32",""
"Hugo Le Goff","K1H","99.12","157.76","233.12",""
"Corentin Moriniaux","K1H","100.34","250.61","247.53",""
"Damien Guyonnet","K1H","100.78","-","252.73",""
"Gaetan Guyonnet","K1H","101.29","-","258.76",""
"Romain Trotin","K1H","101.38","299.79","259.82",""
"Arthur Huet","K1H","101.47","231.48","260.89",""
"Etienne Chauvin","K1H","102.5","187.17","273.06",""
"Sebastien Larenaudie","K1H","103.3","245.34","282.51",""
"Adrien Verite","K1H","104.7","246.01","299.05",""
"Gijs Zoetbrood","K1H","105.83","272.74","312.4",""
"Guillaume Chasseriault","K1H","105.87","319.8","312.88",""
"Basile Pierre Eugene","K1H","105.87","262.45","312.88",""
"Jordan Rocdunos","K1H","107.29","191.35","329.65",""
"Antoine Fourgeaud","K1H","107.71","338.11","334.62",""
"Jean-philippe Brothier","K1H","108.5","375.21","343.95",""
"Maxime Barrault","K1H","108.79","328.35","347.38",""
"Axel Delage","K1H","109.12","374.43","351.28",""
"Quentin Chauvin","K1H","109.27","261.42","353.05",""
"Tom Le Goff","K1H","109.83","351.36","359.67",""
"Jerome Blanchet","K1H","110.06","327.97","362.39",""
"Tom Hibberd","K1H","110.19","274.08","363.92",""
"Cyril Launay","K1H","110.46","291.04","367.11",""
"Mathieu Villeger","K1H","110.48","-","367.35",""
"Jules Nicot","K1H","110.89","251.41","372.19",""
"Bertrand Maillard","K1H","111.26","466.06","376.56",""
"Maxime Charron","K1H","111.41","495.63","378.34",""
"Bastien Petit","K1H","112.76","370.15","394.29",""
"Florian Petit","K1H","113.06","-","397.83",""
"Marc Doreau","K1H","114.09","373.03","410",""
"Daniel Bregazzi","K1H","114.46","387.57","414.38",""
"Dylan Besson","K1H","119.6","526.37","475.11",""
"Lucas Marchais","K1H","120.01","260.97","479.95",""
"Dylan Sourisseau","K1H","122.35","525.05","507.6",""
"Nathan Hossin","K1H","123.34","-","519.3",""
"Valentin Soullard","K1H","123.34","-","519.3",""
"Yves Nicot","K1H","128.45","649.83","579.68",""
"Thierry Le Bonniec","K1H","128.75","628.82","583.23",""
"Patrick Desouche","K1H","132.44","964.2","626.83",""
"Julien Arlot","K1H","134.62","726.59","652.59",""
"Simon Courtin","K1H","136.96","730.53","680.24",""
"Romain Gaillard","K1H","141.97","174.93","739.44",""
"Pierre Dieusaert","K1H","144.2","-","765.79",""
"Maxime Texier","K1H","150.27","178.05","837.51",""
"Jordan Dieusaert","K1H","151.56","-","852.75",""
"Jules Reix","K1H","152.66","377.04","865.75",""
"Pierrick Dupre Micouleau","K1H","167.03","-","1035.55",""
"Alexandre Nardi","K1H","Nt","-","-",""
"Quentin Gombeau","K1H","Nt","-","-",""
"Teddy Besson","K1H","Nt","-","-",""
"Curtis Fallourd","K1H","Nt","-","-",""
"Mathis Besse","K1H","Nt","-","-",""
"Quentin Lyphout","K1H","Nt","-","-",""
"Clement Praille","K1H","Nt","-","-",""
