"Nationale 3 - Epinal - 2012-05-13 Course 2","Epinal","Course 2","","2012-05-13","Nationale 3","151"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Florianne Gautier","C1D","123.03","209.13","174.4",""
"Caroline Scherer","C1D","131.29","205.82","253.91",""
"Elodie Delavelle","C1D","146.56","423.95","400.91",""
"Carla Cerrutti - Bozzola","C1D","163.69","603.75","565.81",""
"Manon Galmiche","C1D","193.81","293.24","855.77",""
"Anne-sophie Biazizzo","C1D","198.73","288.21","903.13",""
"Yoan Del Rey","C1H","103.23","122.46","106.82",""
"Bertrand Gutierrez","C1H","104.45","129.65","120.02",""
"Andy Pajani","C1H","107.46","224.21","152.59",""
"Alexis Collin","C1H","107.77","211.1","155.94",""
"Anice Benhacine","C1H","107.82","141.97","156.48",""
"Silvere Desongins","C1H","108.11","256.32","159.62",""
"Guillaume Goury","C1H","108.44","216.35","163.19",""
"Simon Clerc","C1H","109.72","237.65","177.03",""
"Jerome Olhagaray","C1H","115.03","337.23","234.48",""
"Jean-baptiste Wolff","C1H","116.44","274.2","249.73",""
"Clement Travert","C1H","117.33","364.6","259.37",""
"Olivier Urbain","C1H","118.32","292.15","270.08",""
"Mathieu Douillet","C1H","118.79","262.94","275.16",""
"Nathan Robert","C1H","123.52","369.52","326.33",""
"Christopher Lucas","C1H","129.78","456.94","394.06",""
"Valentin Vibert","C1H","130.17","349.17","398.27",""
"Christophe Billaud","C1H","136.21","443.4","463.62",""
"Louis Savart","C1H","176.89","344.85","903.72",""
"Charlotte Abba-Manon Galmiche","C2D","161.85","356.6","460.85",""
"Armand Rakowski-Emmanuel Sarazin","C2H","108.1","146.11","106.35",""
"Olivier Bourgey-Andy Pajani","C2H","114.74","193.94","174.92",""
"Claude Menissier-Gerard Menissier","C2H","116.03","237.33","188.25",""
"Jean Baptiste Thiel-Pascal Ferry","C2H","116.35","222.99","191.55",""
"Emilien Kempf-Silvere Desongins","C2H","116.58","178.07","193.93",""
"Philippe Thevenin-Patrick Thevenin","C2H","117.47","238.47","203.12",""
"Nathan Robert-Quentin Robert","C2H","120.75","220.75","236.99",""
"Jerome Olhagaray-Jonathan Matern","C2H","128.4","260.66","315.98",""
"Marie Bourgey-Damien Ferraud","C2M","163.61","584.26","565.05",""
"Alexandre Lambert-Sarah Rothenbuhler","C2M","206.85","556.48","981.3",""
"Margaux Bandel-Pierre Francois","C2M","267.84","630.56","1568.43",""
"Charlotte Abba","K1D","113.23","166.13","128.29",""
"Laurine Grandadam","K1D","116.97","211.02","165.88",""
"Ophelia Lopes Marques","K1D","118.7","235.71","183.27",""
"Angelique Guilcher","K1D","119.33","236.9","189.61",""
"Marine Schmitt","K1D","120.2","232.5","198.36",""
"Caroline Scherer","K1D","123.4","333.14","230.53",""
"Carla Cerrutti - Bozzola","K1D","124.3","320.34","239.57",""
"Zelie Wendling","K1D","126.94","322.11","266.1",""
"Leonie Gachon","K1D","127.66","258.57","273.34",""
