"Nationale 3 - Issoire - 2012-06-03","Course 1","2012-06-03","Nationale 3","131"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lucie Prioux","C1D","148.89","280.64","339.17",""
"Lise Denat","C1D","233.74","404.19","1052.27",""
"Angele Picco","C1D","Nt","-","-",""
"Melanie Bordier","C1D","Nt","-","-",""
"Yoann Mourier","C1H","114.79","205.63","172.03",""
"Lucas Roisin","C1H","116.18","228.18","185.16",""
"Remi Parayre","C1H","117.48","208.69","197.44",""
"Antoine Lacour","C1H","117.75","216.27","199.99",""
"Nicolas Baudoin","C1H","124.87","324.42","267.23",""
"Joris Santoro","C1H","126.77","222.31","285.17",""
"Alexis Cordier","C1H","129.06","295.18","306.8",""
"Valentin Bigonet","C1H","131.38","276.78","328.72",""
"Ancelin Gourjault","C1H","132.04","347.06","334.95",""
"Axel Aillet","C1H","132.83","240.12","342.41",""
"Alexis Mercoirol","C1H","135.84","334.52","370.83",""
"Adrien Reinard","C1H","137.7","259.45","388.41",""
"Joe-marie Abousleiman","C1H","141.45","268.83","423.82",""
"Fabrice Roy","C1H","171.34","259.92","706.13",""
"Axel Del Negro","C1H","194.77","312.29","927.41",""
"Guillaume Graille","C1H","200.85","363.1","984.84",""
"Matthias Besse","C1H","203.66","350.99","1011.38",""
"Gurgen Brun","C1H","213.84","206.37","1107.53",""
"Thibaut Chadeyron","C1H","234.17","479.59","1299.54",""
"Ugo Rolland","C1H","242.41","394.44","1377.37",""
"Nicolas Boulesteix","C1H","Nt","-","-",""
"Loic Bartolomeu","C1H","Nt","-","-",""
"Pierre Dehaudt","C1H","Nt","-","-",""
"Francois Mouttou","C1H","Nt","-","-",""
"Kevin Wos","C1H","Nt","-","-",""
"Thibault Rouanet","C1H","Nt","-","-",""
"Theo Viens","C1H","Nt","-","-",""
"Lucie Prioux-Alice Lachaudru","C2D","Nt","-","-",""
"Yoann Mourier-Alexis Cordier","C2H","141.28","312.89","361.56",""
"Clement Rio-Lucas Roisin","C2H","154.78","281.52","483.27",""
"Ugo Rolland-Axel Rodriguez","C2H","257.9","414.16","1412.95",""
"Axel Aillet-Axel Del Negro","C2H","290.75","253.8","1709.1",""
"Anthony Poux-David Pordoy","C2H","426.46","467.3","2932.58",""
"Julien Money-Joe-marie Abousleiman","C2H","542.34","295.68","3977.28",""
"Baptiste Podor-Alex Piotte","C2H","Nt","-","-",""
"Antoine Dumaye-Edgar Prigent","C2H","Nt","-","-",""
"Alexis Mercoirol-Theo Viens","C2H","Nt","-","-",""
"Christophe Einsargueix-Sylvain Gaude","C2H","Nt","-","-",""
"Manon Prioux-Antoine Roux","C2M","137.51","310.82","243.53",""
"Cindy Coat-Gaetan Coat","C2M","Nt","-","-",""
"Emma Croisier","K1D","124.91","235.63","184.09",""
"Charlotte Issagarre","K1D","126.22","308.58","195.58",""
"Noa Bouchardon","K1D","143.09","285.12","343.63",""
"Oceane Michaud","K1D","149.67","268.29","401.38",""
"Charlene Tabourin","K1D","150.9","284.9","412.18",""
"Barbara Lassechere","K1D","151.9","323.37","420.96",""
"Laurie Anne Sabatier","K1D","161.21","373.67","502.66",""
"Clotilde Dumas","K1D","161.31","416.53","503.53",""
"Angele Picco","K1D","195.02","488.09","799.38",""
"Lolita Ferland","K1D","227.73","655.37","1086.44",""
"Alice Lachaudru","K1D","290.99","267.35","1641.61",""
"Paul Jean","K1H","102.52","158.97","104.55",""
"Romain Medale","K1H","105.55","160.39","134.6",""
"Vincent Alves","K1H","105.63","151.11","135.4",""
"Ancelin Gourjault","K1H","105.78","186.41","136.88",""
"Quentin Duhamel","K1H","105.91","197.35","138.17",""
"Benjamin Jacon","K1H","106.73","156.82","146.31",""
"Herve Clerc","K1H","107.32","198.17","152.16",""
"Erwan Marchais","K1H","107.6","188.11","154.93",""
"Mathieu Cheze","K1H","107.64","231.68","155.33",""
"Gaetan Coat","K1H","107.64","186.09","155.33",""
"Remi Parayre","K1H","107.87","176.4","157.61",""
"Antoine Beguer","K1H","107.94","193.18","158.3",""
"Guillaume Graille","K1H","108.08","171.43","159.69",""
"Audrick Ruiz","K1H","108.51","225.26","163.96",""
"Dimitri Durannot","K1H","108.85","-","167.33",""
"Nicolas Ciemniewski","K1H","109.64","192.38","175.16",""
"Tristan Levrien","K1H","110.28","170.97","181.51",""
"Christophe Prigent","K1H","110.49","192.37","183.59",""
"Julien Money","K1H","111.36","202.06","192.22",""
"Christophe Einsargueix","K1H","113.86","208.21","217.01",""
"Alex Piotte","K1H","115.68","241.25","235.06",""
"Vincent Garcia","K1H","116.06","171.05","238.83",""
"Fabien Lanao","K1H","116.43","197.29","242.5",""
"Pierre De La Morinerie","K1H","116.86","196.61","246.76",""
"Camille Balsac","K1H","117.1","294.32","249.14",""
"Yannis Brousset","K1H","118.7","251.36","265.01",""
"Benoit Jacquot-bertrand","K1H","119.37","268.99","271.66",""
"Raphael Larranaga","K1H","119.89","259.59","276.81",""
"Clement Rio","K1H","120.11","240.39","278.99",""
"Jacques Roisin","K1H","120.15","274.79","279.39",""
"Pierre Dehaudt","K1H","120.33","283.49","281.18",""
"Edgar Prigent","K1H","121.05","249.31","288.32",""
"Julien Guillerault","K1H","121.53","273.82","293.08",""
"Axel Rodriguez","K1H","123.36","213.02","311.22",""
"Anthony Randisi","K1H","123.5","365.66","312.61",""
"Vincent Gardere","K1H","123.98","303.61","317.37",""
"Paul Commenges","K1H","124.4","400.88","321.54",""
"Clement Sempastous","K1H","124.76","294.59","325.11",""
"Allan Cousset","K1H","125.07","331.67","328.18",""
"Matthias Besse","K1H","125.41","208.27","331.55",""
"Anthony Poux","K1H","126.18","330.97","339.19",""
"Antoine Dumaye","K1H","128.41","290.39","361.3",""
"Jonas Mignard","K1H","129.42","370.16","371.32",""
"Romain Delpui","K1H","131.42","325.29","391.15",""
"Hadrien Dunant","K1H","134.49","487.63","421.6",""
"Baptiste Podor","K1H","136.06","267.51","437.17",""
"Raphael Merlet","K1H","136.44","310.54","440.94",""
"Quentin Sablayrolles","K1H","139.23","750.77","468.61",""
"Alexandre Ribeaudeau","K1H","149.5","433.06","570.45",""
"Emilien Senneret","K1H","164.37","546.51","717.92",""
"Maxime Benay","K1H","165.73","558.56","731.41",""
"Vincent Gisbert","K1H","171.28","281.55","786.44",""
"David Pordoy","K1H","172.28","298.22","796.36",""
"Clement Brumont","K1H","173.58","311.59","809.25",""
"Julien Toussaint","K1H","183.72","388.11","909.81",""
"Pablo Cabeza  Macuso","K1H","194.21","289.37","1013.84",""
"Valentin Bigonet","K1H","210.32","173.41","1173.6",""
"Nicolas Boulesteix","K1H","249.73","311.7","1564.43",""
"Gabriel Chapoulie","K1H","258.45","617.34","1650.9",""
"Gauthier Vanden  Abeele","K1H","311.73","274.14","2179.28",""
"Olivier Mercier","K1H","325.93","543.67","2320.1",""
"Maurice Pubert","K1H","541.66","604.17","4459.48",""
"Kevin Delmouly","K1H","Nt","-","-",""
"Mathieu Ferreira","K1H","Nt","-","-",""
"Victor Niney","K1H","Nt","-","-",""
"Nicolas Vaz Da Costa","K1H","Nt","-","-",""
"Louis Benezit","K1H","Nt","-","-",""
"Benjamin Tindiliere","K1H","Nt","-","-",""
"Marc Cailhol","K1H","Nt","-","-",""
