"Nationale 3 - Sélestat Course 3","Sélestat","Course 3","","2012-06-03","Nationale 3","136"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Anne Traband","C1D","139.64","298.45","256.5",""
"Manon Galmiche","C1D","144.67","290.57","299.75",""
"Saskia De Bruijn","C1D","149.15","340.96","338.27",""
"Elodie Delavelle","C1D","151.26","404.59","356.41",""
"Marine Constant-haldric","C1D","160.93","463.69","439.55",""
"Ophelia Lopes Marques","C1D","163.84","447.48","464.57",""
"Jean Messialle","C1H","118.59","407.16","201.76",""
"Nathan Robert","C1H","119.5","258.32","210.55",""
"Andy Pajani","C1H","119.55","198.6","211.03",""
"Philippe Senechal","C1H","122.85","243.69","242.92",""
"Olivier Urbain","C1H","123.39","259.29","248.13",""
"Simon Clerc","C1H","123.51","204.0","249.3",""
"Francis Gaillard","C1H","123.83","334.21","252.38",""
"Antonin Elne","C1H","123.98","326.66","253.83",""
"Clement Travert","C1H","126.63","278.45","279.44",""
"Jeancharles Reby","C1H","127.64","191.78","289.2",""
"Jean-baptiste Wolff","C1H","128.41","239.91","296.64",""
"Thibaut Chariot","C1H","129.59","299.25","308.04",""
"Christopher Lucas","C1H","131.11","361.93","322.73",""
"Nicolas Eymaron","C1H","135.04","351.72","360.71",""
"Louis Savart","C1H","135.4","323.57","364.18",""
"Christophe Billaud","C1H","153.33","472.1","537.44",""
"Guillaume Goury","C1H","172.0","206.11","717.84",""
"Laurent Starck","C1H","182.17","353.44","816.1",""
"Olivier Bourgey-Andy Pajani","C2H","127.74","190.2","234.06",""
"Antoine Gaillard-Antonin Elne","C2H","131.69","275.72","270.49",""
"Margaux Bandel-Pierre Francois","C2M","175.04","623.78","560.87",""
"Alexandre Lambert-Sarah Rothenbuhler","C2M","177.69","593.51","583.66",""
"Claire Haab","K1D","120.31","184.74","136.07",""
"Elodie Delavelle","K1D","121.71","204.25","148.64",""
"Angelique Guilcher","K1D","122.47","217.61","155.47",""
"Phenicia Dupras","K1D","125.77","222.66","185.1",""
"Leonie Gachon","K1D","132.94","257.01","249.47",""
"Louise Bichet","K1D","134.0","431.07","258.99",""
"Carla Cerrutti - Bozzola","K1D","134.26","278.27","261.32",""
"Zelie Wendling","K1D","134.29","276.68","261.6",""
"Charlotte Paulien","K1D","134.79","388.05","266.08",""
"Marlene Dumoulin","K1D","139.37","349.92","307.2",""
"Camille Billerach","K1D","140.18","374.66","314.48",""
"Christelle Gilg","K1D","140.96","291.55","321.48",""
"Sarah Locatelli","K1D","144.91","492.27","356.94",""
"Sarah Rothenbuhler","K1D","145.09","311.81","358.56",""
"Maurilia Cartier","K1D","146.06","402.55","367.27",""
"Margaux Bandel","K1D","147.38","382.76","379.12",""
"Jennifer Besancon","K1D","158.02","510.22","474.65",""
"Julie Paulien","K1D","162.04","498.57","510.74",""
"Laure Camozzi","K1D","195.12","405.36","807.76",""
"Chloe Mignerey","K1D","212.18","-","960.93",""
"Elsa Monnet","K1D","229.25","544.79","1114.19",""
"Arnaud Pellizzoni","K1H","104.2","152.44","113.05",""
"Maxime Le Morvan","K1H","105.46","144.44","125.84",""
"William Boutet","K1H","105.78","173.27","129.08",""
"Florent Bronchain","K1H","107.89","172.1","150.49",""
"Xavier Sucker","K1H","108.51","162.5","156.78",""
"Christophe Billaud","K1H","109.04","188.97","162.16",""
"Olivier Urbain","K1H","109.13","174.76","163.07",""
"Romain Delachenal","K1H","109.37","202.91","165.51",""
"Antoine Gaillard","K1H","109.47","188.32","166.52",""
"Corentin Talancieux","K1H","109.51","208.05","166.93",""
"Matthieu Duval","K1H","109.96","156.96","171.49",""
"Marc Jegou","K1H","109.98","221.78","171.7",""
"Olivier Hardonniere","K1H","110.36","164.66","175.55",""
"Arnaud Jamet","K1H","110.42","198.46","176.16",""
"Thomas Denais","K1H","110.58","203.47","177.78",""
"Anthony Oudot","K1H","110.83","231.14","180.32",""
"Vincent Rat","K1H","111.43","220.79","186.41",""
"Florent Rambaud","K1H","111.55","193.36","187.62",""
"Christophe Dalla-zuana","K1H","112.0","177.36","192.19",""
"Philippe Devillers","K1H","112.37","229.91","195.94",""
"Jeremy Poux","K1H","112.37","196.72","195.94",""
"Christophe Siffert","K1H","112.39","243.92","196.15",""
"Louis Savart","K1H","112.63","185.88","198.58",""
"Axel Kournwsky","K1H","112.74","192.46","199.7",""
"Colas Geier","K1H","113.11","203.95","203.45",""
"Jeremy Boisgibault","K1H","113.45","230.5","206.9",""
"Liam Jegou","K1H","113.49","158.42","207.31",""
"Guillaume Armbruster","K1H","113.69","271.19","209.34",""
"Lucas Galmiche","K1H","114.3","302.16","215.52",""
"Arthur Favennec","K1H","114.55","253.18","218.06",""
"Patrick Gass","K1H","115.49","244.48","227.6",""
"Antoine Leroy","K1H","115.53","201.05","228.0",""
"Hippolyte Brunier","K1H","115.69","190.88","229.63",""
"Valentin Bordenet","K1H","117.64","304.63","249.41",""
"Francis Gaillard","K1H","117.67","254.67","249.72",""
"Emmanuel Triomphe","K1H","117.68","262.11","249.82",""
"Yann Becker","K1H","118.1","309.0","254.08",""
"Thomas Stutzmann","K1H","118.22","202.29","255.3",""
"Alexis Chauville","K1H","118.65","271.96","259.66",""
"Yannick Grizaud","K1H","119.47","297.28","267.98",""
"Mehdi Amini","K1H","119.86","307.78","271.93",""
"Dylan Hirtz","K1H","119.93","304.83","272.64",""
"Anthony Ulrich","K1H","120.74","354.59","280.86",""
"Baptiste Mouchet","K1H","121.29","319.28","286.44",""
"Lilian Querry","K1H","121.47","252.99","288.27",""
"Emre Avci","K1H","121.75","393.05","291.11",""
"Pierre Francois","K1H","121.94","242.76","293.04",""
"Theophile Gaillard","K1H","123.14","336.81","305.21",""
"Nathan Quittet","K1H","123.33","333.52","307.14",""
"Maxime Parigot","K1H","123.52","416.28","309.07",""
"Cyril Gallezot","K1H","125.12","288.73","325.3",""
"Vincent Herrenberger","K1H","126.79","363.34","342.24",""
"Eddy Cassard","K1H","126.85","239.02","342.85",""
"Victorien Lombard","K1H","127.42","416.04","348.64",""
"Romain Pergaud","K1H","127.57","388.6","350.16",""
"Lucas Barriere","K1H","127.6","343.4","350.46",""
"Sebastien Varin","K1H","129.36","292.71","368.32",""
"Antoine Esseric","K1H","129.42","349.51","368.93",""
"David Pierson","K1H","129.74","413.06","372.17",""
"Vincent Cedolini","K1H","130.07","381.28","375.52",""
"Esteban Le Coz","K1H","130.17","367.91","376.54",""
"Jean Guyot","K1H","130.82","347.96","383.13",""
"Paul Frommer","K1H","131.72","504.13","392.26",""
"Guillaume Jardin","K1H","131.74","278.41","392.46",""
"Maxime Pierre","K1H","131.91","566.91","394.19",""
"Dylan Bard","K1H","132.31","328.33","398.25",""
"Florent Bernard","K1H","133.54","324.7","410.73",""
"Louis Burignat","K1H","134.28","360.7","418.23",""
"Yann Talbot","K1H","137.79","453.68","453.85",""
"Quentin Madureira","K1H","138.46","457.66","460.64",""
"Corentin Leroy","K1H","140.39","478.04","480.22",""
"Claude Breuzard","K1H","140.91","479.77","485.5",""
"Keryann Brest","K1H","144.62","365.95","523.14",""
"Hugues Parisse","K1H","154.41","148.63","622.47",""
"Mathieu Septier","K1H","155.41","540.54","632.61",""
"Olivier Bourgey","K1H","156.68","151.78","645.5",""
"Ludovic Maistruck","K1H","156.72","579.53","645.9",""
"Vincent Maire","K1H","159.96","407.89","678.78",""
"William Gettliffe","K1H","160.04","158.79","679.59",""
"Kyle Gelb","K1H","166.29","-","743.0",""
"Nicolas Fritsch","K1H","166.34","250.86","743.5",""
"Romain Gauthron","K1H","174.24","352.18","823.66",""
