"Championnat Régional - Lisieux - 2012-06-10 Course 1","Lisieux","Course 1","","2012-06-10","Régional","93"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Anne Sophie Le Bailly","C1D","128.51","238.21","313.0",""
"Chloe Gatuingt","C1D","139.21","429.33","411.91",""
"Alize Bachelot","C1D","199.46","388.11","968.81",""
"Emeric Bertrand","C1H","97.78","86.96","140.86",""
"Didier Niel","C1H","105.43","184.08","220.33",""
"Benjamin Soroka","C1H","105.89","140.86","225.1",""
"Jules Chaumet","C1H","107.02","280.51","236.84",""
"Teddy Poulard","C1H","108.5","184.6","252.21",""
"Eric Beaumont","C1H","109.17","236.65","259.17",""
"Quentin Mannier","C1H","110.76","240.18","275.69",""
"Guillaume Izydorczyk","C1H","110.93","-","277.46",""
"Simon Boulan","C1H","111.03","-","278.49",""
"Lancelot Meillier","C1H","112.04","-","288.99",""
"Benjamin Thiboust","C1H","112.4","262.34","292.73",""
"Mehdi Rouich","C1H","118.78","-","359.0",""
"Mickael Louchard","C1H","119.34","245.34","364.81",""
"Geoffroy Lauth","C1H","121.7","344.71","389.33",""
"Charles Bre","C1H","124.4","395.64","417.37",""
"Damien Jacques","C1H","128.38","325.14","458.72",""
"Jeansebastien Simonklein","C1H","132.05","469.77","496.84",""
"Edouard Gracias","C1H","133.96","-","516.68",""
"Vincent Richard","C1H","136.93","-","547.54",""
"Sebastien Masseline","C1H","142.11","-","601.34",""
"Matthieu Rousseau","C1H","147.74","531.25","659.83",""
"Romain Bouillon","C1H","149.4","-","677.07",""
"Yves Lecointe","C1H","173.81","-","930.62",""
"Olivier Cornu","C1H","189.8","-","1096.73",""
"Loic Ozeray","C1H","200.21","-","1204.86",""
"Louis Bouclier-Martin Mottais","C2H","105.58","131.48","172.03",""
"Benjamin Soroka-Edouard Gracias","C2H","112.13","185.77","236.97",""
"Damien Jacques-Teddy Poulard","C2H","127.52","294.24","389.57",""
"Francois Bonnet-Quentin Anfrey","C2H","129.05","-","404.74",""
"Bertrand Avril-Nicolas Dupres","C2H","131.84","300.24","432.41",""
"Sebastien Masseline-Guillaume Izydorczyk","C2H","134.13","-","455.11",""
"Olivier Dulouard-Jean-francois Dulouard","C2H","158.71","559.78","698.84",""
"Romain Bouillon-Jeremy Lecache","C2H","281.78","-","1919.14",""
"Yves Lecointe-Frederic Saheb","C2H","534.03","-","4420.31",""
"Emeric Bertrand-Deborah Larsonneur","C2M","126.15","-","291.19",""
"Geoffroy Lauth-Rachel Broin","C2M","148.52","504.24","497.95",""
"Catherine Boulan-Olivier Cornu","C2M","166.05","-","659.99",""
"Samuel Bonvalet-Marie Claude Lamoureux","C2M","194.26","-","920.74",""
"Nadege Moalic-Vincent Richard","C2M","206.27","-","1031.75",""
"Anne Sophie Le Bailly","K1D","103.9","70.1","128.02",""
"Chloe Gatuingt","K1D","111.68","193.07","203.11",""
"Melina Letellier","K1D","123.74","293.23","319.52",""
"Alize Bachelot","K1D","125.21","196.35","333.71",""
"Catherine Boulan","K1D","149.91","368.61","572.12",""
"Pauline Ferreira De Abreu","K1D","160.78","603.66","677.04",""
"Evelyne Lambert","K1D","163.52","-","703.49",""
"Rachel Broin","K1D","443.5","-","3405.91",""
"Goulwen Chapelier","K1H","82.96","21.54","30.0",""
"Anthony Mottais","K1H","86.02","64.77","63.38",""
"Benoit Letellier","K1H","88.14","40.18","86.5",""
"Mehdi Rouich","K1H","89.57","102.57","102.1",""
"Francois Bonnet","K1H","93.96","133.85","149.98",""
"Simon Boulan","K1H","94.88","170.57","160.01",""
"Benjamin Thiboust","K1H","98.08","43.66","194.91",""
"Mickael Louchard","K1H","98.14","138.08","195.57",""
"Victor Duhamel","K1H","99.05","95.84","205.49",""
"Edouard Gracias","K1H","99.11","158.51","206.15",""
"Bertrand Avril","K1H","99.34","155.19","208.66",""
"Didier Niel","K1H","99.58","159.53","211.27",""
"Yves Lecointe","K1H","100.4","211.99","220.22",""
"Quentin Anfrey","K1H","103.71","237.99","256.32",""
"Nicolas Dupres","K1H","103.78","212.29","257.08",""
"Arthur Chaumet","K1H","104.55","200.25","265.48",""
"Yoann Deschemaeker","K1H","105.3","212.96","273.66",""
"Thibault Joncret","K1H","105.32","226.81","273.88",""
"David Breton","K1H","106.4","208.89","285.66",""
"Raphael Lemonnier","K1H","106.81","259.03","290.13",""
"Lancelot Meillier","K1H","107.18","-","294.17",""
"Mederic Larrive","K1H","108.0","246.07","303.11",""
"Matthieu Rousseau","K1H","108.78","376.04","311.62",""
"Jeansebastien Simonklein","K1H","108.87","258.24","312.6",""
"Quentin Mannier","K1H","109.27","-","316.96",""
"Olivier Dulouard","K1H","109.93","246.09","324.16",""
"Loic Goubert","K1H","115.56","-","385.57",""
"Romain Philippe","K1H","115.96","438.4","389.93",""
"Jess Masson","K1H","116.05","-","390.91",""
"Xavier Montenoise","K1H","117.15","400.35","402.91",""
"Pierre Louis Sebire","K1H","118.02","-","412.4",""
"Louison Laumondais","K1H","118.99","-","422.98",""
"Romain Bouillon","K1H","121.68","448.05","452.32",""
"Denis Martin","K1H","129.36","432.45","536.09",""
"Lucas Richard","K1H","130.81","612.08","551.9",""
"Anatole Bayer","K1H","131.39","-","558.23",""
"Sebastien Masseline","K1H","133.34","520.74","579.49",""
"Jean-francois Dulouard","K1H","134.0","576.64","586.69",""
"Jeremy Lecache","K1H","134.55","-","592.69",""
"Olivier Cornu","K1H","148.45","-","744.3",""
"Alexandre Mauger","K1H","211.02","-","1426.75",""
