"Sélectif Régional - Stade d'eau vive du Rebech à Foix - 2012-11-10 Course 1","Stade d'eau vive du Rebech à Foix","Course 1","","2012-11-10","Régional","191"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Caroline Loir","C1D","113.27","47.03","91.59",""
"Cecile Tixier","C1D","118.09","79.44","130.64",""
"Marie-zelia Lafont","C1D","130.89","-","234.35",""
"Lucie Prioux","C1D","192.04","230.57","729.77",""
"Clotilde Dumas","C1D","218.4","418.96","943.33",""
"Fabien Lefevre","C1H","99.83","-","82.84",""
"Jean Freri","C1H","102.43","33.01","106.52",""
"Nadjib Mazar","C1H","105.54","110.2","134.83",""
"Norbert Neveu","C1H","106.36","-","142.3",""
"Erwan Marchais","C1H","107.85","81.91","155.86",""
"Benjamin Buys","C1H","108.08","-","157.95",""
"Antoine Roux","C1H","108.15","122.51","158.6",""
"Sandra Forgues","C1H","109.38","-","169.79",""
"Simon Cayez","C1H","110.33","157.52","178.44",""
"Galaad Pereyron","C1H","110.63","118.44","181.18",""
"Bernard Santoro","C1H","111.23","170.9","186.63",""
"Mathieu Dutendas","C1H","112.32","135.96","196.56",""
"Loic Brunel","C1H","112.45","-","197.74",""
"Benoit Pacteau","C1H","113.09","166.25","203.58",""
"Remi Parayre","C1H","113.94","163.38","211.31",""
"Joris Santoro","C1H","114.64","149.98","217.69",""
"Abdelkrim Ali Zazou","C1H","115.16","348.62","222.42",""
"Romain Chabrol","C1H","116.0","-","230.07",""
"Lucas Roisin","C1H","116.47","128.71","234.35",""
"Quentin Mignard","C1H","116.9","244.51","238.26",""
"Ugo Rolland","C1H","118.67","346.58","254.38",""
"Joe-marie Abousleiman","C1H","119.96","220.38","266.13",""
"Louis Georges Lafont","C1H","120.43","-","270.4",""
"Quentin Raissac","C1H","121.25","385.72","277.87",""
"Benoit Gaillard","C1H","122.0","-","284.69",""
"Ancelin Gourjault","C1H","124.18","299.08","304.55",""
"Remy Cassar","C1H","124.24","-","305.09",""
"Florian Helen","C1H","124.57","-","308.09",""
"Guillaume Graille","C1H","125.37","427.09","315.38",""
"Florian Campagnole","C1H","126.69","-","327.4",""
"Nasser Belabdi","C1H","127.5","293.33","334.78",""
"Mathieu Marteau","C1H","133.13","308.25","386.03",""
"Antoine Launay","C1H","134.47","-","398.24",""
"Samuel Hernanz","C1H","157.11","-","604.37",""
"Jonathan Delagnes","C1H","164.03","88.72","667.37",""
"Gurgen Brun","C1H","165.24","135.52","678.38",""
"Denis Delaleux","C1H","207.64","-","1064.43",""
"Benjamin Reig-Cyril Boulet","C2H","109.36","104.38","124.35",""
"Bryan Seiler-Quentin Burgi","C2H","114.57","-","169.64",""
"Tom Scianimanico-Jean Freri","C2H","116.57","116.41","187.02",""
"Stephane Labouille-Jonathan Delagnes","C2H","119.28","250.22","210.56",""
"Herve Clerc-Pierrealain Clerc","C2H","123.61","-","248.2",""
"Ancelin Gourjault-Erwan Marchais","C2H","124.52","-","256.11",""
"Romain Chabrol-Yannick Besse","C2H","128.25","350.94","288.53",""
"Nicolas Ciemniewski-Galaad Pereyron","C2H","128.91","269.82","294.26",""
"Vincent Bocci-Joris Santoro","C2H","130.29","-","306.25",""
"Ugo Rolland-Axel Rodriguez","C2H","139.93","414.16","390.03",""
"Antoine Dumaye-Edgar Prigent","C2H","146.55","438.39","447.57",""
"Clement Rio-Lucas Roisin","C2H","148.3","262.27","462.78",""
"Julien Money-Joe-marie Abousleiman","C2H","193.5","229.62","855.61",""
"Raphael Larranaga-Quentin Mignard","C2H","240.17","-","1261.21",""
"Caroline Loir-Loic Brunel","C2M","121.01","-","154.3",""
"Benjamin Buys-Pauline Guiet","C2M","126.22","-","196.51",""
"Armelle Canali-Jonathan Delagnes","C2M","134.13","-","260.59",""
"Solene Graille-Tom Scianimanico","C2M","136.17","-","277.12",""
"Marie-zelia Lafont-Mathieu Marteau","C2M","188.0","-","697.04",""
"Marie-zelia Lafont","K1D","101.19","3.96","30.0",""
"Caroline Loir","K1D","104.86","8.11","61.05",""
"Pauline Guiet","K1D","105.67","16.29","67.9",""
"Solene Graille","K1D","110.89","53.13","112.06",""
"Cecile Tixier","K1D","112.01","94.79","121.54",""
"Manon Prioux","K1D","115.46","148.95","150.73",""
"Lise Denat","K1D","116.6","142.23","160.37",""
"Lucie Prioux","K1D","117.25","140.42","165.87",""
"Alice Cailhol","K1D","118.69","117.7","178.05",""
"Stephanie Kaczmarek","K1D","120.41","-","192.61",""
"Laetitia Thueux","K1D","122.69","209.68","211.89",""
"Noa Bouchardon","K1D","128.76","276.86","263.25",""
"Melanie Palazy","K1D","128.85","226.42","264.01",""
"Marine Tournier","K1D","139.14","260.72","351.07",""
"Armelle Canali","K1D","139.48","165.67","353.94",""
"Jessica Joyau","K1D","140.76","-","364.77",""
"Barbara Lassechere","K1D","189.74","313.22","779.15",""
"Marine Izac","K1D","194.36","432.16","818.24",""
"Celia Trey","K1D","226.51","1785.32","1090.23",""
"Alice Lachaudru","K1D","233.65","251.69","1150.64",""
"Camille Amis","K1D","275.61","-","1505.63",""
"Marion Jeurissen","K1D","299.27","-","1705.8",""
"Fabien Lefevre","K1H","91.4","5.1","47.7",""
"Quentin Burgi","K1H","92.34","3.11","56.68",""
"Benjamin Buys","K1H","94.39","9.28","76.28",""
"Mathieu Desnos","K1H","95.08","34.24","82.88",""
"Bryan Seiler","K1H","95.7","32.51","88.81",""
"Antoine Launay","K1H","96.12","7.93","92.82",""
"Samuel Hernanz","K1H","96.21","93.62","93.68",""
"Gurgen Brun","K1H","96.78","81.07","99.13",""
"Louis Georges Lafont","K1H","97.89","29.9","109.74",""
"Stephane Labouille","K1H","98.1","71.15","111.75",""
"Tom Scianimanico","K1H","98.2","21.34","112.71",""
"Virgile Pigache-donnet","K1H","98.32","66.62","113.85",""
"Damien Laborde","K1H","98.52","-","115.77",""
"Antoine Roux","K1H","98.93","87.54","119.69",""
"Quentin Mignard","K1H","98.97","49.31","120.07",""
"Nicolas Baudoin","K1H","99.26","70.53","122.84",""
"William Desnos","K1H","99.34","38.29","123.61",""
"Romain Chabrol","K1H","100.03","30.4","130.2",""
"Florian Berail","K1H","100.05","-","130.39",""
"Jonathan Delagnes","K1H","101.14","31.0","140.81",""
"Nicolas Caussanel","K1H","101.36","104.27","142.92",""
"Florian Campagnole","K1H","101.36","100.6","142.92",""
"Remy Cassar","K1H","101.6","97.41","145.21",""
"Maxime Tilhet","K1H","101.88","103.44","147.89",""
"Guillaume Graille","K1H","102.08","137.85","149.8",""
"Adrien Roussel","K1H","102.47","-","153.53",""
"Quentin Raissac","K1H","103.65","109.92","164.81",""
"Loris Minvielle","K1H","103.75","-","165.77",""
"Olivier Cain","K1H","104.11","113.1","169.21",""
"Jean-francois Souville","K1H","104.12","109.21","169.3",""
"Erwan Marchais","K1H","104.21","163.12","170.16",""
"Marc Brossard","K1H","104.3","130.65","171.02",""
"Benoit Gaillard","K1H","104.6","110.86","173.89",""
"Fabien Lanao","K1H","104.72","136.1","175.04",""
"Vincent Bocci","K1H","105.07","101.58","178.38",""
"Colin Beziade","K1H","105.13","154.59","178.96",""
"Paul Messialle","K1H","105.14","121.12","179.05",""
"Remi Parayre","K1H","106.33","126.98","190.43",""
"Jean Freri","K1H","106.6","200.51","193.01",""
"Yannick Besse","K1H","106.62","141.28","193.2",""
"Pierre De La Morinerie","K1H","107.48","171.96","201.42",""
"Edgar Prigent","K1H","107.58","217.13","202.38",""
"Vincent Garcia","K1H","107.87","140.33","205.15",""
"Marc Darribere","K1H","108.87","211.69","214.71",""
"Romain Medale","K1H","109.14","143.29","217.29",""
"Tristan Levrien","K1H","109.17","157.19","217.58",""
"Ancelin Gourjault","K1H","109.34","153.14","219.21",""
"Remi Dramard","K1H","109.58","-","221.5",""
"Valentin Pahon","K1H","109.76","128.51","223.22",""
"Hugo Balducci","K1H","109.91","254.61","224.65",""
"Christophe Prigent","K1H","109.93","187.78","224.85",""
"David Pordoy","K1H","109.99","255.64","225.42",""
"Mathieu Pouchet","K1H","110.42","-","229.53",""
"Aymeric Maynadier","K1H","111.04","-","235.46",""
"Allan Cousset","K1H","111.06","285.98","235.65",""
"Julien Money","K1H","111.46","165.9","239.47",""
"Marc Anthoine Marchand","K1H","112.08","-","245.4",""
"Gregoire Cayez","K1H","112.55","255.2","249.89",""
"Jean Pascal Thomas","K1H","112.85","-","252.76",""
"Ugo Rolland","K1H","112.9","-","253.24",""
"Arthur Gaudron","K1H","113.06","231.36","254.77",""
"Clement Rio","K1H","113.14","240.39","255.53",""
"Anthony Poux","K1H","113.18","272.91","255.92",""
