"Sélectif Régional - Sault Brenaz - 2013-03-03","Course 2","2013-03-03","Régional","169"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Claire Landrin","C1D","131.47","123.08","239.51",""
"Laurine Naveau","C1D","133.84","189.36","260.37",""
"Laura Ligeon","C1D","137.52","121.97","292.73",""
"Mylene Ferry","C1D","153.99","395.57","437.63",""
"Marion Delorme","C1D","190.2","275.25","756.18",""
"Isaline Chabbey","C1D","Nt","-","-",""
"Baptiste Delaplace","C1H","102.86","18.47","99.86",""
"Sebastien De Kerleau","C1H","107.37","29.85","144.45",""
"Eric Labarelle","C1H","111.81","118.43","188.34",""
"Medhi Deguil","C1H","117.52","71.94","244.8",""
"Loic Haederli","C1H","118.2","161.76","251.52",""
"Frederic Momot","C1H","119.93","204.79","268.63",""
"Andy Pajani","C1H","121.05","180.15","279.69",""
"Emmanuel Walczak","C1H","122.74","231.81","296.4",""
"Stephane Abadie","C1H","124.47","211.15","313.51",""
"Quentin Raissac","C1H","127.93","310.1","347.72",""
"Lucien Chabbey","C1H","129.66","222.5","364.83",""
"Jean Baptiste Lismonde","C1H","134.67","276.7","414.35",""
"Virgile Pigache-donnet","C1H","136.31","-","430.56",""
"Matthieu Basset","C1H","136.34","289.42","430.87",""
"Etienne Klatt","C1H","142.41","-","490.87",""
"Lucas Di Martino","C1H","162.35","-","688.01",""
"Cyril Gagneret","C1H","168.22","-","746.05",""
"Theophile Gaillard","C1H","205.92","512.25","1118.76",""
"Tristan Ribault","C1H","247.36","-","1528.47",""
"Galaad Pereyron","C1H","Nt","-","-",""
"Renaud Doby","C1H","Nt","-","-",""
"Coralie Yebenes-Marion Delorme","C2D","175.91","227.18","543.8",""
"Baptiste Delaplace-Renaud Doby","C2H","118.7","54.57","203.12",""
"Jonathan Chapatte-Sebastien De Kerleau","C2H","120.35","149.16","218.69",""
"Lucien Chabbey-Loic Haederli","C2H","127.03","212.86","281.74",""
"Olivier Bourgey-Andy Pajani","C2H","128.78","178.14","298.25",""
"Frederic Momot-Jean Philippe Winiarski","C2H","128.87","-","299.1",""
"Nicolas Ciemniewski-Galaad Pereyron","C2H","132.89","235.61","337.03",""
"Claude Menissier-Gerard Menissier","C2H","143.65","176.86","438.58",""
"Axel Kournwsky-Adrien Maire","C2H","163.33","-","624.31",""
"Gregoire Guerin-Florian Jarousse","C2H","187.6","-","853.34",""
"Aubry Bertin-Sebastien Nouvel","C2H","260.31","-","1539.51",""
"Jonathan Chapatte-Sebastien De Kerleau","C2H","Nt","-","-",""
"Paul Cornut-chauvinc-Luis Brisson","C2H","Nt","-","-",""
"Mylene Ferry-Pascal Ferry","C2M","144.84","-","357.14",""
