"Nationale 3 - Fontaine de Vaucluse - 2013-03-17 Course 1","Fontaine de Vaucluse","Course 1","","2013-03-17","Nationale 3","145"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Marion Delorme","C1D","159.44","273.39","474.93",""
"Mana Thomas","C1D","168.76","406.7","551.93",""
"Melanie Bordier","C1D","171.57","419.02","575.14",""
"Clotilde Dumas","C1D","229.61","356.23","1054.69",""
"Adrien Reinard","C1H","129.4","171.58","359.1",""
"Florian Campagnole","C1H","132.56","419.39","388.44",""
"Bernard Santoro","C1H","133.87","170.9","400.6",""
"Guillaume Graille","C1H","139.51","294.74","452.98",""
"Joe-marie Abousleiman","C1H","139.6","217.41","453.8",""
"Theo Viens","C1H","145.42","206.64","507.84",""
"Etienne Klatt","C1H","147.55","519.67","527.62",""
"Valentin Bigonet","C1H","151.89","240.22","567.92",""
"Ugo Rolland","C1H","153.8","275.12","585.66",""
"Lucas Di Martino","C1H","173.95","955.34","772.76",""
"Axel Del Negro","C1H","188.07","277.65","903.86",""
"Axel Aillet","C1H","193.04","179.84","950.01",""
"Anthony Poux","C1H","263.32","578.28","1602.57",""
"Colin Dardonville","C1H","265.7","-","1624.66",""
"Leo Bernard","C1H","362.79","360.15","2526.15",""
"Ancelin Gourjault-Erwan Marchais","C2H","128.66","267.65","297.93",""
"Nicolas Ciemniewski-Galaad Pereyron","C2H","130.26","231.0","312.11",""
"Julien Money-Joe-marie Abousleiman","C2H","136.91","224.63","371.05",""
"Pablo Guillem-Adrien Reinard","C2H","142.19","-","417.85",""
"Annaelle Meheut-Jeremy Wagner","C2M","148.3","-","382.88",""
"Thomas Thieblemont-Lorene Scalbert","C2M","303.38","-","1664.19",""
"Charlotte Issagarre","K1D","133.25","207.67","307.25",""
"Caroline Incardona","K1D","141.76","306.93","380.67",""
"Oceane Michaud","K1D","148.6","224.45","439.69",""
"Clemence Pacher","K1D","152.45","-","472.9",""
"Lorene Scalbert","K1D","155.38","-","498.18",""
"Noa Bouchardon","K1D","156.0","268.56","503.54",""
"Marine Tournier","K1D","161.32","260.72","549.44",""
"Melanie Palazy","K1D","167.03","226.42","598.7",""
"Melanie Connes-lessard","K1D","192.25","1051.81","816.29",""
"Elsa Cailhol","K1D","194.57","384.8","836.31",""
"Alicia Biglia","K1D","210.58","-","974.44",""
"Marine Izac","K1D","222.57","424.29","1077.89",""
"Julie Paris","K1D","247.95","-","1296.86",""
"Astrid Coste","K1D","267.27","402.69","1463.54",""
"Delia Forgues","K1D","296.61","-","1716.69",""
"Marie Boyer","K1D","313.18","516.94","1859.65",""
"Manon Flores","K1D","317.14","-","1893.82",""
"Erwan Marchais","K1H","110.24","149.91","232.37",""
"Guillaume Graille","K1H","110.29","132.94","232.86",""
"Adrien Roussel","K1H","110.42","138.3","234.13",""
"Paul Jean","K1H","111.19","109.92","241.63",""
"Fabien Lanao","K1H","111.87","128.45","248.26",""
"Guillaume Gonzalez","K1H","113.12","280.24","260.45",""
"Edgar Prigent","K1H","113.43","188.3","263.47",""
"Vincent Garcia","K1H","113.55","140.33","264.65",""
"Dimitri Durannot","K1H","115.46","162.05","283.27",""
"Julien Money","K1H","115.78","165.9","286.39",""
"Gaetan Coat","K1H","115.89","181.2","287.46",""
"Pierre De La Morinerie","K1H","116.65","168.45","294.87",""
"Yannick Besse","K1H","116.83","145.31","296.62",""
"Leo Fournier","K1H","117.32","156.89","301.41",""
"Quentin Duhamel","K1H","118.1","171.9","309.0",""
"Benoit Jacquot-bertrand","K1H","118.37","230.13","311.64",""
"Raphael Larranaga","K1H","118.46","184.05","312.51",""
"Romain Medale","K1H","118.64","143.29","314.27",""
"Tristan Levrien","K1H","118.74","157.01","315.25",""
"Ancelin Gourjault","K1H","118.85","153.14","316.32",""
"Baptiste Podor","K1H","118.87","210.3","316.51",""
"Florian Bibron","K1H","119.3","194.06","320.7",""
"Dimitri Thauvin","K1H","119.76","229.31","325.19",""
"Joris Santoro","K1H","120.11","472.22","328.6",""
"Guillaume Affortit","K1H","120.13","201.79","328.79",""
"Mathieu Pouchet","K1H","120.27","231.63","330.16",""
"Alain Ferry","K1H","120.42","187.29","331.63",""
"Pablo Cabeza  Macuso","K1H","120.42","273.17","331.63",""
"Alexandre Pouille","K1H","120.56","151.97","332.99",""
"Baptiste Tappero","K1H","120.63","156.04","333.67",""
"Allan Cousset","K1H","121.32","228.39","340.4",""
"Sebastien Riou","K1H","122.74","224.99","354.24",""
"Clement Sempastous","K1H","123.79","247.37","364.48",""
"Corentin Quignard","K1H","124.93","243.46","375.59",""
"Mathieu Lions","K1H","125.01","242.71","376.38",""
"Leon Zaragoza","K1H","125.19","320.17","378.13",""
"Clement Brumont","K1H","125.78","291.53","383.88",""
"Daniel Geay","K1H","126.2","208.25","387.97",""
"Yannis Brousset","K1H","126.25","220.22","388.46",""
"Anthony Poux","K1H","127.16","234.25","397.34",""
"Denis Delaleux","K1H","127.79","324.89","403.48",""
"Gauthier Vanden  Abeele","K1H","128.16","300.79","407.09",""
"Guillaume Itou","K1H","128.63","282.75","411.67",""
"Etienne Klatt","K1H","129.11","337.91","416.35",""
"Jonas Mignard","K1H","129.33","308.4","418.49",""
"Remi Dramard","K1H","129.59","257.0","421.03",""
"Paul Commenges","K1H","129.63","270.04","421.42",""
"Clement Bosc","K1H","129.67","394.51","421.81",""
"Samuel Itkine","K1H","129.92","340.58","424.24",""
"Antoine Dumaye","K1H","129.96","245.75","424.63",""
"Louis Midy","K1H","130.31","315.78","428.05",""
"Jean Baptsite Cans","K1H","130.37","362.94","428.63",""
"Christophe Sorin","K1H","131.68","366.69","441.4",""
"Vincent Laulhe","K1H","131.89","379.58","443.45",""
