"Sélectif Régional - Toulouse - 2013-03-24","Course 3","2013-03-24","Régional","189"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Cecile Tixier","C1D","113.59","75.7","241.74",""
"Clotilde Dumas","C1D","210.08","335.4","1247.51",""
"Aude Leonard","C1D","Nt","-","-",""
"Erwan Marchais","C1H","95.78","79.35","179.7",""
"Hugo Biso","C1H","97.17","57.77","195.99",""
"Mathieu Doby","C1H","98.82","-","215.31",""
"Simon Cayez","C1H","102.61","153.61","259.71",""
"Baptiste Tappero","C1H","103.13","95.23","265.8",""
"Mathieu Dutendas","C1H","103.23","121.73","266.98",""
"Lucas Roisin","C1H","105.79","127.31","296.96",""
"Joris Santoro","C1H","105.95","149.98","298.83",""
"Benoit Pacteau","C1H","107.19","166.25","313.37",""
"Yoann Mourier","C1H","108.8","158.34","332.22",""
"Theo Viens","C1H","109.93","206.64","345.46",""
"Mathieu Villeger","C1H","114.52","298.72","399.23",""
"Ugo Rolland","C1H","116.74","275.12","425.23",""
"Paul Messialle","C1H","116.96","245.93","427.8",""
"Mathias Rodrigues","C1H","118.2","347.78","442.33",""
"Alexis Mercoirol","C1H","118.82","303.97","449.6",""
"Mathieu Marteau","C1H","122.59","306.81","493.75",""
"Xavier Henry","C1H","142.26","-","724.17",""
"Lucas Di Martino","C1H","146.34","591.62","771.96",""
"Colin Dardonville","C1H","146.57","568.98","774.66",""
"Nicolas Amosse","C1H","166.34","-","1006.25",""
"Jonathan De Nardi","C1H","194.42","-","1335.18",""
"Lionel Aguilhon","C1H","204.15","417.98","1449.16",""
"Hippolyte Cail","C1H","Nt","-","-",""
"Leon Zaragoza","C1H","Nt","-","-",""
"Yohan Carrandier","C1H","Nt","-","-",""
"Nicolas Scharff","C1H","Nt","-","-",""
"Florian Helen","C1H","Nt","-","-",""
"Nicolas Caussanel","C1H","Nt","-","-",""
"Astrid Coste-Oceane Michaud","C2D","399.39","848.66","2987.63",""
"Hugo Biso-Pierre Picco","C2H","93.2","23.39","99.86",""
"Benjamin Reig-Cyril Boulet","C2H","102.96","104.52","208.99",""
"Mathieu Doby-Thomas Koechlin","C2H","107.81","-","263.22",""
"Clement Rio-Lucas Roisin","C2H","118.55","246.69","383.32",""
"Stephane Labouille-Jonathan Delagnes","C2H","120.47","222.52","404.78",""
"Nicolas Caussanel-Thibault Dufour","C2H","122.01","-","421.99",""
"Marc Anthoine Marchand-Fabien Lanao","C2H","126.03","-","466.95",""
"Allan Cousset-Alexandre Lucas","C2H","127.92","422.43","488.09",""
"Mathieu Dutendas-Jean Baptiste Thiel","C2H","128.48","-","494.34",""
"Vincent Bocci-Joris Santoro","C2H","140.32","295.13","626.73",""
"William Dintillac-Jean Baptsite Cans","C2H","152.94","663.54","767.83",""
"Corantin Bruneaud-Quentin Cazeres","C2H","224.6","-","1569.12",""
"Julien Toussaint-Olivier Cain","C2H","Nt","-","-",""
"Clement Sempastous-Guillaume Itou","C2H","Nt","-","-",""
"Armelle Canali-Jonathan Delagnes","C2M","127.09","238.2","382.46",""
"Jessica Joyau-Simon Cayez","C2M","200.74","-","1150.15",""
"Yohann Biglia-Charlotte Issagarre","C2M","221.8","-","1369.67",""
"Thomas Thieblemont-Lorene Scalbert","C2M","321.8","-","2412.01",""
"Cecile Bernhard-Jeremy Wagner","C2M","Nt","-","-",""
"Annaelle Meheut","K1D","104.24","67.03","192.36",""
"Oriane Rebours","K1D","105.91","101.04","210.54",""
"Alice Cailhol","K1D","112.6","117.7","283.36",""
"Charlotte Issagarre","K1D","112.83","184.09","285.85",""
"Lise Denat","K1D","113.17","134.1","289.55",""
"Armelle Canali","K1D","114.72","159.75","306.43",""
"Melanie Bordier","K1D","115.7","159.8","317.09",""
"Laetitia Thueux","K1D","120.1","189.07","364.99",""
"Noa Bouchardon","K1D","122.27","268.91","388.62",""
"Oceane Michaud","K1D","125.58","237.86","424.64",""
"Elsa Cailhol","K1D","128.47","343.97","456.1",""
"Jessica Joyau","K1D","132.56","357.21","500.62",""
"Alicia Biglia","K1D","137.28","612.98","551.99",""
